Location;Identifier;Context;Laboratory Number;Material;δ13C (‰);δ15N (‰);C:N;Radiocarbon age (BP) NO correction - date;Radiocarbon age (BP) NO correction - date_sigma;Radiocarbon age (BP) - date;Radiocarbon age (BP) - date_sigma;Calibrated. Shell Delta_R correction  -108 ± 31 14C yr (Martins & Soares 2013) - 95,4 %;Calibrated. Shell Delta_R correction  -108 ± 31 14C yr (Martins & Soares 2013) - 68,3 %;Reference
Structure 10.042;UE542;PP4-10042-25 (UE542);OxA-42255;Shell bead (Poorly preserved);2.15041;;;4476;19;;;2844-2480;2757-2561;
Structure 10043;UE543;PP4-10042-53 (UE542);OxA-42245;Shell bead (Well preserved);-2.01979;;;4420;32;;;2815-2396;2673-2471;
Structure 10044;UE 211;;CNA-1303;Human bone: left ulna;−19.64±1.36†;;3.2;;;4277;31;3008-2778;2910-2885;García Sanjuán et al. 2018
Structure 10045;UE 212;;CNA-1291;Human bone: left ulna;−23.76±0.66†;;3.5;;;4161;34;2880-2629;2873-2674;García Sanjuán et al. 2018
Structure 10.049-Upper Level;Dagger handle UE 535;PP4-10049-029 (UE535);OxA-42256;Shell bead (Well preserved);0.692905;;;4597;18;;;2965-2606;2885-2709;
Structure 10.049-Upper Level;Dagger handle UE 535;PP4-10049-057 (UE535);OxA-42257;Shell bead (Poorly preserved);-6.45831;;;4568;19;;;2912-2576;2859-2686;
Structure 10.049-Upper Level;Ivory hilt UE 535;;Erl-17299;Ivory;;;;;;3905;74;2576-2146;2474-2235;García Sanjuán et al. 2018
Structure 10.049-Upper Level;Ivory sheath UE 535;;Erl-17298;Ivory;;;;;;2439;58;759-404;746-412;García Sanjuán et al. 2018
Structure 10.049-Upper Level;Decorated ivory tusk UE 535;;Erl-17300;Ivory;;;;;;1930;57;41 BC-232 AD;25 BC-202 AD;García Sanjuán et al. 2018
Structure 10.049-Lower Level;Unworked ivory tusk UE 664-1;;Erl-17588;Ivory;;;;;;2180;55;383-57;359-162;García Sanjuán et al. 2018
Structure 10.049-Lower Level;Ivory vessel UE 664-1;;Erl-17927;Ivory;;;;;;2299;68;726-171;413-206;García Sanjuán et al. 2018
