labcode;site;region;country;sample;material;species;r_date;r_date_sigma;F14C;F14C_sigma;d13C
OxA-41319;Tholos of Montelirio;;Spain;MCG-INV89-18;shell;Pectinidae;4787;17;0.551086;0.00115941;0.711115
OxA-41313;Tholos of Montelirio;;Spain;MCG-INV89-21;shell;Cardiidae;4450;22;0.574682;0.00155345;-5.8561
OxA-41314;Tholos of Montelirio;;Spain;MCG-INV93-38;shell;Cardiidae;4457;20;0.574198;0.00144165;1.19113
OxA-41320;Tholos of Montelirio;;Spain;MCG-INV93-41;shell;Cardiidae;4465;17;0.573566;0.00118638;-5.96386
OxA-41321;Tholos of Montelirio;;Spain;MCG-INV93-41;shell;Cardiidae;4455;17;0.574319;0.00119265;-6.6257
OxA-41322;Tholos of Montelirio;;Spain;MCG-INV8-93;shell;Pectinidae;4486;17;0.572131;0.00121419;-5.06905
OxA-41323;Tholos of Montelirio;;Spain;MCG-INV8-29;shell;Pectinidae;4550;17;0.567559;0.00119016;-5.44029
OxA-41324;Tholos of Montelirio;;Spain;MCG-INV1-58;shell;Pectinidae;4410;17;0.577557;0.00121825;-3.24053
OxA-41325;Tholos of Montelirio;;Spain;MCG-INV1-61;shell;Pectinidae;4476;17;0.572838;0.00119332;0.970057
OxA-41326;Tholos of Montelirio;;Spain;MCG-INV356-63;shell;Pectinidae;4526;17;0.56925;0.00120095;-0.858594
OxA-41327;Tholos of Montelirio;;Spain;MCG-INV356-24;shell;Cardiidae;4501;17;0.571003;0.00121313;1.15406
OxA-41458;Tholos of Montelirio;;Spain;MCG-INV6-31;shell;Pectinidae;5058;19;0.53281;0.00124671;-4.1801
OxA-41328;Tholos of Montelirio;;Spain;MCG-INV6-91;shell;Cardiidae;4686;17;0.558058;0.00117759;-3.70669
OxA-41459;Tholos of Montelirio;;Spain;MCG-INV1-90;shell;Cardiidae;4819;18;0.548854;0.00125432;1.81452
OxA-41460;Tholos of Montelirio;;Spain;MCG-INV1-89;shell;Cardiidae;4552;18;0.567446;0.00127147;-5.66563
OxA-41461;Tholos of Montelirio;;Spain;MCG-INV1-70;shell;Cardiidae;4455;18;0.57428;0.001297;-3.43736
OxA-41560;Tholos of Montelirio;;Spain;MCG-INV1-60;shell;Pectinidae;4560;19;0.566872;0.00133636;1.10319
OxA-42252;Tholos of Montelirio;;Spain;MCG-INV16-01;shell;Pectinidae;4432;19;0.575933;0.00134129;-5.49186
OxA-42253;Tholos of Montelirio;;Spain;MCG-INV24-85;shell;Bilvalves;4449;19;0.574714;0.00132675;-6.407
OxA-42254;Tholos of Montelirio;;Spain;MCG-INV24-27;shell;Pectinidae;4437;19;0.57563;0.00134114;-6.02412
OxA-42255;Tholos of Montelirio;;Spain;PP4-10042-25;shell;Pectinidae?;4476;19;0.57283;0.00132829;2.15041
OxA-42245;Tholos of Montelirio;;Spain;PP4-10042-53;shell;Pectinidae;4420;32;0.576822;0.0022908;-2.01979
OxA-42256;Tholos of Montelirio;;Spain;PP4-10049-029;shell;Bivalves;4597;18;0.564242;0.0012972;0.692905
OxA-42257;Tholos of Montelirio;;Spain;PP4-10049-057;shell;Bivalves;4568;19;0.566319;0.00131135;-6.45831
