INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);notes
114 (UE 167  INV 6);86;3.5;1.5;1.5;0.8;0.0123;
105 (UE 105  INV: 3);19;4;2.1;2.1;1;0.0123;
110 (UE 361  INV 15);57;4.4;2.9;2.2;1;0.0142;
PAÑO (UE 374  INV: 1);10;4.1;1.2;1;0.6;0.0177;
101 y 102 (UE 94 y 95  INV 94 y 95);48;4.5;2.1;2.1;0.9;0.0178;
111 (UE 355 INV 1);94;5;2.3;2.8;1;0.0199;
101 y 102 (UE 94 y 95  INV 94 y 95);55;3.9;2.9;2.2;1.2;0.0201;
PAÑO (UE 374  INV: 1);56;4.1;2;2;1;0.0205;
PAÑO (UE 175  INV: 23) ;96;3;1.8;1.8;1.1;0.0208;
110 (UE 361  INV 15);22;4.9;2.1;2;1;0.0209;
PAÑO (UE 339  INV: 2);40;4.8;2.1;2;1;0.0211;
111 (UE 355 INV 1);72;3;2.1;1.5;1;0.0212;
111 (UE 355 INV 1);38;4;2.1;2;1;0.0214;
111 (UE 355 INV 1);41;4.8;2.2;2;1;0.0219;
110 (UE 361  INV 15);85;4.8;2.1;2.1;0.9;0.022;
111 (UE 355 INV 1);39;4.2;3.5;3;1.5;0.0223;
 102 (UE 94  INVs: 89, 93, 90 y 88);34;3.9;2.1;1.9;1.7;0.0224;
105 (UE 105  INV: 3);81;4;1.3;1.3;1;0.0225;
108 (UE 95  INV 8);23;4;2.8;2;1;0.0225;
110 (UE 361  INV 15);89;3.8;2.8;2.5;1.9;0.023;
PAÑO (UE 339  INV: 2);38;4.3;2.2;2;0.9;0.0231;
PAÑO (UE 339  INV: 2);99;4.1;1.5;1.5;1;0.0233;
103 (UE 163  INV 16);34;4.7;3.1;2;1;0.0233;
105 (UE 105  INV: 3);30;4;2.7;2;1.7;0.0235;
108 (UE 95  INV 8);12;4.9;2.8;2.7;0.9;0.0235;
110 (UE 361  INV 15);32;4.8;3;2.9;1.1;0.0235;
108 (UE 95  INV 8);37;4.9;3.3;2.8;1.3;0.0237;
110 (UE 361  INV 15);100;4.1;2;1.8;1;0.0244;
103 (UE 163  INV 16);93;5;2.9;2.1;1.1;0.0245;
103 (UE 163  INV 16);12;4.9;2.1;1.9;1.1;0.0248;
PAÑO (UE 175  INV: 23) ;4;3.9;2.1;2.1;1;0.0255;
