INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);Notes
UE 88;1;3.5;1.5;1.2;1.2;0.0208;
UE 88;2;3.9;1.8;1.1;1.8;0.0213;
UE 88;3;3.5;1.5;1.1;1.7;0.0337;
UE 88;4;4.1;2;1.7;1.6;0.0479;0.031905
UE 88;5;4.5;2;1.2;1.5;0.0528;
UE 88;6;3.5;1.5;1;1.5;0.0176;
UE 88;7;4;1.5;1.5;1.2;0.0303;
UE 88;8;3;1.2;1;1.1;0.0195;
UE 88;9;5.2;3;2.9;1.4;0.0515;
UE 88;10;4;2.7;2.6;1.7;0.0221;
UE 88;11;4.4;2.5;2;1.8;0.0221;
UE 88;12;4.9;3;2.8;1.9;0.0341;
UE 88;13;4.1;2.1;2;1.7;0.0319;
UE 88;14;4;2.9;1.4;1.2;0.0262;
UE 88;15;4.9;2.6;2.2;1.8;0.0486;
UE 88;16;3;3;2.9;1.8;0.0196;
UE 88;17;4;3;2.1;1.7;0.0307;
UE 88;18;4.5;3;2.9;1.9;0.0371;
UE 88;19;4.5;2.4;2.2;1.9;0.0441;
UE 88;20;3.1;1.9;1.8;1.1;0.0551;
UE 88;21;3.7;2;2;1.9;0.0272;
UE 88;22;3.8;2.7;2.1;1.9;0.0252;
UE 88;23;4;2;1.5;1.8;0.0253;
UE 88;24;5.2;4.1;2.7;2;0.0421;
UE 88;25;3;2;1.8;1.7;0.021;
UE 88;26;3.8;2.1;2;1.6;0.0289;
UE 88;27;4.4;2.2;2;2;0.0477;
UE 88;28;4.5;2;1.7;2.3;0.0596;
UE 88;29;5;3;2.6;1.9;0.055;
UE 88;30;3.9;2.5;2.3;1.8;0.0241;
UE 88;31;4.9;3;2;1.8;0.0459;
UE 88;32;4;2;1.8;1.7;0.0444;
UE 88;33;4;3;2.6;1.9;0.0362;
UE 88;34;4.9;3;2.9;1.9;0.0581;
UE 88;35;3.2;2.5;1.5;1.7;0.0182;
UE 88;36;3.8;2.7;1.6;1.5;0.018;
UE 88;37;4.1;3;2.2;1.6;0.028;
UE 88;38;3.4;2;1.8;1.8;0.0261;
UE 88;39;2.5;1.4;1.4;1.2;0.0082;
UE 88;40;5;2.9;2.2;1.9;0.0596;
UE 88;41;4.8;2.5;2.2;1.9;0.0571;
UE 88;42;5.5;3.1;2.9;1.8;0.0525;
UE 88;43;4.8;2.6;2;1.8;0.0412;
UE 88;44;4;2.1;2;1.6;0.0281;
UE 88;45;3.5;2;2;1.5;0.0205;
UE 88;46;3.9;1.9;1.4;1.4;0.0273;
UE 88;47;3.9;1.8;1.5;1.6;0.0363;
UE 88;48;4.1;2;1.7;1.8;0.036;
UE 88;49;2.9;1.8;1;1.3;0.0164;
UE 88;50;4;2;2;1.8;0.0309;
UE 88;51;3.8;1.2;1.2;1.5;0.0236;
UE 88;52;4.9;2;1.8;1.6;0.0287;
UE 88;53;4;1.8;1.7;1.2;0.0299;
UE 88;54;2.6;1.1;1;1.3;0.0164;
UE 88;55;4;1.2;1;1.1;0.0221;
UE 88;56;3.5;1.5;1.5;1.5;0.0268;
UE 88;57;3.5;1.5;1.5;1.5;0.0267;
UE 88;58;3.9;1.5;1.1;1.5;0.0321;
UE 88;59;3.9;1.5;1.5;1.3;0.0303;
UE 88;60;3;1;1;1.1;0.0121;
UE 88;61;4.1;1.1;1;1.2;0.0349;
UE 88;62;2;1;1;1.1;0.0093;
UE 88;63;4;2;2;1.9;0.0553;
UE 88;64;4;2;1.9;1.7;0.0499;
UE 88;65;3.1;1.1;1.1;1.8;0.0309;
UE 88;66;4;2.5;2;1.5;0.0412;
UE 88;67;3;1;1;1.3;0.025;
UE 88;68;4.5;1.8;1.2;1.5;0.0364;
UE 88;69;4.1;1.8;1.4;1.3;0.0412;
UE 88;70;3.6;1.5;1.5;1.5;0.0267;
UE 88;71;3;1.1;1;1.2;0.0196;
UE 88;72;3.8;1.8;1.8;1.2;0.0218;
UE 88;73;4;1.8;1.8;1.5;0.0326;
UE 88;74;3.8;1.8;1.6;1.7;0.0335;
UE 88;75;5.1;1.8;1.8;1.1;0.0471;
UE 88;76;3.2;1.5;1.1;1.3;0.0275;
UE 88;77;3;1.2;1.2;1.1;0.0185;
UE 88;78;3.2;1.6;1.6;1.3;0.0188;
UE 88;79;4;1.8;1.5;1.7;0.0379;
UE 88;80;3.8;1.5;1.2;1.6;0.0417;
UE 88;81;3.1;1.3;1;1.4;0.0203;
UE 88;82;3.2;1.5;1.2;1.3;0.0252;
UE 88;83;4;1.5;1.5;1.5;0.046;
UE 88;84;4.7;2.1;2;1.8;0.0504;
UE 88;85;4;1.8;1;1.2;0.0304;
UE 88;86;3;1.6;1.2;1.7;0.0226;
UE 88;87;3.1;1.6;1;1.8;0.0178;
UE 88;88;4.5;2.9;2.5;1.6;0.0361;
UE 88;89;4.2;2.9;2.5;1.8;0.0383;
UE 88;90;3.5;2.5;2;1.4;0.0182;
UE 88;91;4.9;2.1;2;1.8;0.0547;
UE 88;92;4;2;2;1.8;0.0315;
UE 88;93;3.2;2;1.4;1.7;0.0177;
UE 88;94;2.8;1.9;1.5;0.9;0.009;
UE 88;95;3.9;2.2;2;1.9;0.0289;
UE 88;96;4.7;2;1.9;1.8;0.0439;
UE 88;97;3.1;1.3;1.3;1.5;0.016;
UE 88;98;4.5;2.8;2.7;1.9;0.0315;
UE 88;99;4.1;2;1.8;1.5;0.0266;
UE 88;100;3.9;3;2.7;1.7;0.0148;
