INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g)
ESTRUC. 10042 (UE: 542);1;5;1.1;1.1;1.8;0.0542
ESTRUC. 10042 (UE: 542);2;4.5;2;2;1.1;0.039
ESTRUC. 10042 (UE: 542);3;5.1;2.5;2;1.1;0.0727
ESTRUC. 10042 (UE: 542);4;5;2;2;1.9;0.0747
ESTRUC. 10042 (UE: 542);5;5.2;2;1.8;1;0.0587
ESTRUC. 10042 (UE: 542);6;5;2;2;1.2;0.0639
ESTRUC. 10042 (UE: 542);7;4.9;2.4;2.2;2;0.0793
ESTRUC. 10042 (UE: 542);8;5.4;3;2.8;2;0.0872
ESTRUC. 10042 (UE: 542);9;6.8;3;3;3;0.1847
ESTRUC. 10042 (UE: 542);10;5.1;2;2;0.9;0.0357
ESTRUC. 10042 (UE: 542);11;4.9;2.2;2;1.5;0.0508
ESTRUC. 10042 (UE: 542);12;4.9;3.5;2;1.8;0.0403
ESTRUC. 10042 (UE: 542);13;5.1;2;1.8;1.2;0.057
ESTRUC. 10042 (UE: 542);14;5.8;3;2.7;2;0.082
ESTRUC. 10042 (UE: 542);15;5;2.1;2;1.5;0.0658
ESTRUC. 10042 (UE: 542);16;5;2;2;1.3;0.0467
ESTRUC. 10042 (UE: 542);17;4.7;2.1;2;1.1;0.0396
ESTRUC. 10042 (UE: 542);18;5;2.8;2;1.8;0.0533
ESTRUC. 10042 (UE: 542);19;4.9;2.7;2.2;1.9;0.0626
ESTRUC. 10042 (UE: 542);20;5.8;3;2.5;1.3;0.0697
ESTRUC. 10042 (UE: 542);21;5.1;2;2;1.2;0.0566
ESTRUC. 10042 (UE: 542);22;5.1;2;2;2;0.0692
ESTRUC. 10042 (UE: 542);23;5.1;2;2;1.4;0.0577
ESTRUC. 10042 (UE: 542);24;5;2.2;2.2;1.1;0.035
ESTRUC. 10042 (UE: 542);25;5.1;2;2;1;0.0247
ESTRUC. 10042 (UE: 542);26;4.9;3;2.8;2;0.0724
ESTRUC. 10042 (UE: 542);27;3.5;2;1.7;1.8;0.0284
ESTRUC. 10042 (UE: 542);28;5;2;1.5;1.4;0.0752
ESTRUC. 10042 (UE: 542);29;5.1;2.5;1.8;1.9;0.0957
ESTRUC. 10042 (UE: 542);30;4.5;2;2;1.7;0.07
ESTRUC. 10042 (UE: 542);31;4.5;1.8;1.8;1.1;0.0525
ESTRUC. 10042 (UE: 542);32;5.5;2.5;2;1.8;0.0906
ESTRUC. 10042 (UE: 542);33;4.5;2;1.5;1.1;0.0526
ESTRUC. 10042 (UE: 542);34;5.1;2;2;1.2;0.058
ESTRUC. 10042 (UE: 542);35;5.1;2.2;1.8;1.3;0.0359
ESTRUC. 10042 (UE: 542);36;5;2.1;2;1.8;0.0622
ESTRUC. 10042 (UE: 542);37;3.1;1.9;1.9;2.1;0.0346
ESTRUC. 10042 (UE: 542);38;5;2;1.8;1.5;0.064
ESTRUC. 10042 (UE: 542);39;5.1;2.1;1.8;1.1;0.0647
ESTRUC. 10042 (UE: 542);40;5;2.2;2;1.9;0.0614
ESTRUC. 10042 (UE: 542);41;5;2.5;2.1;1.8;0.0664
ESTRUC. 10042 (UE: 542);42;4.6;2.6;2.5;2;0.0523
ESTRUC. 10042 (UE: 542);43;4.5;1.8;1.6;0.9;0.0286
ESTRUC. 10042 (UE: 542);44;4.7;2;1.8;1;0.0494
ESTRUC. 10042 (UE: 542);45;4.8;1.8;1.8;2;0.0743
ESTRUC. 10042 (UE: 542);46;4.6;1.6;1.5;1.1;0.0418
ESTRUC. 10042 (UE: 542);47;5;2.5;2;1.8;0.0809
