moscot driver genes Alpha;Alpha_pull_corr;Alpha_pull_pval;Alpha_pull_qval;Alpha_pull_ci_low;Alpha_pull_ci_high
Cltrn;0.642485807285554;0;0;0.626217235990738;0.658195129244829
Gcg;0.634646109016315;0;0;0.618103741435708;0.65062663627208
Peg10;0.604870875822466;0;0;0.587320707279417;0.621852487726807
Wnk3;0.596220856892542;0;0;0.578387419531988;0.613484690808757
Mctp2;0.595638316469923;0;0;0.577785955896226;0.61292101742371
Irx2;0.56737703564202;0;0;0.548629906179423;0.585553905539436
Dock11;0.565027328457524;0;0;0.546207857279039;0.583276674391832
Gria2;0.554958752739089;0;0;0.53583285689309;0.573515411569182
Irx1;0.541528323266997;0;0;0.522002673531545;0.560486697868854
Smarca1;0.539893818219485;0;0;0.520320218295897;0.558900441484056
Dpp4;0.528162762093174;0;0;0.508249474614912;0.547511589075607
Pde4d;0.524769040856372;0;0;0.504758942377866;0.544215527900639
Slc16a10;0.518600073209641;0;0;0.498415670884959;0.538222544862826
Sphkap;0.511943853198755;0;0;0.491573802880726;0.531753983100811
Pde1a;0.511218683659857;0;0;0.490828559588556;0.531049118553215
Pou6f2;0.499081700885361;0;0;0.478360034442397;0.519247900433038
Auts2;0.494651088126635;0;0;0.473810472632531;0.51493794175692
Etv1;0.48498260221122;0;0;0.463886277195698;0.505529184750711
Tmsb15b2;0.475028288981195;0;0;0.453674224046932;0.49583717064837
Slc38a5;0.473686521331715;0;0;0.452298143747167;0.494530362392601
Dlg2;0.472922409938505;0;0;0.451514537452911;0.493786117597948
Tnr;0.467694148862084;0;0;0.44615377271913;0.488692969085024
Nxph1;0.465167120529353;0;0;0.443563254045257;0.486230732900694
A1cf;0.457941742613505;0;0;0.436158333150976;0.479188765339399
Gk;0.45456038507975;0;0;0.432693965521009;0.475892300974259
Ndst4;0.452491571631162;0;0;0.430574682442294;0.473875132076759
Cdh2;0.450712625740523;0;0;0.428752531607883;0.472140415198362
Zcchc18;0.447737534251751;0;0;0.425705583809669;0.469238920969004
Rragb;0.447572443601785;0;0;0.425536520415351;0.46907790070416
Ptprd;0.447345384323934;0;0;0.425303999691625;0.46885643734063
Pyy;0.441033375420661;0;0;0.418841332852237;0.462698906146628
Ncoa7;0.439682290742311;0;0;0.417458291908944;0.461380615725923
Ocrl;0.432741122476285;0;0;0.410354571938908;0.454606416333468
Meis2;0.432583246464145;0;0;0.41019303030247;0.454452308580425
Ccser1;0.432068082493625;0;0;0.409665914834234;0.453949431680853
Ttr;0.429807845908071;0;0;0.407353418888183;0.45174293878366
St6galnac5;0.427096126931153;0;0;0.404579381640716;0.449095344645493
Rtl4;0.426812467523374;0;0;0.404289227367003;0.448818370695616
Rnf130;0.424396458294172;0;0;0.401818083215509;0.446459132067433
Arx;0.416070134811372;0;0;0.393304266324846;0.438326106975084
Sorcs1;0.406728989809045;0;0;0.383757420869884;0.429197479846242
Slc7a14;0.404887530616182;0;0;0.381875990337007;0.427397373391328
Ncam1;0.394950958381729;0;0;0.371727021679106;0.417680860830565
Gpx3;0.39393834848051;0;0;0.370693078607786;0.416690384648002
Pcsk1n;0.392375468206538;0;0;0.369097385419209;0.415161559913173
Slc7a2;0.381386133987858;0;0;0.357881202240229;0.404408050726821
Gria3;0.366665769253387;0;0;0.342867590517878;0.38999359589056
Ank;0.366457219501693;0;0;0.342654973517;0.389789297928945
Abcc8;0.366302232213348;0;0;0.342496965162723;0.389637468942989
Sgms1;0.365787870850631;0;0;0.341972587340422;0.389133580051197
Asb4;0.365270672080125;0;0;0.341445331809915;0.388626897434797
Nlgn1;0.361617198190892;0;0;0.337721244357881;0.385047306914681
Cpe;0.353581115847422;0;0;0.329532474105129;0.377171255002033
Kcnip4;0.351895129791371;0;0;0.3278149128711;0.375518410508131
Chic1;0.350965987447622;0;0;0.326868437561458;0.374607468162644
Gast;0.350218756267376;0;0;0.326107301999454;0.373874840599438
Edn3;0.349673914199493;0;0;0.325552341286943;0.373340628117929
Cntnap5b;0.344209886292498;0;0;0.31998775600088;0.367982332421065
Pam;0.340422990611607;0;0;0.316132148307196;0.364267788888809
Tmsb15l;0.339457781734164;0;0;0.315149554326991;0.363320899874325
Gnai1;0.338299944092768;0;0;0.313970930750887;0.362184973187105
Klb;0.337970976947518;0;0;0.31363607154286;0.361862218483279
Resp18;0.334699838263918;0;0;0.310306673467432;0.35865254256371
Fam155a;0.33124770911495;0;0;0.30679371033702;0.355264662522018
Sorcs2;0.330429327651561;0;0;0.305961004909653;0.354461419789716
Rasgrf2;0.329815278269101;0;0;0.305336232528215;0.353858706035432
Ctxn2;0.326588432620712;0;0;0.302053383575611;0.3506911011898
Tent5d;0.32594538948852;0;0;0.301399249681519;0.350059797606402
Prkg1;0.325264318278003;0;0;0.300706457021288;0.349391136306333
Isl1;0.32489111741324;0;0;0.300326844243755;0.349024725173226
Pla2g1b;0.324857909718667;0;0;0.300293066389352;0.348992121276584
Rai2;0.32443013627969;0;0;0.299857953798736;0.348572120591601
Ctnna2;0.324409840264638;0;0;0.299837309826447;0.348552193119474
Cpn1;0.323788328609301;0;0;0.299205154045427;0.347941956546585
Pwwp3b;0.321432419260483;0;0;0.296809092870919;0.345628600809721
2610035D17Rik;0.320433610341563;0;0;0.295793354803197;0.344647744090968
Pcsk2;0.317343953808202;0;0;0.292651683360275;0.341613285060617
Nell1;0.317102398900192;0;0;0.292406084299023;0.3413760242648
Cers6;0.315145915391834;0;0;0.290416965060204;0.339454207087793
Zim1;0.31447085318895;0;0;0.289730691859378;0.338791059009415
Pik3c2g;0.314234137649843;0;0;0.289490051125271;0.338558515523549
Cntnap2;0.313760651622912;0;0;0.28900872318249;0.338093365655667
Nap1l5;0.312702269443374;0;0;0.287932857235589;0.337053574283106
Gls;0.3097322428851;0;0;0.284914101691389;0.334135399869959
Syt9;0.309036620742361;0;0;0.284207137678684;0.333451854603101
Mamld1;0.309003642405847;0;0;0.284173622312553;0.333419448174681
Itpr1;0.307467041647405;0;0;0.282612066345878;0.33190943106695
Zbtb20;0.307018348597779;0;0;0.282156111132959;0.331468476910213
Dpp10;0.306069874079639;0;0;0.281192322378075;0.330536326175513
Ush1c;0.305997772650292;0;0;0.281119058838779;0.330465463700318
Tspan7;0.305499098136104;0;0;0.280612354771879;0.329975350602588
A2ml1;0.304090231527668;0;0;0.279180877839969;0.328590600595687
Colgalt2;0.302957295770848;0;0;0.278029840367316;0.327476981715765
Wnt4;0.302068705787085;0;0;0.277127102841979;0.326603494773684
Scg3;0.301766044187593;0;0;0.276819632517813;0.326305967834881
Rgs4;0.3006090271197;0;0;0.275644279707859;0.325168534762131
Klhl13;0.296301392776667;0;0;0.271269036653402;0.320933187773632
Pon3;0.292112630776815;0;0;0.267015523497326;0.316813773324412
9130016M20Rik;0.291286432924596;0;0;0.266176669469324;0.316001143646342
Cdh8;0.290769318992164;0;0;0.265651653438299;0.315492503528012
4933406I18Rik;0.290021907528906;0;0;0.26489284699138;0.3147573145991
Rbp4;0.288952235639823;0;0;0.263806921098383;0.313705083582364
Scg5;0.287171594761534;0;0;0.261999364174151;0.311953340994296
Gm20554;0.28706987640451;0;0;0.261896113581711;0.311853268352342
Cd47;0.286301299799398;0;0;0.261115978142504;0.311097108877975
Cit;0.284341973733612;0;0;0.259127334063422;0.309169295663935
Dusp10;0.28344309512067;0;0;0.258215076778594;0.308284805897281
Mbnl2;0.283087625517945;0;0;0.257854328873514;0.307935014641335
Myt1l;0.28272272211444;0;0;0.25748401440475;0.307575933294923
Tshz2;0.282058908434295;0;0;0.256810376200031;0.306922692652285
Gnao1;0.281699813308308;0;0;0.256445976646731;0.306569307327963
Gnas;0.280626673509542;0;0;0.255357027585079;0.305513190157445
Wdr49;0.279742537721276;0;0;0.254459915065305;0.304643032923388
Nav2;0.27943360917127;0;0;0.254146462534325;0.304338978862675
Epha7;0.277887969181345;0;0;0.252578267808617;0.302817650835343
