moscot driver genes Beta;Beta_pull_corr;Beta_pull_pval;Beta_pull_qval;Beta_pull_ci_low;Beta_pull_ci_high
Sytl4;0.751570590725563;0;0;0.73947854858771;0.763177795136333
Phactr1;0.747110562701449;0;0;0.734834297621835;0.758897466300061
Nnat;0.743701736148793;0;0;0.731285444366243;0.755625298108047
Sntg1;0.739035073634114;0;0;0.726428176032887;0.751144754777192
Ins2;0.730049250831995;0;0;0.717078881234521;0.742514167315781
Ero1lb;0.712262230159516;0;0;0.698586138065837;0.725418105277866
Ins1;0.696359246080443;0;0;0.682067638447801;0.710119135568018
Ppp1r1a;0.694398731448227;0;0;0.680032252534783;0.708232183550388
Mafa;0.668960582110106;0;0;0.653642691865101;0.683730593525938
Slc2a2;0.663180845410988;0;0;0.647651976174659;0.678159003390911
Iapp;0.638425132266388;0;0;0.622014304639064;0.654275324949619
Mapt;0.630006228899887;0;0;0.613303476231744;0.646145771468321
Papss2;0.626615008253383;0;0;0.609795812750839;0.642870068856641
Sdf2l1;0.614912465463181;0;0;0.597696502766009;0.631561591918109
Gng12;0.605075518921484;0;0;0.5875321037759;0.622050407044546
Glp1r;0.597317462361482;0;0;0.579519699682399;0.614545732226917
Scg2;0.590713394426524;0;0;0.572701827696628;0.608154898274872
Atp2a2;0.588145670223291;0;0;0.570051647027636;0.605669470884645
Gm31218;0.580421521924986;0;0;0.562081724987127;0.598190823338409
Mcc;0.579919075969279;0;0;0.561563409718913;0.597704239648507
Gm43948;0.564430375469044;0;0;0.545592575698661;0.582698088543352
P2ry1;0.554850848424248;0;0;0.535721699915842;0.573410772161269
Hspa5;0.553790913337498;0;0;0.534629849438569;0.572382875793601
Itpkb;0.546434890911999;0;0;0.527054094108181;0.565247594020717
Slc24a2;0.546420393572231;0;0;0.527039166756765;0.565233528939417
Rora;0.543927203234405;0;0;0.524472202725441;0.562814513857896
Arhgap36;0.539572810811295;0;0;0.519989811596544;0.558588893493588
Acvr1c;0.539196023172903;0;0;0.519601998864138;0.558223202154377
Grip1;0.537465042717046;0;0;0.517820472335236;0.556543103629734
Hyou1;0.537433799335569;0;0;0.517788318186311;0.556512777209475
Hadh;0.537372208100474;0;0;0.517724931684169;0.556452993465098
Hsp90b1;0.537158388609624;0;0;0.517504881437071;0.556245447306729
G6pc2;0.532073675484308;0;0;0.512272764249262;0.551309214864082
Npy;0.532036418865264;0;0;0.512234432997301;0.551273041219343
Prkag2;0.527879882805114;0;0;0.507958500773788;0.547236873051714
Plppr1;0.521701997347255;0;0;0.501604969601523;0.541236227225183
Col6a6;0.520698291589154;0;0;0.500572931807757;0.540261129234699
Creld2;0.520131671442027;0;0;0.499990342690472;0.539710635776302
Robo2;0.517661136562273;0;0;0.497450394100686;0.537310219607161
Prkcb;0.513862394225528;0;0;0.493545595826128;0.533618671986796
Sdk2;0.511037435338625;0;0;0.490642298709294;0.530872940958942
Dlk1;0.510901797971746;0;0;0.490502911408759;0.53074109715414
Slc30a8;0.506122425290844;0;0;0.485592070839816;0.526094782856949
Syndig1l;0.495790562717892;0;0;0.474980432543496;0.516046484248126
Kcnk9;0.494655521879642;0;0;0.473815024862881;0.514942255283064
Pdia6;0.494469534202731;0;0;0.473624068238746;0.514761310016656
Rims3;0.492899593260074;0;0;0.472012261996633;0.513233860537871
Klhl32;0.492037844671656;0;0;0.471127592688105;0.512395380967754
Sec24d;0.489924757696158;0;0;0.468958480028258;0.510339187472604
Manf;0.481826561518859;0;0;0.460647912285328;0.502456867950286
Dnajc3;0.480370652265945;0;0;0.459154216173424;0.501039405635594
Dnah9;0.474835630910744;2.41E-302;9.32E-300;0.453476632924127;0.495649538026169
Pcsk2;0.47448882801518;7.99E-302;3.03E-299;0.453120955355269;0.495311776520136
Pdia3;0.474306498817224;1.50E-301;5.58E-299;0.452933963088406;0.495134198244478
Gm281;0.474080503346704;3.27E-301;1.19E-298;0.452702190393927;0.494914089085976
Maob;0.47388334855392;6.44E-301;2.31E-298;0.452499998003778;0.494722067233014
