moscot driver genes epsilon progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Cdkn1a;0.239424880208518;0;0;0.21359668478168;0.264918600201831
Ppp1r14a;0.239065843611129;0;0;0.213233195306957;0.26456445723247
Btbd17;0.227905507050878;0;0;0.201938009928944;0.253552804332381
Tbc1d9;0.22306664948752;0;0;0.197042830936803;0.248776345773508
Kif26a;0.223058578634978;0;0;0.197034667228129;0.248768377953089
Megf11;0.211662653046029;0;0.00000000000000000000000000000000000000000000000002;0.185511229094452;0.237514459859856
Epb42;0.21119523891547;0;0.00000000000000000000000000000000000000000000000003;0.185038738432464;0.237052722088459
Scube1;0.210430647199998;0;0.00000000000000000000000000000000000000000000000005;0.184265868642565;0.236297390523528
Shf;0.207692753354179;0;0.00000000000000000000000000000000000000000000000109;0.1814985975463;0.233592399539837
Fam107b;0.207208589443889;0;0.00000000000000000000000000000000000000000000000173;0.181009281782017;0.233114012390659
Selenom;0.20696235160811;0;0.0000000000000000000000000000000000000000000000021;0.180760428773423;0.232870707710855
Smarcd2;0.206314973816232;0;0.00000000000000000000000000000000000000000000000406;0.180106191499727;0.232231025934034
Cer1;0.203186771391794;0.00000000000000000000000000000000000000000000000009;0.000000000000000000000000000000000000000000000129;0.17694516999211;0.229139695598242
Rbfox3;0.202073043729046;0.00000000000000000000000000000000000000000000000031;0.000000000000000000000000000000000000000000000416;0.17581988848272;0.228038969044447
Tmsb4x;0.201947316743375;0.00000000000000000000000000000000000000000000000036;0.000000000000000000000000000000000000000000000448;0.175692861510755;0.227914705564395
Sult2b1;0.198558178915293;0.0000000000000000000000000000000000000000000000149;0.0000000000000000000000000000000000000000000176;0.172269010216581;0.224564699713238
Dab1;0.196655717605097;0.000000000000000000000000000000000000000000000117;0.000000000000000000000000000000000000000000131;0.170347341146436;0.22268393535621
Lipg;0.194039977252602;0.00000000000000000000000000000000000000000000193;0.00000000000000000000000000000000000000000202;0.167705518251714;0.220097710311544
Gpr153;0.193957801916163;0.00000000000000000000000000000000000000000000211;0.00000000000000000000000000000000000000000202;0.167622529641043;0.220016456284056
Sel1l;0.193889468059126;0.00000000000000000000000000000000000000000000227;0.00000000000000000000000000000000000000000207;0.167553519780585;0.219948888276831
Grasp;0.192054533587593;0.0000000000000000000000000000000000000000000158;0.0000000000000000000000000000000000000000138;0.165700529439582;0.218134425273626
Gadd45a;0.185422446515433;0.0000000000000000000000000000000000000000148;0.0000000000000000000000000000000000000119;0.159004733615205;0.211574825277011
Neurod2;0.184934321988056;0.0000000000000000000000000000000000000000242;0.0000000000000000000000000000000000000187;0.158512016092998;0.211091942727652
Ndc1;0.18446428650416;0.0000000000000000000000000000000000000000389;0.000000000000000000000000000000000000028;0.158037570259611;0.210626942896291
Dpysl5;0.184230912840321;0.0000000000000000000000000000000000000000492;0.0000000000000000000000000000000000000341;0.157802011380492;0.210396065046673
Mdk;0.183962581329768;0.0000000000000000000000000000000000000000645;0.0000000000000000000000000000000000000432;0.157531171041127;0.210130599599742
Tgfbr1;0.183026849374005;0.000000000000000000000000000000000000000164;0.000000000000000000000000000000000000103;0.156586721348776;0.209204832057915
Chn2;0.179557032616639;0.00000000000000000000000000000000000000506;0.00000000000000000000000000000000000299;0.153085000121573;0.20577155498604
Sulf2;0.177200454305246;0.0000000000000000000000000000000000000499;0.0000000000000000000000000000000000287;0.150707132417319;0.203439425119654
Dner;0.176113937620602;0.000000000000000000000000000000000000142;0.0000000000000000000000000000000000791;0.149610903356549;0.202364080266037
Lynx1;0.175633576704217;0.000000000000000000000000000000000000224;0.000000000000000000000000000000000122;0.149126269262608;0.201888638357769
Gm38655;0.174440257559736;0.000000000000000000000000000000000000698;0.00000000000000000000000000000000036;0.147922389742642;0.200707485526173
Cck;0.173988358517895;0.00000000000000000000000000000000000107;0.000000000000000000000000000000000538;0.147466512096979;0.200260173818948
Pip4k2a;0.173438577135017;0.0000000000000000000000000000000000018;0.000000000000000000000000000000000882;0.146911905529856;0.199715958629162
Upk3bl;0.170567000653656;0.0000000000000000000000000000000000262;0.000000000000000000000000000000012;0.144015397547612;0.196873191566442
Lurap1l;0.169532518961002;0.0000000000000000000000000000000000681;0.0000000000000000000000000000000298;0.142972045773599;0.195848980042943
Nefm;0.168886337225896;0.000000000000000000000000000000000123;0.0000000000000000000000000000000527;0.142320353357114;0.195209184362825
Rgs17;0.168719075360399;0.000000000000000000000000000000000144;0.0000000000000000000000000000000602;0.142151668823509;0.195043571854992
Tecpr1;0.165956610852944;0.00000000000000000000000000000000176;0.000000000000000000000000000000693;0.139365930988398;0.192308130671215
Mboat4;0.165096387070453;0.0000000000000000000000000000000038;0.00000000000000000000000000000147;0.138498545884141;0.191456238255255
Tgm7;0.164036988091953;0.00000000000000000000000000000000976;0.0000000000000000000000000000037;0.137430383527462;0.190407045101491
Notum;0.163113336493569;0.0000000000000000000000000000000221;0.00000000000000000000000000000794;0.13649914195158;0.189492242432712
Megf6;0.161812122558053;0.0000000000000000000000000000000694;0.0000000000000000000000000000245;0.135187315275379;0.188203416909852
