moscot driver genes Fev+ delta;Fev_delta_pull_corr;Fev_delta_pull_pval;Fev_delta_pull_qval;Fev_delta_pull_ci_low;Fev_delta_pull_ci_high
Cdkn1a;0.330531845136912;0;0;0.306065314686584;0.354562042810911
Mboat4;0.308716348756865;0;0;0.283881652850266;0.33313713431219
Rgs17;0.260188391515203;0;0;0.234629883734905;0.285387414527756
Nefm;0.254981670421305;0;0;0.229353285864208;0.280256751104299
Gm38655;0.233234235571158;0;0;0.207330263184848;0.258811370166936
Tox2;0.230949571749662;0;0;0.205018170696724;0.256556973869303
Kcnh8;0.230129769885765;0;0;0.20418859720352;0.2557479649138
Cck;0.224755520383238;0;0;0.198751211890092;0.250443580076248
Cacna2d1;0.215570494776004;0;0;0.189461986684856;0.241374387002087
Fam107b;0.213505313526882;0;0;0.187374020311189;0.239334628949234
Lrrtm3;0.206212145260491;0;0.00000000000000000000000000000000000000000000000494;0.180002275527848;0.23212941773894
Gm609;0.196758998939735;0.000000000000000000000000000000000000000000000105;0.00000000000000000000000000000000000000000016;0.170451660100453;0.222786043774569
Tmem184c;0.196703462396384;0.000000000000000000000000000000000000000000000111;0.00000000000000000000000000000000000000000016;0.17039556553407;0.222731138003919
Ctnna3;0.196376599533331;0.000000000000000000000000000000000000000000000158;0.000000000000000000000000000000000000000000212;0.170065421855937;0.222407984236622
Mdk;0.187981313537324;0.00000000000000000000000000000000000000000109;0.00000000000000000000000000000000000000137;0.16158789355957;0.214106003696165
Enpp1;0.184336381739459;0.0000000000000000000000000000000000000000443;0.0000000000000000000000000000000000000468;0.15790846747464;0.210500406370322
Rbfox3;0.174973061298164;0.000000000000000000000000000000000000421;0.000000000000000000000000000000000404;0.148459898860871;0.20123486657796
Isl1;0.174969900650697;0.000000000000000000000000000000000000422;0.000000000000000000000000000000000404;0.148456710254409;0.201231738143326
Sms;0.174346657770484;0.000000000000000000000000000000000000763;0.000000000000000000000000000000000697;0.147827964958004;0.200614836789979
Selenom;0.17291165495409;0.00000000000000000000000000000000000295;0.00000000000000000000000000000000251;0.146380374441948;0.199194355991043
St8sia2;0.172893720831908;0.000000000000000000000000000000000003;0.00000000000000000000000000000000251;0.146362283722346;0.199176602660725
Stxbp5l;0.170699689985023;0.0000000000000000000000000000000000232;0.0000000000000000000000000000000187;0.144149228884769;0.197004559424827
Kcnb2;0.170059403137015;0.0000000000000000000000000000000000419;0.0000000000000000000000000000000324;0.143503440299769;0.196370640571377
Krt7;0.167707931299119;0.000000000000000000000000000000000361;0.000000000000000000000000000000269;0.141131957201386;0.194042366647025
Cd200;0.167266638585;0.000000000000000000000000000000000539;0.000000000000000000000000000000387;0.140686943029334;0.193605394340901
Neurod2;0.16556826464598;0.00000000000000000000000000000000249;0.00000000000000000000000000000162;0.138974346765413;0.191923550559735
Hpca;0.16376071148119;0.0000000000000000000000000000000125;0.00000000000000000000000000000784;0.137151831721939;0.190133420124965
Prox1;0.158983935018057;0.000000000000000000000000000000805;0.000000000000000000000000000462;0.132336382834719;0.185401842061373
Btbd17;0.158379331498931;0.00000000000000000000000000000135;0.000000000000000000000000000755;0.131726974158244;0.184802872019914
Lurap1l;0.155076911494058;0.0000000000000000000000000000221;0.000000000000000000000000012;0.128398663288071;0.181530876296485
Grik2;0.155023002010634;0.0000000000000000000000000000231;0.0000000000000000000000000122;0.128344336140878;0.181477458606913
Trmt9b;0.153417234753046;0.0000000000000000000000000000878;0.0000000000000000000000000453;0.126726201612122;0.179886268515097
Marcks;0.153297112592376;0.000000000000000000000000000097;0.0000000000000000000000000488;0.12660516000715;0.179767231255426
Peg3;0.152911394120079;0.000000000000000000000000000133;0.0000000000000000000000000641;0.12621649452565;0.179384991215146
Bambi;0.152905813086651;0.000000000000000000000000000134;0.0000000000000000000000000641;0.12621087091154;0.179379460453144
Cer1;0.152707743004854;0.000000000000000000000000000158;0.0000000000000000000000000737;0.126011290758343;0.179183173413468
Ptprk;0.151887143342331;0.000000000000000000000000000309;0.000000000000000000000000141;0.125184457928354;0.178369938395995
Inhbb;0.151700910715368;0.00000000000000000000000000036;0.000000000000000000000000161;0.124996815866796;0.178185372115764
Hnrnpa1;0.149130839280262;0.00000000000000000000000000289;0.00000000000000000000000124;0.122407488847925;0.175638106485481
Gprc5b;0.148687217280551;0.00000000000000000000000000413;0.00000000000000000000000173;0.121960579940657;0.175198385089677
Tox3;0.14595420427712;0.000000000000000000000000036;0.0000000000000000000000142;0.119207556373798;0.172489169141639
Cacna1c;0.144280935909025;0.000000000000000000000000133;0.0000000000000000000000504;0.117522239634662;0.170830272190449
Tspan12;0.14378299074045;0.000000000000000000000000196;0.0000000000000000000000728;0.117020738768671;0.170336574725545
Cd63;0.142708374069937;0.000000000000000000000000447;0.000000000000000000000163;0.115938495047647;0.169271079603923
Trp53cor1;0.142075665808817;0.000000000000000000000000726;0.000000000000000000000256;0.115301325891993;0.168643712847349
Tbc1d9;0.140157617137217;0.00000000000000000000000311;0.00000000000000000000106;0.113369888690863;0.16674172534432
Igsf8;0.139791496376751;0.00000000000000000000000409;0.00000000000000000000137;0.113001235312798;0.166378647882494
Actg1;0.139318675559233;0.00000000000000000000000583;0.00000000000000000000192;0.112525154700177;0.165909746617247
Slc9c1;0.139096466908488;0.00000000000000000000000689;0.00000000000000000000223;0.112301418312866;0.165689375860674
Mfhas1;0.137260129760296;0.0000000000000000000000269;0.00000000000000000000832;0.110452559909839;0.16386812544348
Ptprs;0.136625363357617;0.0000000000000000000000429;0.0000000000000000000129;0.109813508435332;0.163238531879698
Ppp1r14a;0.135340720011842;0.00000000000000000000011;0.0000000000000000000319;0.108520260761732;0.161964291023341
Rmst;0.134928126868999;0.000000000000000000000148;0.0000000000000000000418;0.108104923398406;0.16155502004442
Tpt1;0.133302525340435;0.000000000000000000000476;0.000000000000000000131;0.106468600863058;0.159942418578263
Tmsb4x;0.132733699845539;0.000000000000000000000714;0.000000000000000000194;0.105896058232065;0.159378108440779
Smarcd2;0.132581950819329;0.000000000000000000000795;0.000000000000000000213;0.105743320569659;0.15922756106165
Rph3al;0.131045652407975;0.00000000000000000000235;0.000000000000000000607;0.104197084568083;0.157703358272648
Tox;0.130936680532833;0.00000000000000000000254;0.000000000000000000647;0.104087412734655;0.157595239532897
