moscot driver genes delta cells;Delta_pull_corr;Delta_pull_pval;Delta_pull_qval;Delta_pull_ci_low;Delta_pull_ci_high
Hhex;0.661332438129573;0;0;0.645736501184328;0.676376799651993
Sst;0.637607377217212;0;0;0.621168015818947;0.653485835976857
Mef2c;0.448428216936013;1.39E-264;9.31E-261;0.426412903774172;0.469912559054202
Dscam;0.436931101358409;2.89E-249;1.45E-245;0.414642348821413;0.458695908466556
Ptprz1;0.422746518865429;3.02E-231;1.21E-227;0.400130680032487;0.444847786090657
Spock3;0.41405651374026;1.14E-220;3.83E-217;0.391245888344221;0.436358685373589
Masp1;0.406892573628477;3.34E-212;9.60E-209;0.383924564719377;0.429357381512839
Pcdh15;0.376653884453853;7.08E-179;1.78E-175;0.353053354903878;0.39977539107486
Arg1;0.365217083296978;3.09E-167;6.91E-164;0.341390701867823;0.388574397459703
Igfbp5;0.358596393702142;9.98E-161;2.01E-157;0.334642619333075;0.38208705895611
Slc16a7;0.35822549449343;2.28E-160;4.17E-157;0.33426465606803;0.381723561743022
Stk32a;0.329618793978172;3.86E-134;6.46E-131;0.305136321529286;0.353665844715856
Rbp4;0.309527394429001;1.98E-117;3.06E-114;0.284705910449742;0.333934110507461
Adcy2;0.300945455951894;1.06E-110;1.52E-107;0.275986032374167;0.32549927643309
Kctd8;0.29315438802792;8.44E-105;1.13E-101;0.268073293200984;0.317838370705749
Pyy;0.28763532682306;9.80E-101;1.23E-97;0.262470088970209;0.312409563304419
Mapk10;0.280186035068362;2.12E-95;2.51E-92;0.254909916319672;0.30507952358883
Scn3a;0.278837892097427;1.88E-94;2.10E-91;0.253542036717319;0.303752647097585
Cacna2d2;0.272147628249312;7.81E-90;8.26E-87;0.246755324703699;0.297166489608573
Auts2;0.270641614318522;8.19E-89;8.24E-86;0.245227943150765;0.295683582220791
Nhs;0.270508365882894;1.01E-88;9.65E-86;0.245092810234884;0.295552372383995
Syne1;0.269721622941395;3.42E-88;3.12E-85;0.24429496082553;0.294777646746776
Calcrl;0.265994990617456;1.05E-85;9.17E-83;0.240516187234683;0.291107490209953
Gabrb3;0.264543617318549;9.51E-85;7.96E-82;0.23904471594376;0.28967791193143
Adam22;0.260644598445259;3.30E-82;2.66E-79;0.235092284963608;0.285836888564771
Shisal2b;0.257631281069329;2.83E-80;2.19E-77;0.232038267378214;0.282867837781406
Pde6c;0.255929878366352;3.40E-79;2.53E-76;0.230314107058972;0.281191215571455
Isl1;0.24451990502149;3.60E-72;2.58E-69;0.218755670513286;0.26994343923644
Slc4a4;0.244340102938861;4.61E-72;3.20E-69;0.218573586745246;0.269766137559656
Mest;0.238474509731823;1.34E-68;8.97E-66;0.212634543119518;0.263981168175163
Cdh2;0.237330122691735;6.18E-68;4.01E-65;0.211476048316386;0.262852296997061
Casr;0.235208610646666;1.03E-66;6.27E-64;0.209328574871156;0.260759364040125
Tmem132b;0.229641095830775;1.44E-63;8.54E-61;0.203694116120912;0.255265707312727
Gap43;0.225699433267552;2.16E-61;1.24E-58;0.199706097829534;0.25137533385991
Cd24a;0.218301735539899;2.01E-57;1.12E-54;0.192223723881044;0.244071654994213
Gria2;0.214682756350025;1.55E-55;8.43E-53;0.188564424914221;0.240497604925252
Nrsn1;0.211734140116559;5.04E-54;2.66E-51;0.185583493644062;0.237585077748892
Ppp1r14c;0.208214605623174;2.99E-52;1.54E-49;0.182026017225459;0.234108011331902
Frzb;0.207844161677453;4.58E-52;2.30E-49;0.181651619625948;0.233741998773779
Plcb4;0.206111855414521;3.31E-51;1.62E-48;0.179900925676218;0.232030317579563
Cntnap3;0.205747740376161;5.00E-51;2.39E-48;0.179532966830231;0.231670517326735
Dtna;0.205526967639682;6.42E-51;3.00E-48;0.179309867061816;0.231452357306818
Ghr;0.203965700436402;3.74E-50;1.71E-47;0.177732220443705;0.229909492366404
Stxbp5l;0.196114527880116;2.10E-46;9.39E-44;0.169800723981554;0.222148882325533
Kcnc2;0.19521856537985;5.50E-46;2.40E-43;0.168895811715127;0.221263044913349
Ddr2;0.194695575088241;9.62E-46;4.11E-43;0.16836761778598;0.220745944961
Cacna2d3;0.19217627067223;1.39E-44;5.82E-42;0.165823458661657;0.218254809781522
Bmp3;0.191254156437066;3.66E-44;1.50E-41;0.164892334810551;0.217342921060778
Cpne4;0.190745498212224;6.22E-44;2.50E-41;0.164378726794175;0.216839883962291
Col25a1;0.190064892300308;1.26E-43;4.98E-41;0.163691520217536;0.216166777674805
Ror1;0.18826995475728;8.09E-43;3.13E-40;0.161879297732145;0.214391499613069
Ikzf2;0.186334222742972;5.87E-42;2.18E-39;0.159925124426573;0.212476775726102
Nek1;0.185235588326941;1.79E-41;6.54E-39;0.158816115634935;0.211389975270221
Hs3st4;0.184555525956432;3.55E-41;1.27E-38;0.158129664858549;0.21071720579482
Cntn3;0.18443983943628;3.99E-41;1.41E-38;0.158012894138372;0.210602757414391
Ramp1;0.184190916031898;5.13E-41;1.78E-38;0.157761640360283;0.210356495691071
Gm609;0.183735639823815;8.09E-41;2.76E-38;0.157302110795612;0.209906079056735
Epb41l4a;0.183370715872516;1.17E-40;3.91E-38;0.156933785856179;0.209545042247709
Sez6l;0.182189665944332;3.78E-40;1.25E-37;0.155741779290228;0.208376523845212
Oxtr;0.180415253777381;2.18E-39;7.08E-37;0.153951050629092;0.206620798527877
Nav3;0.17986021691005;3.76E-39;1.20E-36;0.153390945647807;0.206071572261331
Lmo7;0.179556566265834;5.07E-39;1.59E-36;0.153084529527416;0.205771093502871
Hadh;0.177429213731988;4.00E-38;1.24E-35;0.150937945028702;0.203665824318961
Cd200;0.173190598097946;2.27E-36;6.92E-34;0.14666175555008;0.199470484919554
Ppy;0.172143069431759;6.06E-36;1.82E-33;0.145605093689908;0.198433503019074
Ap1s2;0.172014107320935;6.84E-36;2.02E-33;0.145475011369638;0.198305835259905
Tspan12;0.171214137754705;1.44E-35;4.20E-33;0.14466811349048;0.197513874801653
Pitpnc1;0.171183559456306;1.48E-35;4.26E-33;0.144637271062538;0.197483601964807
Sorcs2;0.170683298602872;2.36E-35;6.67E-33;0.144132696375747;0.196988331338048
Met;0.170502812409615;2.79E-35;7.78E-33;0.14395065720873;0.196809642243775
Unc5c;0.17027831377338;3.43E-35;9.44E-33;0.143724229406214;0.196587376499042
Luzp2;0.169645215227471;6.14E-35;1.67E-32;0.143085705480117;0.195960560265609
Fgf12;0.16702401383456;6.71E-34;1.80E-31;0.140442276780013;0.193365140518179
Nefm;0.166407015082609;1.17E-33;3.06E-31;0.139820101087634;0.192754156842904
1700017B05Rik;0.16613369234217;1.50E-33;3.86E-31;0.139544491737085;0.192483492176493
Meis2;0.165808590663416;2.01E-33;5.11E-31;0.139216675631305;0.192161546903303
Th;0.165596286485378;2.43E-33;6.10E-31;0.139002601971463;0.191951300920497
Unc5b;0.16554788358583;2.54E-33;6.30E-31;0.138953795998431;0.191903366927045
Rtp4;0.163986159293132;1.02E-32;2.50E-30;0.137379135827117;0.190356704452403
Magee2;0.16324856790616;1.96E-32;4.75E-30;0.136635481670232;0.189626181139203
2600014E21Rik;0.162353244739901;4.32E-32;1.03E-29;0.135732839529133;0.188739398292933
Adcy8;0.161846238250908;6.73E-32;1.57E-29;0.135221708025348;0.188237208959229
Klhdc8b;0.159572290470904;4.85E-31;1.12E-28;0.132929433652811;0.185984696584599
