moscot driver genes epsilon cells;Epsilon_pull_corr;Epsilon_pull_pval;Epsilon_pull_qval;Epsilon_pull_ci_low;Epsilon_pull_ci_high
Irs4;0.612436921282299;0;0;0.595138031377566;0.629168499953065
Ghrl;0.542910464356011;0;0;0.523425479980576;0.561827931243038
Mboat4;0.531058478787546;0;0;0.511228313348919;0.550323502010124
Lrrtm3;0.527707464783303;0;0;0.507781151263307;0.54706942858297
Arg1;0.458312556664057;0;0;0.436538289734847;0.479550233176654
Ctnna3;0.431587528728774;0;0;0.409174225993224;0.453480326939486
Anpep;0.428404813562189;0;0;0.405918091591366;0.450373132603508
Epha4;0.395841795100691;0;0;0.372636673752355;0.418552180893955
Maged2;0.378381994626491;0;0;0.354816229556635;0.401467270211123
Acsl1;0.357470484700041;0;0;0.333495290352897;0.380983597140034
Nefm;0.328397572472965;0;0;0.303893850166212;0.352467095450045
Scn7a;0.323156666135399;0;0;0.298562695711612;0.347321732333323
Enpp1;0.320429404478817;0;0;0.295789077771671;0.34464361371096
Sv2c;0.308249612004914;0;0;0.283407329598339;0.332678478377185
Lrrn3;0.305607881772535;0;0;0.280722888836725;0.330082267729271
Syne1;0.301782737348279;0;0;0.276836590768387;0.326322377922426
Cdkn1a;0.301642321511025;0;0;0.276693945591014;0.326184342716138
Ngf;0.300881614367788;0;0;0.275921180040699;0.325436514520957
Ptpn3;0.292869315948509;0;0;0.267783833377757;0.317558000075043
Isl1;0.29001351935958;0;0;0.264884331113199;0.314749063434376
St8sia2;0.288921244979972;0;0;0.263775460475687;0.313674597315295
Diras2;0.288564151166195;0;0;0.263412955315133;0.313323311749472
Rmst;0.284130293774255;0;0;0.258912499465572;0.308961008048909
Arhgap22;0.283503637851501;0;0;0.258276519198406;0.30834438083623
Arx;0.273084977003841;0;0;0.247706036447001;0.298089395830897
Foxd3;0.27185132811556;0;0;0.246454810636335;0.296874745099288
Mctp2;0.270957083183923;0;0;0.245547877505065;0.295994220888124
Cacna1c;0.257567318290863;0;0;0.231973446137192;0.282804809394203
Avpr1b;0.256370533998967;0;0;0.230760641379321;0.281625467966878
Nap1l5;0.251615192700458;0;0;0.22594242999503;0.276938680650183
Trp53cor1;0.251404414144849;0;0;0.225728893817079;0.276730912830531
Plekha1;0.240359470323337;0;0;0.21454289949475;0.265840419709554
Gm12688;0.236137029834309;0;0;0.210268324606484;0.261675305961098
Cdh26;0.231899256016244;0;0;0.205979221307688;0.257494110434312
Gm11837;0.229266955618732;0;0;0.203315538860905;0.254896471069001
Trmt9b;0.223119357708932;0;0;0.197096145661404;0.248828381038681
Nuak2;0.222030320078756;0;0;0.195994607951592;0.247753217633145
Mgat4c;0.221340890275775;0;0;0.195297298769644;0.247072538340213
Frmpd4;0.219444428267945;0;0;0.193379298238107;0.245200015950152
Peg3;0.218133349988876;0;0;0.192053446225128;0.243905375453513
R3hdml;0.217622870852848;0;0;0.191537240562973;0.243401271656897
Avp;0.217398163054673;0;0;0.191310016579765;0.243179365804657
Osbpl6;0.213549690951193;0;0;0.187418884868767;0.239378462467011
Irx2;0.213522283455823;0;0;0.187391176507038;0.239351390900726
Alcam;0.212137261128026;0;0;0.185991004214128;0.237983292264963
Rgs17;0.20792734309198;0;0.00000000000000000000000000000000000000000000000018;0.181735688153396;0.233824185780463
A1cf;0.207817176604631;0;0.0000000000000000000000000000000000000000000000002;0.181624346845045;0.233715336219573
Gm609;0.20599813184052;0;0.00000000000000000000000000000000000000000000000154;0.179786000783098;0.231917942398539
Zcchc12;0.204334898997868;0.00000000000000000000000000000000000000000000000002;0.00000000000000000000000000000000000000000000000993;0.178105280131962;0.230274351050733
Tmem184c;0.203373697547571;0.00000000000000000000000000000000000000000000000007;0.0000000000000000000000000000000000000000000000286;0.177134042049681;0.229324433165323
Olfml2b;0.201336230734112;0.0000000000000000000000000000000000000000000000007;0.000000000000000000000000000000000000000000000272;0.175075469472601;0.227310720760339
Cxxc4;0.199806635799692;0.0000000000000000000000000000000000000000000000038;0.00000000000000000000000000000000000000000000144;0.173530180607922;0.225798813067668
Auts2;0.19905171891517;0.00000000000000000000000000000000000000000000000868;0.00000000000000000000000000000000000000000000323;0.172767565819414;0.225052579399789
Gm38655;0.197155239745009;0.0000000000000000000000000000000000000000000000684;0.000000000000000000000000000000000000000000025;0.170851887223441;0.22317777936611
Bmp6;0.192866815814039;0.00000000000000000000000000000000000000000000671;0.00000000000000000000000000000000000000000241;0.166520781619338;0.218937667506063
Fgf14;0.192725496831412;0.00000000000000000000000000000000000000000000778;0.00000000000000000000000000000000000000000275;0.166378073422583;0.218797923819657
Cd200;0.192002897664917;0.0000000000000000000000000000000000000000000167;0.00000000000000000000000000000000000000000578;0.165648388108027;0.218083362819298
Rbpms;0.190221667606529;0.000000000000000000000000000000000000000000107;0.0000000000000000000000000000000000000000366;0.163849813696048;0.21632182766691
Gm30648;0.188530203830704;0.000000000000000000000000000000000000000000619;0.000000000000000000000000000000000000000207;0.162142041926639;0.214648908944309
Nudt11;0.188516419211486;0.000000000000000000000000000000000000000000628;0.000000000000000000000000000000000000000207;0.162128125054434;0.214635274828789
Olfml3;0.187006723755058;0.00000000000000000000000000000000000000000296;0.000000000000000000000000000000000000000958;0.160604008743237;0.213142000971466
Sorcs2;0.185599512955807;0.0000000000000000000000000000000000000000124;0.00000000000000000000000000000000000000395;0.159183469410249;0.21174998704201
Card19;0.185109170138875;0.0000000000000000000000000000000000000000203;0.00000000000000000000000000000000000000638;0.158688507960205;0.21126491464866
Gm26691;0.184582524020402;0.0000000000000000000000000000000000000000346;0.0000000000000000000000000000000000000107;0.158156916051473;0.210743914807686
Ghr;0.183085646151851;0.000000000000000000000000000000000000000155;0.0000000000000000000000000000000000000465;0.15664606448249;0.209263004102839
Zdhhc14;0.182348143271711;0.000000000000000000000000000000000000000323;0.0000000000000000000000000000000000000956;0.155901722342519;0.208533323992328
Uap1l1;0.178125243019582;0.0000000000000000000000000000000000000204;0.00000000000000000000000000000000000595;0.15164023915296;0.204354655061458
Lgals3;0.17660311345412;0.0000000000000000000000000000000000000886;0.0000000000000000000000000000000000255;0.150104443870662;0.2028482341081
Slc9c1;0.176184752500902;0.000000000000000000000000000000000000132;0.0000000000000000000000000000000000375;0.149682349266405;0.202434168938855
Sptan1;0.173376144413145;0.00000000000000000000000000000000000191;0.000000000000000000000000000000000532;0.146848925918553;0.199654156974556
Plcb4;0.169787257673066;0.0000000000000000000000000000000000539;0.0000000000000000000000000000000146;0.143228963244121;0.1961011950782
Cacnb2;0.167851560976639;0.000000000000000000000000000000000317;0.000000000000000000000000000000085;0.141276800436551;0.194184587886279
Usp29;0.166719971391901;0.000000000000000000000000000000000884;0.000000000000000000000000000000234;0.140135680639429;0.193064064716758
Slco5a1;0.165669506457747;0.00000000000000000000000000000000227;0.000000000000000000000000000000594;0.139076431926165;0.192023811330859
Gm36696;0.164403792924383;0.00000000000000000000000000000000705;0.00000000000000000000000000000179;0.137800215576028;0.190770323101414
Trp53i13;0.163357095217913;0.0000000000000000000000000000000178;0.00000000000000000000000000000448;0.13674489916047;0.189733670305032
Sms;0.162857980072964;0.0000000000000000000000000000000277;0.00000000000000000000000000000687;0.136241695474652;0.189239324341839
Fam107b;0.162596134122945;0.0000000000000000000000000000000349;0.00000000000000000000000000000855;0.135977710085488;0.188979975053245
Gm12536;0.161319998701029;0.000000000000000000000000000000107;0.0000000000000000000000000000258;0.134691201966943;0.187715954705354
Fam183b;0.160277654850818;0.000000000000000000000000000000264;0.0000000000000000000000000000631;0.133640452334248;0.18668344153944
Gng4;0.159599424293433;0.000000000000000000000000000000474;0.000000000000000000000000000112;0.132956784476781;0.186011576266432
Lrpprc;0.15945004053212;0.000000000000000000000000000000539;0.000000000000000000000000000126;0.132806206529282;0.185863591172366
Fgf9;0.15903872280223;0.000000000000000000000000000000768;0.000000000000000000000000000177;0.13239160704673;0.185456118382708
9030622O22Rik;0.157770034079458;0.00000000000000000000000000000227;0.000000000000000000000000000519;0.131112854656455;0.184199231954236
Nin;0.155400907572481;0.0000000000000000000000000000168;0.0000000000000000000000000038;0.128725172899326;0.181851913404571
Bsg;0.155264298749834;0.0000000000000000000000000000189;0.00000000000000000000000000422;0.128587503572361;0.181716552881639
