moscot driver TFs Eps. progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Gadd45a;0.185422446515433;1.48E-41;1.12E-38;0.159004733615205;0.211574825277011
Neurod2;0.184934321988056;2.42E-41;1.22E-38;0.158512016092998;0.211091942727652
Rps4x;0.156165132017543;8.86E-30;2.67E-27;0.129495349040418;0.182609136054382
Setbp1;0.142849612342941;4.01E-25;7.45E-23;0.116080732125878;0.169411122564011
Nkx2-2;0.142699978897979;4.50E-25;7.45E-23;0.115930040541496;0.16926275544733
Neurog3;0.142580983675124;4.93E-25;7.45E-23;0.115810204718419;0.169144766406077
Drap1;0.140735622365625;2.01E-24;2.76E-22;0.113951907249134;0.167314911356187
Sox4;0.135846768366685;7.58E-23;8.80E-21;0.109029687707563;0.162466252215129
Tead2;0.130611986453883;3.19E-21;3.21E-19;0.103760636921725;0.157273083678375
Hes6;0.127552453462533;2.65E-20;2.35E-18;0.100681772769292;0.154237189240261
Zbtb18;0.127279523361977;3.19E-20;2.68E-18;0.100407143204995;0.153966343369788
Zfp423;0.126746731638603;4.59E-20;3.64E-18;0.099871045726728;0.15343760875312
Cbfa2t2;0.126548740673882;5.25E-20;3.96E-18;0.0996718302855771;0.153241121556547
Pbx1;0.120107867111096;3.69E-18;2.53E-16;0.0931922980777198;0.146848015963555
Mxi1;0.118519240100024;1.02E-17;6.68E-16;0.0915944864314297;0.145270827280163
Prox1;0.11841020604666;1.09E-17;6.86E-16;0.0914848270825626;0.14516257330042
Rps10;0.112223793871225;4.95E-16;2.87E-14;0.0852640061452139;0.139019371878429
Rpl6;0.111577703678438;7.29E-16;4.07E-14;0.084614443603162;0.138377675525344
Insm1;0.109018791784715;3.30E-15;1.68E-13;0.0820420041946356;0.13583594485357
Nono;0.108504704583341;4.44E-15;2.17E-13;0.0815252426636613;0.135325266784034
Rpl35;0.104978663573773;3.33E-14;1.52E-12;0.0779812497642782;0.131822224357347
Pou3f1;0.104160402082525;5.26E-14;2.33E-12;0.0771589198456748;0.131009204113169
Nhlh1;0.10188025969848;1.85E-13;7.96E-12;0.0748676343059629;0.128743476282055
Fez1;0.100514195014963;3.87E-13;1.50E-11;0.0734950302237418;0.127385913197489
Nfic;0.0952471560720036;6.10E-12;2.09E-10;0.0682037358089427;0.122150710641575
Cdk2ap1;0.0940145041314436;1.14E-11;3.59E-10;0.0669656269800656;0.120925293198664
Mycl;0.0940106654604193;1.14E-11;3.59E-10;0.0669617714455424;0.120921476928883
Myef2;0.0928843866437546;2.00E-11;6.18E-10;0.0658305797094572;0.119801736353759
Rnf114;0.0887932994622847;1.47E-10;4.26E-09;0.0617222318305964;0.11573382239206
Psmc2;0.0866929960394132;3.94E-10;1.12E-08;0.0596134233227969;0.113645064623135
Tead1;0.0843226061802929;1.17E-09;3.15E-08;0.0572337249709648;0.111287418901781
Jund;0.0797978133440462;8.58E-09;2.09E-07;0.0526920177701362;0.106786110256298
Magoh;0.078048126443815;1.80E-08;4.26E-07;0.0509360908636446;0.105045207777709
Lmx1b;0.0762859542017652;3.75E-08;8.58E-07;0.0491678034932251;0.103291715381323
Traf4;0.073904769526835;9.83E-08;2.18E-06;0.0467786256123653;0.100921992893033
Rbpj;0.0729995976748663;1.41E-07;3.04E-06;0.0458704966684548;0.100021097797451
Ivd;0.0724765888321607;1.73E-07;3.67E-06;0.0453457996551807;0.0995005398708829
Foxa3;0.0712449213893536;2.79E-07;5.69E-06;0.0441102157623709;0.0982745858106532
E2f1;0.0708077494106311;3.30E-07;6.63E-06;0.0436716736270594;0.0978394220292778
Pick1;0.0667519533281383;1.49E-06;2.75E-05;0.0396036646096695;0.093801763841495
Ezh2;0.0666959004002695;1.52E-06;2.77E-05;0.0395474491976335;0.0937459553531174
Tff3;0.0663973104721892;1.70E-06;3.05E-05;0.0392479966240612;0.0934486646720013
Bcl11b;0.0658850062406597;2.04E-06;3.54E-05;0.0387342236736851;0.0929385783785965
Ncor2;0.0655169079839522;2.32E-06;3.99E-05;0.0383650789829945;0.0925720649760565
Tead4;0.0654539116089904;2.38E-06;4.03E-05;0.038301904263865;0.092509339098467
Snrpb2;0.063354553686164;4.95E-06;8.04E-05;0.036196727142821;0.0904188726911374
Vps72;0.0630668128470794;5.47E-06;8.78E-05;0.0359082074972743;0.090132331949639
Tcf3;0.0625394662142188;6.55E-06;0.000102738924030484;0.0353794452868443;0.0896071731207168
Nap1l1;0.0623419222511677;7.00E-06;0.000106822138722015;0.035181374963651;0.0894104448335341
U2af1;0.0610611205655555;1.08E-05;0.000156480171992001;0.0338972123184021;0.088134880444626
Sfpq;0.0610595289050195;1.08E-05;0.000156480171992001;0.0338956165369785;0.0881332952372712
Timeless;0.0610314043218564;1.09E-05;0.000156480171992001;0.0338674191607305;0.0881052846589645
Ovol2;0.0609952459833495;1.10E-05;0.000156880467055016;0.0338311672994154;0.0880692728277633
Zscan29;0.0608135014862389;1.17E-05;0.000165088136147479;0.0336489538064281;0.0878882636559279
Nfix;0.0603112062692653;1.38E-05;0.000193098145617965;0.0331453717971895;0.0873879913900888
Nr2f6;0.0597775202188282;1.65E-05;0.000225845601112401;0.0326103336495921;0.0868564397498825
Prrxl1;0.059505166466534;1.80E-05;0.000242399634501858;0.0323372958877182;0.0865851693000809
Rfx6;0.0594055112023284;1.86E-05;0.000245709850211075;0.0322373913551299;0.0864859094168489
Zfpm1;0.0592812783036951;1.93E-05;0.000251684718253062;0.0321128484721436;0.0863621686577436
Foxn2;0.0592043517361258;1.98E-05;0.000255828630434543;0.0320357303813312;0.0862855464102606
Irf7;0.0586990253662105;2.33E-05;0.000293568296183481;0.0315291539475607;0.0857822111376261
Odc1;0.0584731925077132;2.51E-05;0.000313000835201151;0.0313027669422358;0.0855572636405917
Nme1;0.0584115494621817;2.56E-05;0.000316616560224634;0.0312409731218224;0.085495861782469
Kdm7a;0.0581819645394081;2.75E-05;0.000337913895992214;0.0310108284765864;0.0852671733341995
Smad9;0.0579090804337679;3.00E-05;0.000365559627642856;0.0307372828334612;0.0849953510641699
Sox10;0.0578256301281916;3.08E-05;0.000372354725927368;0.0306536310367031;0.0849122246720418
Zfp326;0.0574510243785922;3.47E-05;0.000412515819672924;0.0302781254889855;0.0845390683141992
Zbtb17;0.0569383078469269;4.07E-05;0.000476955644079878;0.0297641898516326;0.0840283232237249
Trp73;0.056603491194248;4.52E-05;0.000517345854016753;0.0294285848471616;0.0836947862884935
Edn1;0.0562105139097779;5.11E-05;0.000570100478549251;0.0290346900826347;0.0833033032762149
Ssbp3;0.0559629549157165;5.51E-05;0.000600318631573028;0.0287865574481224;0.0830566813167758
Klf10;0.0553123739558935;6.73E-05;0.000720256820220633;0.028134484936673;0.0824085470473944
Zfp989;0.0552728669672459;6.81E-05;0.000723827024952528;0.0280948881174344;0.0823691878975412
Bhlhe23;0.0551502906493549;7.06E-05;0.000746020810375502;0.0279720336295974;0.0822470697335653
Dach1;0.0546832310979435;8.14E-05;0.000853130494340996;0.0275039216758728;0.0817817484550047
Mbtps2;0.0542411367579504;9.29E-05;0.000957999135323274;0.0270608421679984;0.0813412885900141
Smarca4;0.0534371520822708;0.000117924846860788;0.00117924846860788;0.0262550932546407;0.080540249210924
Zeb1;0.053009839189332;0.000133694008209698;0.00132814442366213;0.0258268570543489;0.0801144874760554
Gpank1;0.0525798490581467;0.000151551873978809;0.00148599564745456;0.025395947901369;0.0796860482378551
Sf3b1;0.0524896835718277;0.0001555708430889;0.00151556111654347;0.025305590984732;0.0795962066911599
Grhpr;0.0521989575741673;0.000169223049904705;0.00163373404388601;0.0250142507717234;0.0793065221923568
Akr1a1;0.052185835559454;0.000169865062841129;0.00163373404388601;0.0250011011431095;0.0792934470780535
Jun;0.0521111157534469;0.00017356470076071;0.00165875125410552;0.0249262242764169;0.079218994156128
Emx1;0.051977374267245;0.000180376545495917;0.00171300996037003;0.0247922024278027;0.0790857296124296
Tbx3;0.0510710646619043;0.000233592186095746;0.00219083354661228;0.0238840186723357;0.078182626514098
Foxq1;0.0504328914492959;0.000279547844252914;0.00255828633225394;0.0232445527086376;0.0775466844487873
Cycs;0.0498652660881974;0.000327412289892159;0.00289118454817052;0.0226757961994232;0.0769810250489582
Zmat2;0.0493371221009734;0.000378736814676414;0.00326795765806506;0.0221466155471026;0.0764546946025064
Zfp687;0.0490609100758734;0.000408482929925021;0.00350459786469763;0.0218698674280194;0.0761794250154366
Hmgb3;0.0490236247618907;0.000412661437595128;0.0035204450325912;0.021832510066989;0.0761422666026311
Foxo6;0.048641740932826;0.000457817571026815;0.0038620364930195;0.0214498926887515;0.0757616781847574
Smarcc1;0.0481076488045793;0.000528739363970373;0.00436282207429106;0.0209147879986264;0.0752293845286213
Usf1;0.0479111274536871;0.000557318015007155;0.00454892001438272;0.020717897992348;0.0750335210427091
Kdm5a;0.0471487987515458;0.00068234364095906;0.00548052605238393;0.0199541591938021;0.07427372446889
Bhlhe41;0.0470303587326783;0.000703960543070294;0.00562423502664626;0.0198355029422579;0.0741556750303444
Hnrnpa0;0.0469061886235326;0.000727305074875269;0.00574989875948511;0.0197111069617229;0.0740319135814101
Hbp1;0.0468841968164775;0.000731513822951518;0.00575305142008746;0.019689075238282;0.0740099940651968
Esrp2;0.0463736981711345;0.000835800429437553;0.00650545695077683;0.0191776574309766;0.0735011661506479
Zfp296;0.0460786464640893;0.000902197960705036;0.00695060673808471;0.0188820809675136;0.0732070736315387
Gm2000;0.0460356912075574;0.000912262227530054;0.00699246682015422;0.0188390497104603;0.0731642576254446
Zfp81;0.0458321385312565;0.000961383462856188;0.00733176277228709;0.0186351382593892;0.0729613634574294
Plg;0.0456729338994469;0.00100149702345966;0.00756352330235625;0.0184756545958814;0.0728026722996213
Banp;0.0450568764220568;0.00117175893808205;0.00871603939164485;0.0178585304181066;0.0721885888160062
Snai1;0.0449231220656127;0.00121209390316242;0.00892810631109884;0.0177245472046855;0.0720552603222713
Gata6;0.0449011921644654;0.00121882813137147;0.00893412853578121;0.0177025798741474;0.0720334001515745
Ikzf5;0.0448474027678232;0.0012354923080755;0.00901252843088891;0.0176486987823377;0.071979781678561
Zfp82;0.0447167429168075;0.00127685106545247;0.00926944763862133;0.0175178168524736;0.071849536365088
Hmgb2;0.0445923792716535;0.0013173999836073;0.00951805729783267;0.0173932426957802;0.0717255664223144
Trim24;0.0439527541331844;0.00154536133798138;0.0110070548129805;0.0167525481977794;0.0710879529240518
