Cell_type;Known_progenitors;Known_descendants;Germ_layer;Alternative naming and additional notes:;Publications:;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36
Morula;/;Inner cell mass, Trophectoderm;Other;/;Morula→Inner cell mass: PMID: 24866117, PMID: 24817790;Morula→Trophectoderm: PMID: 24866117, PMID: 24817790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inner cell mass;Morula;Epiblast, Hypoblast;Other;/;Inner cell mass → Epiblast: PMID: 25446532, PMID: 22573614;Inner cell mass → Hypoblast: PMID: 25446532, PMID: 22573614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trophectoderm;Morula;Extraembryonic ectoderm;Extraembryonic;/;Trophoblast → Extraembryonic ectoderm: PMID: 29579154, PMID: 22573614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Extraembryonic ectoderm;Trophectoderm, Hypoblast;/;Extraembryonic;They later (~E8) become Trophoblast giant cells, which form the embryonic outer layer and are crucial in establishing the placenta (PMID: 19876834). Trophoblast giant cells together with parietal endoderm construct the Reichert's membrane (PMID: 36252218);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hypoblast;Inner cell mass;Parietal endoderm, Visceral endoderm, Extraembryonic ectoderm;Other;Primitive endoderm;Hypoblast→Parietal endoderm: PMID: 22354839, PMID: 6194988, PMID: 20711519;Hypoblast→Visceral endoderm: PMID: 22354839, PMID: 6194988, PMID: 20711519;Hypoblast→Extraembryonic ectoderm: Not a real transition, extraembryonic ectoderm arises from trophectoderm, but E3.5 and E4.5 does not contain trophectoderm cells;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parietal endoderm;Hypoblast;/;Extraembryonic;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Visceral endoderm;Hypoblast;Extraembryonic visceral endoderm, Embryonic visceral endoderm;Extraembryonic;/;Visceral endoderm → Extraembryonic visceral endoderm: PMID: 17205189, PMID: 10410899;Visceral endoderm → Embryonic visceral endoderm: PMID: 17205189, PMID: 10410899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Extraembryonic visceral endoderm;Visceral endoderm;/;Extraembryonic;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embryonic visceral endoderm;Visceral endoderm;/;Extraembryonic;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epiblast;Inner cell mass;Primitive streak and adjacent ectoderm, Rostral neuroectoderm, Caudal neuroectoderm, Caudal lateral epiblast, Primordial germ cells;Other;/;Epiblast → Primitive streak and adjacent ectoderm: PMID: 16289026, PMID: 32473204;Epiblast→ Rostral neuroectoderm: PMID: 29109536, PMID: 11748135;Epiblast → Caudal neuroectoderm: PMID: 29109536, PMID: 11748135;Epiblast → Caudal lateral epiblast: PMID: 31023877;Epiblast → Primordial germ cells: PMID: 1516475, PMID: 24381195;;;;;;;;;;;;;;;;;;;;;;;;;;;
