moscot driver TFs Fev+ delta;Fev_delta_pull_corr;Fev_delta_pull_pval;Fev_delta_pull_qval;Fev_delta_pull_ci_low;Fev_delta_pull_ci_high
Isl1;0.174969900650697;4.22E-37;6.37E-34;0.148456710254409;0.201231738143326
Neurod2;0.16556826464598;2.49E-33;1.88E-30;0.138974346765413;0.191923550559735
Prox1;0.158983935018057;8.05E-31;3.04E-28;0.132336382834719;0.185401842061373
Peg3;0.152911394120079;1.33E-28;4.03E-26;0.12621649452565;0.179384991215146
Jund;0.129757530146315;5.79E-21;1.25E-18;0.102900730077302;0.15642527977962
Rfx6;0.124578164179474;1.97E-19;2.81E-17;0.0976891841864988;0.151285396809608
Nkx2-2;0.111023979419035;1.01E-15;1.09E-13;0.0840577616427937;0.137827699049223
Hhex;0.109286912754554;2.82E-15;2.84E-13;0.0823115257104078;0.136102282144596
Setbp1;0.10475584788663;3.77E-14;3.56E-12;0.077757322589265;0.131600839459631
Psmc2;0.100663610022732;3.57E-13;2.99E-11;0.0736451555007001;0.127534403236419
Arx;0.100412328480135;4.08E-13;3.21E-11;0.0733926801513239;0.12728467658727
Trim24;0.100340458763125;4.25E-13;3.21E-11;0.0733204696273197;0.127213250963
Drap1;0.0997911268444742;5.70E-13;4.10E-11;0.07276854212889;0.126667304234471
Zfp423;0.0994738142110423;6.75E-13;4.43E-11;0.0724497377423671;0.126351939581688
Fhl2;0.0959664832290624;4.22E-12;2.55E-10;0.0689262858812583;0.122865778133591
Nono;0.0956121541630728;5.06E-12;2.94E-10;0.0685703657133213;0.122513550801
Rps4x;0.0913369759563955;4.30E-11;2.32E-09;0.0642765324827319;0.118263196963846
Irx3;0.0903387839435347;6.99E-11;3.64E-09;0.0632741290556578;0.117270658979185
Kdm5b;0.0888672446884814;1.42E-10;7.13E-09;0.0617964808994055;0.115807356789494
Jun;0.0877793179970004;2.37E-10;1.15E-08;0.0607041141157393;0.114725444668465
Mycl;0.0841974593232027;1.24E-09;5.33E-08;0.057108095217765;0.111162936446789
Sf3b1;0.083823563111336;1.46E-09;6.14E-08;0.0567327613869825;0.110791020201675
Onecut3;0.0833578161102286;1.80E-09;7.28E-08;0.0562652343136435;0.110327728998572
Foxa2;0.083324059861027;1.83E-09;7.28E-08;0.0562313495107574;0.110294150284327
Mxi1;0.082170787422195;3.06E-09;1.18E-07;0.0550737225620745;0.109146906290743
Sall1;0.0820695197297829;3.20E-09;1.21E-07;0.054972075983543;0.109046164517607
Sfpq;0.0792820692633786;1.07E-08;3.76E-07;0.0521744169401963;0.106272972702578
Tbl1xr1;0.0789797546302109;1.22E-08;4.18E-07;0.0518710207036379;0.105972179258509
Atf3;0.0784189289521028;1.54E-08;5.18E-07;0.0513082017886015;0.105414162465052
Msi1;0.0769609540215699;2.84E-08;8.57E-07;0.04984512562532;0.103963410222909
Cdk2ap1;0.0764828902769579;3.46E-08;1.02E-06;0.0493654145428965;0.103487689750123
Rps10;0.0759183518084676;4.36E-08;1.22E-06;0.0487989468673716;0.102925902506853
Rpl6;0.0749981496271611;6.34E-08;1.68E-06;0.0478756374567048;0.102010147911138
Gata6;0.0737246138293624;1.06E-07;2.70E-06;0.0465978777928453;0.100742691926792
Six2;0.0734761612635319;1.17E-07;2.93E-06;0.0463486115460212;0.100495415240919
Ikzf5;0.0710118725593792;3.05E-07;7.24E-06;0.0438764352241283;0.0980426088024445
Gtf2b;0.0694721800145735;5.47E-07;1.23E-05;0.0423319831460661;0.0965099236874106
Rbpj;0.0694099421215391;5.60E-07;1.24E-05;0.0422695555892375;0.0964479663542755
Nuak2;0.0693420447806936;5.74E-07;1.26E-05;0.0422014515796956;0.0963803748463665
Cbfa2t2;0.0690909530744108;6.31E-07;1.36E-05;0.041949597781209;0.0961304119770196
Zfp451;0.0686614264133875;7.40E-07;1.57E-05;0.0415187754541418;0.0957028084386509
Rpl35;0.0681905214851096;8.82E-07;1.82E-05;0.0410464616405962;0.0952340004273245
Bax;0.066250345556092;1.79E-06;3.46E-05;0.0391006089076624;0.0933023374692494
Zbtb16;0.066038369068035;1.93E-06;3.69E-05;0.0388880246696782;0.0930912787357344
Zhx3;0.065895998627233;2.03E-06;3.83E-05;0.0387452474234987;0.0929495233244974
Cbfb;0.0641994298269135;3.70E-06;6.49E-05;0.0370439162100534;0.091260199163695
Myef2;0.0638289579960512;4.20E-06;7.30E-05;0.0366724253728326;0.0908912885913168
Kdm7a;0.0628387076289692;5.91E-06;0.000101458958066002;0.0356794881010486;0.0899051749192099
Hes6;0.0624628127599547;6.72E-06;0.000114042001493317;0.0353025873344571;0.089530836425875
Hivep1;0.0619082449014089;8.11E-06;0.000134584496269707;0.0347465495551685;0.0889785507663401
Ssbp3;0.0615951193763216;9.01E-06;0.000147915441952921;0.034432601496778;0.0886667064858712
Pdlim5;0.0614869839907787;9.34E-06;0.000151730511916883;0.0343241833012754;0.0885590123350356
Tmem33;0.0609343713220128;1.12E-05;0.000176764688291062;0.0337701353484731;0.0880086446601089
Rab7;0.0602836054659249;1.39E-05;0.000216958198820726;0.0331177006852182;0.0873605013507709
Ezh2;0.0601539612788836;1.45E-05;0.000224095916154437;0.0329877268075858;0.0872313768834611
Bach2;0.0597963936310575;1.64E-05;0.000249397442430313;0.0326292546121552;0.086875237943267
Cxxc5;0.058996848804611;2.12E-05;0.000308872157428807;0.0318277124451406;0.0860788627589095
Sox4;0.0589602658111078;2.14E-05;0.000308872157428807;0.0317910388998057;0.0860424239636814
Rbm3;0.0589305260745186;2.17E-05;0.000308872157428807;0.0317612256040239;0.0860128013980792
Magoh;0.0589266718481629;2.17E-05;0.000308872157428807;0.0317573618480433;0.0860089623534071
Meis1;0.058066514531726;2.86E-05;0.000391989978355992;0.0308950980932547;0.0851521730529705
Neurog3;0.0580280704296954;2.89E-05;0.000393234504226336;0.0308565607896457;0.0851138785467618
Traf4;0.0576146179961878;3.30E-05;0.000441864143674933;0.030442111112928;0.084702029904246
Ubxn1;0.0576035140733604;3.31E-05;0.000441864143674933;0.0304309805363821;0.0846909689261521
Nkx6-3;0.0574746670858516;3.44E-05;0.000456148145971022;0.0303018247589557;0.0845626197698069
Snrpb2;0.0573239483262608;3.61E-05;0.000473825952031074;0.0301507459438611;0.0844124822074686
Foxa3;0.0572711555053605;3.67E-05;0.000473825952031074;0.0300978272985887;0.0843598926738213
Klf4;0.0566053297826115;4.52E-05;0.00057353499574542;0.0294304277478945;0.0836966178660827
Hsf3;0.0560873721758824;5.31E-05;0.000667583509847427;0.0289112625876844;0.0831806280604641
Gadd45a;0.055942334773297;5.55E-05;0.000692277917891601;0.0287658896760835;0.0830361390738529
Klf3;0.0555687657987663;6.22E-05;0.000769855685115195;0.0283914618336467;0.0826639773940921
Zscan12;0.0540924661968924;9.71E-05;0.00118250422653088;0.0269118427074273;0.0811931653031878
Timm8a1;0.0535804060944287;0.000113043043067069;0.0013655599602502;0.0263986590328329;0.0806829809933352
Ldb1;0.0533161694762905;0.000122201791009679;0.00145295042854027;0.0261338482255883;0.0804197067789581
Smarcc1;0.0532404792875648;0.000124951461986888;0.00147403677812657;0.0260579942641353;0.0803442915725748
U2af1;0.0530989018587659;0.000130251880355762;0.00152006869390646;0.02591611134109;0.0802032276613089
Usf2;0.0530828287564404;0.000130866841197245;0.00152006869390646;0.025900003625621;0.0801872127893396
Smarca5;0.0529463980253604;0.000136197960196747;0.00156425593032504;0.0257632796617479;0.0800512757621466
Prdm16;0.0527538959254087;0.000144068832226677;0.00162346221389763;0.0255703655436782;0.0798594685574731
Erf;0.0525419645018146;0.000153228462776103;0.00171141156115894;0.0253579828582409;0.079648299843886
Klf10;0.0514450057965364;0.00021006189778056;0.00229850337426554;0.0242587276390661;0.0785552500438858
Bach1;0.0512459722446002;0.000222294042117145;0.00241484894674021;0.0240592844506726;0.0783569187419983
Sirt6;0.0509596459496611;0.000241067781477856;0.00260008821451116;0.0237723726555518;0.0780715989278143
Rfx2;0.0506134841056542;0.000265749837048832;0.00284597343222508;0.0234255089355322;0.0777266479651063
Rbm22;0.0489054122978649;0.000426174655961197;0.00453185725705217;0.0217140696809956;0.0760244559786734
Irf8;0.0487308336037536;0.000446888350430812;0.0047188909730806;0.0215391557827498;0.0758504693457663
Ash2l;0.0476986154497095;0.000589836551337078;0.0060919953304093;0.020504989709665;0.0748217180780887
Tbr1;0.0476648412217157;0.00059516443240914;0.0060919953304093;0.0204711527288033;0.0747880563113294
Zfp281;0.0476526647241615;0.000597096231059984;0.0060919953304093;0.020458953622468;0.0747759203438484
Foxp4;0.0474235079403086;0.00063455772651554;0.00643075279891588;0.0202293728605635;0.0745475248212425
Ddx20;0.0472457508593094;0.000665109407752958;0.00669543470471311;0.0200512888745596;0.0743703562913075
Hbp1;0.0465131090558714;0.000806030485061358;0.00793016233594298;0.0193173179149832;0.0736401221812277
Bcl11b;0.0465000750549043;0.000808771523003456;0.00793016233594298;0.0193042605331515;0.0736271307507675
Arnt;0.0462358643917932;0.000866233085057852;0.00843878682862811;0.019039577919354;0.0733637810443726
Mnt;0.0462036314213218;0.000873496526887635;0.00845499843333544;0.0190072876330927;0.073331652849317
Nap1l1;0.04607908256746;0.000902096312740907;0.00867621294419599;0.0188825178429965;0.0732075083206561
Smpx;0.0459496351736636;0.000932738465771345;0.00891414609692868;0.018752841721173;0.0730784802633206
Gmeb1;0.0456377578702027;0.00101056646914424;0.00947798365470687;0.0184404171016715;0.0727676095364134
Ctbp2;0.0455187456157643;0.00104181798077695;0.00969427764423629;0.0183211973917203;0.0726489800015275
Zbtb44;0.0455013189318193;0.00104646838146391;0.00969427764423629;0.0183037403954677;0.0726316092938717
Nhlh1;0.0454239423117295;0.00106734953602402;0.00981822984925921;0.0182262293852745;0.0725544810166015
Aff4;0.0452856112520281;0.00110564297767475;0.0100573547969209;0.0180876588825584;0.0724165931263851
Zfp7;0.0449993485776428;0.00118895263399939;0.0106864195079707;0.0178009040224275;0.0721312442542874
Tead2;0.044865826597625;0.00122976099170876;0.0109878053105339;0.0176671540015856;0.0719981469816228
Hnf1b;0.0442222896974341;0.00144519987648107;0.0126875105435257;0.0170225316629078;0.0713566434943724
Creb3;0.0440359938970435;0.00151376680474625;0.0132126466772649;0.0168359258620448;0.0711709321515545
Foxp2;0.0435482886423542;0.00170770060584056;0.0145388765123677;0.0163474180278564;0.0706847480439431
Hnrnpll;0.0435343979985587;0.0017135447151168;0.0145388765123677;0.0163335047154776;0.0706709005360642
Snrnp70;0.043533663332043;0.00171385431735195;0.0145388765123677;0.0163327688503296;0.070670168150686
Kdm5a;0.0425690206074212;0.00216775612604142;0.0181850652795697;0.0153665776991982;0.0697084953983024
Zfp24;0.0420050818864824;0.00248170915050621;0.0204774908047234;0.01480175728348;0.0691462695839531
Hnrnpa0;0.0418070193708111;0.00260148924549362;0.0213491780472574;0.014603389224584;0.0689488045720055
Pax4;0.0416370505173689;0.00270846708120458;0.0217541770883985;0.0144331598741945;0.0687793467752525
Nr2f6;0.0412553963706769;0.00296346849684515;0.0235227370581632;0.0140509265442265;0.0683988344665234
Zfp2;0.0412382933636596;0.00297539256828422;0.0235227370581632;0.0140337977684918;0.0683817824436327
Foxp3;0.0412151993834743;0.0029915629323325;0.0235273959782399;0.0140106690184594;0.0683587572815218
Tsn;0.0411819921664715;0.00301495506294711;0.0235885085235759;0.0139774118563419;0.0683256489684866
Nme1;0.0408840676713799;0.00323240334527865;0.0251594280998493;0.0136790419620818;0.0680286091336895
Npdc1;0.0407439210176053;0.00333955339416213;0.0255975920060143;0.0135386874636184;0.0678888769685831
Mex3c;0.0398710846242187;0.00408287616701767;0.0303701626216585;0.0126645807381773;0.0670185980495035
Zfp397;0.0394197913440209;0.00452340806115275;0.0329968414122737;0.0122126469498519;0.0665686108905569
