moscot driver TFs delta;Delta_pull_corr;Delta_pull_pval;Delta_pull_qval;Delta_pull_ci_low;Delta_pull_ci_high
Hhex;0.661332438129573;0;0;0.645736501184328;0.676376799651993
Mef2c;0.448428216936013;1.39E-264;1.05E-261;0.426412903774172;0.469912559054202
Arg1;0.365217083296978;3.09E-167;1.56E-164;0.341390701867823;0.388574397459703
Isl1;0.24451990502149;3.60E-72;1.36E-69;0.218755670513286;0.26994343923644
Ikzf2;0.186334222742972;5.87E-42;1.27E-39;0.159925124426573;0.212476775726102
Luzp2;0.169645215227471;6.14E-35;1.16E-32;0.143085705480117;0.195960560265609
Meis2;0.165808590663416;2.01E-33;3.37E-31;0.139216675631305;0.192161546903303
Zfp521;0.157626911723679;2.57E-30;3.53E-28;0.130968602573493;0.184057435604261
Zbtb20;0.147428607900345;1.12E-26;1.42E-24;0.120692704192014;0.173950784621455
Rora;0.143221079438896;3.02E-25;3.50E-23;0.11645483139467;0.169779440778309
Mylk;0.139661200911313;4.51E-24;4.87E-22;0.112870040316149;0.166249433730198
Sim1;0.134237185084455;2.43E-22;2.45E-20;0.107409407023248;0.160869621149948
Foxp1;0.108720352125977;3.92E-15;3.29E-13;0.0817420102587655;0.135539486010778
Fos;0.103542205225158;7.41E-14;5.33E-12;0.0765376736507528;0.130394943070258
Jazf1;0.101451187419702;2.33E-13;1.60E-11;0.0744364970170069;0.128317085147251
Egr3;0.0979401942713372;1.52E-12;9.95E-11;0.0709089857733029;0.124827657937417
Hmgn3;0.0960856034614884;3.97E-12;2.40E-10;0.0690459425648987;0.122984190272026
Hlf;0.0904170042469144;6.73E-11;3.50E-09;0.0633526774018982;0.11734843816462
Peg3;0.0901252593987417;7.75E-11;3.90E-09;0.0630597107316372;0.11705833690918
Nfkb1;0.0893802784063443;1.11E-10;5.40E-09;0.0623116309353178;0.116317532035965
Fosl1;0.0882896027284858;1.86E-10;8.79E-09;0.0612164733670946;0.115232916265948
Nr1d2;0.087288014496439;2.98E-10;1.37E-08;0.0602108267430433;0.114236836371598
Etv1;0.0821641140729658;3.07E-09;1.25E-07;0.0550670242276812;0.109140267615654
Irx3;0.0792859280884493;1.07E-08;3.84E-07;0.0521782896034875;0.106276812078854
Fosb;0.0748586536813402;6.71E-08;2.20E-06;0.0477356745231787;0.101871322190682
Zfp641;0.0739041763364189;9.83E-08;3.09E-06;0.0467780304693813;0.100921402519831
Tagln2;0.0735485072836596;1.13E-07;3.49E-06;0.046421194150391;0.10056741920521
Atf3;0.0722990903835429;1.85E-07;5.38E-06;0.0451677316783365;0.099323869850753
Dbx2;0.0720320494089219;2.05E-07;5.85E-06;0.0448998371140174;0.0990580720114492
Canx;0.0717602755281503;2.28E-07;6.34E-06;0.0446271985215197;0.0987875593390003
Jun;0.071199921958268;2.84E-07;7.51E-06;0.044065074814121;0.0982297935666199
Ahrr;0.0696170047224518;5.18E-07;1.33E-05;0.042477250013167;0.0966540947342791
Egr4;0.0689267603097413;6.71E-07;1.61E-05;0.0417849085378086;0.0959669555320918
Arntl;0.068398000181055;8.16E-07;1.93E-05;0.0412545595903944;0.0954405567089903
Nr4a1;0.068023003036746;9.38E-07;2.11E-05;0.0408784449244586;0.095067225037715
Glis1;0.067329781882077;1.21E-06;2.68E-05;0.0401831781691353;0.0943770626521896
Zfhx2;0.066086012578028;1.90E-06;3.98E-05;0.0389358045624973;0.0931387161844402
Zfhx3;0.0631295743476805;5.35E-06;0.00010315980717502;0.0359711384836485;0.0901948320692617
Ncald;0.0631050076554686;5.40E-06;0.00010315980717502;0.0359465054240794;0.0901703677146227
Creb3l2;0.0628452015618105;5.90E-06;0.000111357224501481;0.0356859994795949;0.0899116418970177
Rreb1;0.0617070481401124;8.68E-06;0.000157902502019753;0.0345448236648333;0.0887781778698661
Nfat5;0.0609342135511335;1.12E-05;0.000201480100992099;0.0337699771702043;0.0880084875278148
Nags;0.0609067657359688;1.13E-05;0.000201480100992099;0.0337424585011344;0.0879811507884976
Junb;0.0608463079864004;1.16E-05;0.000203176147240214;0.0336818448309555;0.0879209375555738
Pou2f1;0.060729014558475;1.20E-05;0.000206435024407887;0.0335642494730572;0.0878041179474655
Sox9;0.0600916620239675;1.48E-05;0.000249057873381505;0.0329252694499186;0.0871693270511506
Dach1;0.0579138825539613;3.00E-05;0.000471462551191428;0.0307420965599799;0.0850001345333981
Rfx2;0.0569036868168866;4.12E-05;0.000624909383779455;0.029729487019682;0.0839938348016306
Ehf;0.0567475039722494;4.32E-05;0.000646523526533714;0.0295729359635405;0.0838382493728802
Nr5a2;0.0566112230239501;4.51E-05;0.000662340886959803;0.029436334812949;0.0837024886344997
Zfp667;0.0561326403573635;5.23E-05;0.000759618758513966;0.0289566357215733;0.0832257248404729
Nr4a3;0.0549012674286742;7.62E-05;0.00108522230095575;0.0277224478136418;0.0819989747820945
Zfp182;0.0539748720898732;0.000100566586649884;0.00141921070879743;0.0267939893058608;0.0810760032263179
Pax6;0.0539069595939543;0.000102617616594239;0.00143474630608612;0.0267259274073411;0.0810083398936213
Gm14288;0.0536384660214572;0.000111119273600694;0.00152536457397316;0.0264568456359404;0.0807408289474805
Smarca1;0.053158374521285;0.000128000031229784;0.0017257147067587;0.0259757121996818;0.0802624847419192
Poli;0.0526434825183032;0.000148774552455371;0.00193663426041043;0.0254597167290531;0.0797494528155494
Elf1;0.0525881101483254;0.000151188577571833;0.00195123719772194;0.0254042265528777;0.0796942796262023
Rab7;0.0503932605190449;0.000282664285280716;0.00352746339482547;0.023204842231465;0.0775071913464541
Zfp979;0.0493265801940783;0.000379833934576065;0.00462539710653111;0.0221360531031614;0.0764441887405698
Crem;0.0489297656564659;0.000423357418401907;0.00499429454521;0.0217384699321668;0.0760487266147377
Trps1;0.0486959696704234;0.000451135880362125;0.00524011676420622;0.0215042251074712;0.0758157234511596
Phf21a;0.048610543468223;0.000461703218319188;0.0052816049974392;0.0214186356498054;0.0757305861978195
Zfp119b;0.0485745214689431;0.00046622801629628;0.00529326544817581;0.0213825449294267;0.0756946859222068
Pbx3;0.0482475087538828;0.000509238561885491;0.0056959276181266;0.0210549115966097;0.0753687750151497
Tcf7l1;0.0481638406989941;0.000520822341350972;0.00578265981941152;0.0209710856914701;0.0752853879331384
Nkx6-3;0.0477542483170834;0.000581157136040596;0.00639128219234578;0.0205607260793076;0.0748771655646869
Srrm3;0.0477352738899367;0.000584103935459416;0.00639128219234578;0.0205417163321601;0.0748582543832914
Tceal3;0.0475333518797406;0.00061633628385961;0.00669545171674828;0.020339419671633;0.0746570042130503
Foxo1;0.0469189220523189;0.000724878466890187;0.00765431108394533;0.019723863514483;0.0740446051412509
Celf6;0.0466774272570344;0.00077220566101011;0.00809743436198102;0.0194819316717996;0.0738039029110792
Hnf4g;0.0463194489812111;0.000847657959172654;0.00882733460931522;0.0191233114009203;0.0734470936741993
Mbnl2;0.0454866795173695;0.00105038981612013;0.0107897185193293;0.0182890755297563;0.0726170168899954
Egr1;0.045170275117703;0.00113853746715497;0.01146127716936;0.0179721239068396;0.0723016257001339
Nfatc3;0.0447999753801459;0.00125035972921053;0.0124213367836046;0.0176011906759068;0.0719325048682083
Hspa5;0.044609496443965;0.00131174928118618;0.0128619572376048;0.0174103887923789;0.0717426294559406
Agap2;0.0437388023013741;0.00162937494737514;0.0156710584110603;0.0165382436551753;0.0708746690276034
Six2;0.0432965310639835;0.0018165169173589;0.0170368977963474;0.0160952512329546;0.0704337706488468
Zbtb4;0.0432290514537912;0.00184674691903725;0.0170830444498501;0.0160276625268108;0.0703664995704842
Gmeb2;0.0432099734561195;0.0018553770130963;0.0170830444498501;0.016008553730345;0.0703474804846743
Esr2;0.0428613839461672;0.00201972912940726;0.0182622214694908;0.0156594049691396;0.0699999639270907
Kmt2a;0.0427959312086863;0.00205203918401005;0.0184439236181856;0.0155938479638422;0.0699347119174345
Zdhhc15;0.0425008527255226;0.00220366992331606;0.0196895951728239;0.0152983023172147;0.0696405354854937
Phf1;0.0423583536361135;0.00228051160721753;0.0202262248421025;0.0151555793275128;0.0694984703238491
Zfp467;0.042340119241998;0.00229051950198644;0.0202262248421025;0.0151373163627816;0.0694802913763269
Tppp;0.0422758823309043;0.0023260969699961;0.0204102581457906;0.0150729789464862;0.0694162496512861
Cbx7;0.0421557362922793;0.00239400072265416;0.020656806235473;0.0149526455317693;0.069296468080026
Cers5;0.0420762912757234;0.00243989236350764;0.0209331674369121;0.0148730770479793;0.069217263632992
Elf4;0.0416659859540307;0.00268997602266517;0.022948383018217;0.0144621395463845;0.0688081953204295
Pknox1;0.0409536475064775;0.00318037735929237;0.0262424579919753;0.013748725385901;0.0680979827883704
Ing3;0.0408402586402758;0.0032655565397316;0.0267988607336669;0.0136351678447532;0.0679849297837541
Git2;0.0404666335869522;0.00356113687875162;0.0287557042081013;0.0132609919603326;0.0676124064873319
Mbd2;0.0402460446420456;0.00374687037544071;0.0300945439729547;0.0130400813808231;0.0673924644682682
Stub1;0.0399486887589986;0.00401117004726325;0.0318782461650922;0.0127422961344176;0.0670959764716174
Zfp112;0.0397812533631402;0.00416733104167319;0.0329459155650603;0.0125746210959917;0.066929027656066
Snrnp70;0.0395714028467043;0.00437082870371962;0.0340853614723327;0.0123644723907186;0.0667197848350315
Atf2;0.0395696367217718;0.00437257892335117;0.0340853614723327;0.0123627037663949;0.066718023814397
Zc3h7a;0.0395089270567011;0.00443312931048655;0.0340938269443148;0.012301908289499;0.0666574895041975
Zfp398;0.039506292742711;0.00443577382600504;0.0340938269443148;0.0122992702565154;0.0666548627946824
Zfp995;0.0394781295751959;0.00446413549603487;0.0340938269443148;0.0122710673533092;0.0666267809022748
Sall1;0.0387962826792801;0.00520289460293644;0.0390864221414628;0.0115882716432355;0.0659468885987239
