moscot driver TFs Epsilon;Unnamed: 0;Epsilon_pull_corr;Epsilon_pull_pval;Epsilon_pull_qval;Epsilon_pull_ci_low;Epsilon_pull_ci_high
0;Arg1;0.458312556664057;2.76E-278;4.17E-275;0.436538289734847;0.479550233176654
1;Isl1;0.29001351935958;1.78E-102;1.35E-99;0.264884331113199;0.314749063434376
2;Arx;0.273084977003841;1.79E-90;9.02E-88;0.247706036447001;0.298089395830897
3;Foxd3;0.27185132811556;1.24E-89;4.69E-87;0.246454810636335;0.296874745099288
4;Mctp2;0.270957083183923;5.01E-89;1.51E-86;0.245547877505065;0.295994220888124
5;Nuak2;0.222030320078756;2.10E-59;5.28E-57;0.195994607951592;0.247753217633145
6;Peg3;0.218133349988876;2.47E-57;4.66E-55;0.192053446225128;0.243905375453513
7;Irx2;0.213522283455823;6.14E-55;1.03E-52;0.187391176507038;0.239351390900726
8;A1cf;0.207817176604631;4.72E-52;7.13E-50;0.181624346845045;0.233715336219573
9;Zbtb16;0.154697086069232;3.03E-29;3.82E-27;0.128015898575529;0.181154512536545
10;Tead1;0.152918529648883;1.33E-28;1.54E-26;0.126223684497712;0.179392062467896
11;Nkx6-3;0.151293039431017;5.03E-28;5.42E-26;0.124585864428813;0.17778114381597
12;Cers6;0.148622618475645;4.34E-27;4.37E-25;0.121895503410804;0.175134353395907
13;Irx1;0.140087831960175;3.28E-24;3.09E-22;0.113299620210224;0.16667252079739
14;Fhl2;0.11677141158842;3.06E-17;2.31E-15;0.0898367130254365;0.143535426274364
15;Pou3f4;0.102409437672123;1.38E-13;9.08E-12;0.075399372979911;0.129269333902666
16;Pou6f2;0.100679567131857;3.54E-13;2.14E-11;0.0736611885369776;0.127550261490242
17;Id2;0.0972896331833166;2.13E-12;1.19E-10;0.0702554382421877;0.124181019809959
18;Tcf21;0.0892329318499295;1.19E-10;5.79E-09;0.0621636750825214;0.116171007905764
19;Hoxa5;0.0892329318499295;1.19E-10;5.79E-09;0.0621636750825214;0.116171007905764
20;Hand2;0.0892329316194656;1.19E-10;5.79E-09;0.0621636748511054;0.116171007676585
21;Kcnip1;0.08771585114057;2.44E-10;1.15E-08;0.0606403902377311;0.114662326713248
22;Foxa2;0.0849628077282926;8.74E-10;3.95E-08;0.0578764102432081;0.111924208397007
23;Npdc1;0.0849238564712129;8.89E-10;3.95E-08;0.0578373072294944;0.111885465369276
24;Prox1;0.0821670099898632;3.06E-09;1.28E-07;0.0550699309866547;0.109143148485916
25;Mbnl2;0.0814413894221239;4.21E-09;1.72E-07;0.0543416081150764;0.108421283935922
26;Atf5;0.0798990859664215;8.22E-09;3.10E-07;0.0527936566985649;0.106886869366768
27;Zfp148;0.0787148929049466;1.36E-08;5.02E-07;0.0516052154843359;0.105708646206671
28;Etv1;0.0782344869387916;1.67E-08;6.00E-07;0.0511231080108017;0.105230640511019
29;Osr2;0.0767860767176194;3.05E-08;1.05E-06;0.0496696442684967;0.103789391528727
30;Cbfb;0.0762257971149479;3.84E-08;1.29E-06;0.049107440648608;0.103231851644126
31;Msrb3;0.0730701124751232;1.37E-07;4.40E-06;0.0459412402219204;0.100091281020678
32;Rfx2;0.0706798111957939;3.46E-07;1.07E-05;0.0435433364143881;0.0977120695574375
33;Meis2;0.0699640038190358;4.54E-07;1.37E-05;0.0428253131890372;0.0969995230474456
34;Ebf1;0.069041834843028;6.43E-07;1.83E-05;0.0419003308737055;0.0960815141684129
35;Hspa5;0.0687203819991504;7.24E-07;2.03E-05;0.0415779082816752;0.095761500653086
36;Prnp;0.0668739621281497;1.43E-06;3.76E-05;0.0397260276784646;0.0939232399893646
37;Hic1;0.066407051779848;1.69E-06;4.32E-05;0.0392577659980322;0.0934583636686697
38;Onecut2;0.0632375938930098;5.16E-06;0.0001216649903803;0.0360794502372789;0.0903024012495624
39;Gtf2a1l;0.0610978957718617;1.06E-05;0.0002295793292761;0.033934082776099;0.088171506512439
40;Rab7;0.0604418825591097;1.32E-05;0.0002813447024485;0.0332763815293394;0.0875181427067017
41;Mesp2;0.0603891719840461;1.35E-05;0.0002823020253703;0.0332235363421345;0.0874656440000376
42;Ltf;0.0590621690259251;2.08E-05;0.0004235142681548;0.0318931945318625;0.0861439253289493
43;Foxp2;0.0581691650546414;2.76E-05;0.0005350409556392;0.0309979978717751;0.0852544237443906
44;Gm10778;0.058117638737207;2.81E-05;0.0005370048516039;0.0309463463663421;0.0852030981971446
45;Smarca1;0.0579948847421641;2.92E-05;0.0005513953178832;0.0308232947136854;0.0850808219288668
46;Rreb1;0.0553198202178515;6.71E-05;0.0012208007526083;0.0281419481394189;0.0824159654352865
47;Zfp980;0.0547168946055444;8.05E-05;0.001447761208595;0.0275376606371775;0.0818152870709481
48;Bnc2;0.0546051288114303;8.33E-05;0.0014796601331233;0.027425644568654;0.0817039356917002
49;Atf3;0.0542569352038594;9.25E-05;0.0016046751015833;0.0270766756353342;0.0813570288095784
50;Ppargc1a;0.0541214830013696;9.63E-05;0.0016519043512889;0.0269409236100716;0.0812220753873362
51;Bhlhe41;0.053165299830764;0.0001277402113327;0.0021672777428367;0.0259826524495471;0.0802693849354541
52;Canx;0.0511500371667753;0.0002284258491437;0.0037491633935546;0.0239631526991467;0.0782613213854035
53;Zfp641;0.0505900260615447;0.0002675053486609;0.0042971603880636;0.02340200356483;0.0777032717428551
54;Zfp870;0.0500029453574278;0.0003151447515594;0.0049058615964407;0.0228137482153875;0.0771182290717938
55;Nfe2l1;0.0490374130383606;0.0004111115782583;0.0062704897289908;0.0218463249779328;0.0761560079592533
56;Irx3;0.048443478471707;0.0004830398190224;0.0072216844230084;0.0212512525322906;0.0755640851455249
57;Arnt;0.0477864952039722;0.0005761807913666;0.0082078584430525;0.0205930330373577;0.0749093049211761
58;Zfp119b;0.046367080520865;0.0008372386024146;0.0115984430242758;0.0191710279589451;0.0734945700655176
59;Zbtb44;0.0450490717013055;0.0011740780390999;0.0156890074251412;0.0178507123164509;0.0721808089714741
60;Kdm7a;0.0442733344603179;0.0014269185482144;0.0189004123491566;0.0170736616961649;0.071407527788437
61;Dbp;0.0439363080173349;0.0015516750064684;0.0203741674762382;0.0167360748809784;0.0710715582393007
62;Phf8;0.0437529813308929;0.0016236797572063;0.0211358313222554;0.0165524459822436;0.0708888038684386
63;Zeb1;0.0437054608868895;0.0016428394450714;0.021202457795366;0.0165048475006953;0.070841431478079
64;Ube2v1;0.0436516728684418;0.0016647769362794;0.021303501472729;0.01645097130091;0.070787810892701
65;Nf1;0.042618850817371;0.0021418436197599;0.0252897912707661;0.0154164866513931;0.0697581734250303
66;Ccdc25;0.0420541002671875;0.0024528540876384;0.0280037608701437;0.0148508516134714;0.0691951397604896
67;Eno1;0.0420307576372478;0.0024665564210126;0.0280037608701437;0.014827472800004;0.0691718677218542
68;Nkx6-2;0.0414024450643892;0.002862731684737;0.0320201840292807;0.0141981974516931;0.0685454441531862
69;Celf6;0.0404898809423086;0.0035420587040401;0.0382036331650047;0.0132842733667058;0.0676355855110023
70;Celf4;0.0396411442773124;0.0043022207687752;0.0448024369713839;0.0124343126543469;0.0667893245699138
71;Zkscan2;0.0393258162001574;0.0046203882768409;0.0475343028797604;0.0121185398279418;0.0664749063378187
72;Rfx4;0.0393189842018651;0.0046275116048508;0.0475343028797604;0.0121116982536315;0.0664680939928436
73;Jazf1;0.0379212753358835;0.0063120494346927;0.0631204943469274;0.0107120838670566;0.0650743526276768
74;Osr1;0.0377499664850881;0.0065526106050032;0.0650950132470721;0.010540548801901;0.0649035227616441
75;Nuak1;0.0377013612637661;0.0066223496119339;0.0652482544885216;0.010491879688734;0.0648550531521552
76;Ets1;0.0374498747792631;0.0069939504305122;0.0681346138714414;0.0102400646828751;0.0646042662853734
77;Thrb;0.0373423798499571;0.0071584194348603;0.0688484926537526;0.0101324303838291;0.0644970693529964
78;Zhx3;0.0369103117706211;0.0078550548170705;0.0728067548485957;0.0096998084783408;0.0640661927288666
79;Thap1;0.0369078023669867;0.0078592722121331;0.0728067548485957;0.0096972958878978;0.0640636902154994
80;Supt20;0.0368394797724089;0.0079748795407088;0.0734272445516489;0.0096288866593033;0.0639955550884127
81;Sim1;0.0363314124420481;0.0088834103424795;0.0770916644663457;0.0091201830816985;0.0634888738810268
82;Ctbp2;0.0360729003444521;0.0093802637420249;0.0804783991503277;0.0088613526584895;0.0632310616888537
83;Git2;0.0360103696606218;0.0095041072464641;0.0810802369613604;0.008798745523528;0.063168699758526
84;Zfp143;0.0358684898171199;0.0097905243048756;0.082778890939297;0.0086566930063663;0.0630272020240374
85;Gm14419;0.0351768205278116;0.0112998161994867;0.0927321872892661;0.0079641976545489;0.0623373798934423
86;Lef1;0.0350499020427371;0.011598170709032;0.0944798713492468;0.007837130424483;0.0622107975366576
87;Bax;0.034494693386618;0.0129870441354435;0.102288056557852;0.0072812814097257;0.0616570490116714
88;Hivep2;0.0341753941441639;0.0138507069906529;0.107807049257144;0.0069616215150209;0.0613385819136618
89;Zbtb4;0.0337321603791194;0.0151334917670967;0.11425786284158;0.0065178963309904;0.0608964941185591
90;Zfp511;0.0332926152560623;0.016507745487554;0.121360927175316;0.0060778744619258;0.060458074903365
91;Tbx4;0.0327525519400989;0.0183453803059992;0.131573051897556;0.0055372398037811;0.05991938062439
92;Pir;0.0326927049202267;0.0185596424199864;0.131573051897556;0.0054773304499168;0.0598596843401667
93;Sox12;0.0323365540392353;0.0198805529982805;0.139626209429784;0.0051208126586754;0.0595044264710075
94;Pparg;0.0320412236291485;0.021037385626018;0.145052293585786;0.0048251832434133;0.0592098313521031
95;Tbx3;0.0317058084406941;0.022421942754875;0.153199699365888;0.0044894342358051;0.0588752455153922
96;Zfp7;0.0316625518501142;0.0226061430037257;0.153697573262888;0.004446135041164;0.0588320954372096
97;Tceal5;0.0315024445962942;0.023299415499035;0.155673085856384;0.0042858709832479;0.0586723815383997
98;Prdx5;0.0314193870167136;0.0236662735393828;0.157427634557127;0.004202732610409;0.0585895274685615
99;Tmem33;0.0313839112509436;0.0238244874221503;0.157784982488802;0.0041672224506881;0.0585541385123082
100;Srrm3;0.0313505516514585;0.0239740995491035;0.158082490476621;0.0041338305715074;0.0585208604817617
101;Akr1a1;0.0306110111369747;0.027506326632933;0.175993869558173;0.0033935900435157;0.0577831127405403
102;Zfp287;0.0304196851422762;0.0284901235289026;0.180000362044531;0.003202087805334;0.0575922457207787
103;Elf4;0.030332025486093;0.0289508962387481;0.182149388835457;0.0031143480666916;0.0575047956891751
104;Cebpg;0.0302489824315302;0.0293933026789963;0.184126891674289;0.0030312295337538;0.0574219508346737
105;Rbm3;0.0300596539224477;0.0304237237284932;0.186912360185303;0.002841730348864;0.0572330727994958
106;Meis1;0.0300547857181156;0.0304506229176056;0.186912360185303;0.0028368577817225;0.0572282161525485
107;Zfp457;0.0293853348803529;0.0343494753088685;0.202608233267154;0.0021668193011994;0.0565603423790134
108;Tbx1;0.0291754858487969;0.0356562482266138;0.20788005722852;0.0019567910956259;0.0563509826941335
109;Mbtps2;0.0291230963739385;0.0359890236326655;0.208212358947605;0.0019043572639896;0.0562987150134226
110;Prdm9;0.0288768510133514;0.0375888431310236;0.215814270448082;0.0016579054189696;0.0560530401243171
111;Csnk2b;0.0285754105109806;0.0396292379046012;0.222454086378988;0.0013562166505024;0.0557522934828364
112;Zfp652;0.0283521466550276;0.041200371750808;0.23041689386563;0.0011327721085365;0.055529540360444
113;2310011J03Rik;0.0281571089190931;0.0426157333344259;0.23571339683144;0.0009375787540628;0.0553349465746335
114;Tbl1xr1;0.0281023638328266;0.0430203212353855;0.236220672965207;0.0008827903600754;0.0552803257295113
115;Msi1;0.0280009845999442;0.0437781256124505;0.236935375178496;0.0007813313596553;0.0551791761420284
116;Zfp787;0.0278096634999352;0.0452389553081063;0.240531065194509;0.0005898612504385;0.0549882869050429
117;Thap11;0.0277335568969764;0.0458313797598061;0.242825906797569;0.0005136959272061;0.0549123515427477
118;Zfp420;0.0276344848657357;0.0466123456113033;0.245782365168105;0.0004145479297841;0.0548135019536291
119;Taf6;0.0275444366829824;0.0473318616833397;0.248151797148288;0.0003244311643938;0.0547236554899719
120;Cxxc5;0.0273195487958755;0.0491696630672632;0.254601835932841;9.94E-05;0.0544992694574855
121;Nr2f2;0.0269662498003006;0.052177528426459;0.26527968997964;-0.0002541855451946;0.0541467533319184
122;Zfp866;0.026628687167456;0.055193624962379;0.275429783292963;-0.0005919906969589;0.053809932369754
123;Zfp981;0.02649115812569;0.0564634134430598;0.278626648036014;-0.0007296167641583;0.0536727037245064
124;Ssxb5;0.0264443760102319;0.056900849509167;0.278764310912396;-0.0007764316489143;0.0536260235584203
125;Kmt2a;0.0263887835173393;0.0574243280013898;0.279712049297092;-0.0008320629273404;0.0535705520603415
126;Zfp131;0.026274670596029;0.0585114020366327;0.284090730145708;-0.0009462549345858;0.0534566869755796
127;Bcl6b;0.0261158870313213;0.0600523997522558;0.287593154963979;-0.0011051473630577;0.0532982470894179
128;Cd59a;0.0260830225136315;0.0603755166381334;0.287593154963979;-0.0011380342413393;0.0532654535342695
129;Hnf4a;0.0260360166767089;0.0608401705034978;0.288895149246168;-0.0011850719580872;0.0532185490925571
130;Mlx;0.0258762972547982;0.0624411802545313;0.293726424250287;-0.0013448988032928;0.0530591733015503
131;Smad3;0.0258216917995724;0.0629964667671523;0.294503606248916;-0.0013995406657788;0.053004685010446
132;Sema4a;0.0257779519442071;0.0634441980625446;0.295681293439637;-0.0014433095666989;0.0529610388886847
133;Max;0.0257587105371246;0.0636419882844026;0.295690468644455;-0.0014625637180515;0.052941838682646
134;Myef2;0.025627110999783;0.0650084446073576;0.300191900174648;-0.0015942498773867;0.052810520396613
135;Spag7;0.0255805848909825;0.06549729739101;0.301259129836289;-0.0016408063849022;0.0527640934973241
136;Cnot3;0.0255397052858316;0.0659293187855768;0.301652305966308;-0.0016817126021257;0.0527233009644295
137;Mypop;0.0255213762320373;0.0661237836257272;0.301652305966308;-0.0017000535583071;0.0527050109214786
138;Bach2;0.025373385247537;0.0677112834745362;0.307039153292942;-0.0018481399732174;0.0525573342471114
