Fev+Delta;Ngn3high;Epsprogenitors;Fev+Delta|Ngn3high;Fev+Delta|Epsprogenitors;Ngn3high|Epsprogenitors;Fev+Delta|Ngn3high|Epsprogenitors
Dusp8;Srl;Cer1;Ngfr;Fam107b;Notum;Hpca
Kcnh8;Ak8;Neurl1a;1520401A03Rik;;Shisal1;Tnnc1
Slc49a4;Ssc5d;Gprc5b;Scin;;Stxbp1;
Cited1;Cep85l;Gpr153;Fam210b;;St6galnac2;
Pcbp4;;Lurap1l;Serping1;;Btbd11;
Klc3;;Pla2g2f;1110012L19Rik;;Fbrsl1;
Ephb2;;Pdlim4;Tmem185a;;Osbpl5;
Bckdha;;Tgm7;Mmel1;;Sh2d5;
Krt7;;Npr2;Igsf8;;Tmem82;
;;Dyrk1b;Lhfpl2;;Cd63;
;;Lmna;Mex3b;;Krtap17-1;
;;Zswim4;Asxl3;;Spint1;
;;Fbxl16;Doc2b;;Ndc1;
;;Chn2;Prex2;;Dab1;
;;Lrrc42;Myt1;;Btg2;
;;Cdhr2;Tspan11;;Prom2;
;;Dop1b;Ccdc120;;Dock4;
;;Drap1;Wdr47;;Dpysl5;
;;Fat1;Nmnat3;;Lynx1;
;;Tmem184a;Mapk7;;Lypd1;
;;Atg3;Slc36a1;;Rnf141;
;;Cacna2d1;H2-Q2;;Dmwd;
;;Svip;Atp13a3;;Ypel3;
;;Casz1;Psmc2;;Ppp1r14a;
;;Mxi1;Pkn1;;Kcnq4;
;;B3galt5;Cyth2;;Cog1;
;;Elmod2;Zfp451;;Fgf18;
;;Rnf215;Pax4;;Iqgap2;
;;Slc18a2;Dyrk2;;Rap1gap2;
;;Slc35f3;Synpr;;Atg4a;
;;Pisd;Whrn;;Gdap1l1;
;;Rph3al;Lhx1;;Arhgef7;
;;Ppp3ca;;;Sult2b1;
;;Camk2g;;;Gsg1l2;
;;Tgfbr1;;;Myef2;
;;Kif26a;;;Sel1l3;
;;Fam53b;;;Shank3;
;;Aopep;;;Pdp2;
;;Rnf112;;;Fhdc1;
;;Nkx2-2;;;Il11;
;;Pbx1;;;Sel1l;
;;Fndc9;;;Pgm2l1;
;;Kcnma1;;;Wnt3;
;;Eif1ad;;;Plekha6;
;;Ppp2r2c;;;Cblc;
;;Rps6ka1;;;Epb42;
;;Slit1;;;Crlf1;
;;Rdh5;;;1600014C10Rik;
;;Nfic;;;Eml5;
;;Trim9;;;Flnc;
;;Sema5a;;;Pth1r;
;;Cyfip2;;;Upk3bl;
;;Orai2;;;Rnf220;
;;Slc29a1;;;Map3k15;
;;Nek6;;;Epha8;
;;Efcc1;;;Plk5;
;;Mical2;;;5730522E02Rik;
;;Aatk;;;Btbd17;
;;;;;Nhlh1;
;;;;;Kcnip3;
;;;;;Ptprs;
;;;;;Sh3kbp1;
;;;;;Mxd1;
;;;;;St6galnac4;
;;;;;Rhbdl3;
;;;;;Qdpr;
;;;;;Grik2;
;;;;;Ajap1;
;;;;;Inppl1;
;;;;;Septin3;
;;;;;Cenps;
;;;;;Msrb2;
;;;;;Cotl1;
;;;;;Cd40;
;;;;;Ret;
;;;;;Ttyh2;
;;;;;Agap3;
;;;;;Mgat5b;
;;;;;Tox3;
;;;;;Slc6a9;
;;;;;Sun2;
;;;;;Slc15a1;
;;;;;Pdlim7;
;;;;;Igsf21;
;;;;;Mmd2;
;;;;;Ankrd2;
;;;;;Akr1b8;
;;;;;Rbfox3;
;;;;;Selenom;
;;;;;Fgd6;
;;;;;Pclo;
;;;;;Sfn;
;;;;;Mfap4;
;;;;;Gabrg3;
;;;;;Kcnb2;
;;;;;Cck;
;;;;;Tmbim1;
;;;;;Mycl;
;;;;;Prxl2b;
;;;;;Clcn2;
;;;;;Lgi3;
;;;;;Grin2c;
;;;;;Rfwd3;
;;;;;Setbp1;
;;;;;H4f16;
;;;;;Gm2237;
;;;;;Flii;
;;;;;Dpysl4;
;;;;;Pcdhga12;
;;;;;Pde1c;
;;;;;Cbfa2t2;
;;;;;Dnm1;
;;;;;Lrfn3;
;;;;;Slc6a11;
;;;;;Brsk2;
;;;;;Gpc1;
;;;;;Tfcp2l1;
;;;;;Serpini1;
;;;;;Sulf2;
;;;;;Dmpk;
;;;;;Insrr;
;;;;;Arhgef25;
;;;;;Pdk2;
;;;;;Sncaip;
;;;;;Dbn1;
;;;;;Dner;
;;;;;Vil1;
;;;;;Paxip1;
;;;;;Cnksr3;
;;;;;Gabbr2;
;;;;;Tmem200a;
;;;;;Zfp423;
;;;;;Olfm1;
;;;;;Celsr2;
;;;;;Marcks;
;;;;;Lmx1b;
;;;;;Tmem120b;
;;;;;Pdzd4;
;;;;;Rab15;
;;;;;Tmem114;
;;;;;Tubb3;
;;;;;Plekhg6;
;;;;;Jund;
;;;;;Poc1a;
;;;;;Fmnl2;
;;;;;Slc25a34;
;;;;;Galr2;
;;;;;Plk3;
;;;;;Rnf165;
;;;;;Ncs1;
;;;;;Srrm4;
;;;;;Fez1;
;;;;;Shf;
;;;;;Scube1;
;;;;;Fibcd1;
;;;;;Gdpd1;
;;;;;Raph1;
;;;;;Galnt9;
;;;;;Kif16b;
;;;;;Tbc1d9;
;;;;;Ttbk1;
;;;;;Slco4a1;
;;;;;Mtcl1;
;;;;;Rybp;
;;;;;Cecr2;
;;;;;Adgrb3;
;;;;;Lgi4;
;;;;;Ano9;
;;;;;Clvs1;
;;;;;Anks6;
;;;;;Slc31a2;
;;;;;Tmsb4x;
;;;;;Bicd2;
;;;;;Adamts18;
;;;;;Actn3;
;;;;;Mapk4;
;;;;;Tecpr1;
;;;;;Elfn1;
;;;;;Smarcd2;
;;;;;Dll3;
;;;;;Ccng2;
;;;;;Pear1;
;;;;;Mfng;
;;;;;Alpl;
;;;;;Tmod3;
;;;;;Igfbpl1;
;;;;;Vps37b;
;;;;;Map1a;
;;;;;Stox1;
;;;;;Foxn2;
;;;;;Gspt1;
