Differentiable motif activity delta cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
0;M09209_2.00;17.140167;3.7560358;7.44E-66;4.43E-64;M09209_2.00;Isl1;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
1;M09128_2.00;17.140167;3.7560358;7.44E-66;4.43E-64;M09128_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
2;M00381_2.00;15.560575;2.6682448;1.35E-54;4.31E-53;M00381_2.00;Hoxb6;['Hoxb6', 'Hoxa10', 'Hoxa4', 'Mnx1', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Pdx1', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8', 'Hoxc4', 'Hoxd4']
3;M06271_2.00;15.059449;2.2583969;2.99E-51;8.57E-50;M06271_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
4;M06270_2.00;14.99419;2.5317478;8.01E-51;2.26E-49;M06270_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
5;M05204_2.00;14.9076;2.4748006;2.94E-50;8.08E-49;M05204_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
6;M04908_2.00;14.497901;2.3695168;1.25E-47;3.25E-46;M04908_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
7;M04910_2.00;14.44324;2.3230362;2.77E-47;7.05E-46;M04910_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
8;M04909_2.00;14.44324;2.3230362;2.77E-47;7.05E-46;M04909_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
9;M10788_2.00;13.89943;2.2083583;6.38E-44;1.53E-42;M10788_2.00;;['Hoxb6', 'Hoxa10', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8']
10;M09565_2.00;13.84242;2.284583;1.41E-43;3.37E-42;M09565_2.00;Nanog;['Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Nanog', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Barx1', 'Msx2', 'Dlx2', 'Msx3', 'Barhl1', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Barx2', 'Barhl2', 'Gbx2', 'Meox2', 'Dlx1', 'Hoxd1', 'Msx1', 'Hoxb3', 'Hmx2', 'Bsx', 'Gbx1', 'Hoxb2', 'Hoxd3', 'Hoxa3']
