Differentiable motif activity epsilon cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
0;M07961_2.00;16.305643;2.638924;0;0;M07961_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
1;M07959_2.00;16.271872;2.6031;0;0;M07959_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
2;M08121_2.00;16.264652;2.4830384;0;0;M08121_2.00;Foxa2;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
3;M09088_2.00;16.229338;2.6305485;0;0;M09088_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
4;M09090_2.00;16.188122;2.3289025;0;0;M09090_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
5;M01983_2.00;15.959681;2.2723331;0;0;M01983_2.00;Foxb1;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
6;M08117_2.00;15.899007;2.2960217;0;0;M08117_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
7;M09103_2.00;15.853451;2.494545;0;0;M09103_2.00;Foxa1;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
8;M07960_2.00;15.791625;2.2370932;0;0;M07960_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
9;M03030_2.00;15.737431;1.9068953;0;0;M03030_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
10;M09545_2.00;15.735456;2.108257;0;0;M09545_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
11;M09543_2.00;15.725666;2.334027;0;0;M09543_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
12;M07962_2.00;15.717357;2.5576575;0;0;M07962_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
13;M08123_2.00;15.47709;2.410872;0;0;M08123_2.00;;['Foxa1', 'Foxa2', 'Foxa3']
14;M09085_2.00;15.36031;2.0840917;0;0;M09085_2.00;;['Foxm1']
15;M09099_2.00;15.36031;2.0840917;0;0;M09099_2.00;Foxm1;['Foxm1']
16;M09096_2.00;15.243713;2.1735635;0;0;M09096_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1', 'Foxs1']
17;M09106_2.00;15.243713;2.1735635;0;0;M09106_2.00;Foxa3;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1', 'Foxs1']
