Differentiable motif activity alpha cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
0;M05413_2.00;40.054066;4.0058227;0.0;0.0;M05413_2.00;;['Pax2', 'Pax6']
1;M03291_2.00;39.71139;4.631095;0.0;0.0;M03291_2.00;;['Pax2', 'Pax6']
2;M03900_2.00;39.085533;4.279438;0.0;0.0;M03900_2.00;;['Pax6']
3;M05412_2.00;38.90162;3.6925375;0.0;0.0;M05412_2.00;;['Pax2', 'Pax6']
4;M05436_2.00;38.531826;3.8714454;0.0;0.0;M05436_2.00;;['Pax4']
5;M05414_2.00;38.33186;3.4091408;0.0;0.0;M05414_2.00;;['Pax2', 'Pax6']
6;M03899_2.00;38.23041;3.6266236;0.0;0.0;M03899_2.00;;['Pax6']
7;M05432_2.00;37.50098;3.359325;0;0;M05432_2.00;;['Pax4']
8;M05415_2.00;37.11064;3.1998098;0;0;M05415_2.00;;['Pax2', 'Pax6']
9;M09088_2.00;35.6728;3.1089327;0;0;M09088_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
10;M09543_2.00;35.559006;2.8333972;0;0;M09543_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
11;M07961_2.00;35.511143;3.0223243;0;0;M07961_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
12;M05435_2.00;35.46106;3.2157855;0;0;M05435_2.00;;['Pax4']
13;M07962_2.00;35.127262;3.0404444;0;0;M07962_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
14;M10806_2.00;34.953186;2.6501894;0;0;M10806_2.00;;['Pax2', 'Pax6']
15;M07959_2.00;34.832756;2.9686291;0;0;M07959_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
16;M01983_2.00;34.714878;2.5212638;0;0;M01983_2.00;Foxb1;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
17;M03443_2.00;34.637188;2.6229253;0;0;M03443_2.00;;['Pax6', 'Pax9', 'Pax5', 'Pax8', 'Pax1']
18;M08121_2.00;34.543087;2.7759326;0;0;M08121_2.00;Foxa2;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
19;M05431_2.00;34.52828;2.6262796;0;0;M05431_2.00;;['Pax4']
20;M03031_2.00;34.32794;2.4017997;0;0;M03031_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
21;M08123_2.00;34.27883;2.9127924;0;0;M08123_2.00;;['Foxa1', 'Foxa2', 'Foxa3']
22;M09103_2.00;34.155327;2.8070996;0;0;M09103_2.00;Foxa1;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
23;M08117_2.00;33.489853;2.5759444;0;0;M08117_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
24;M09545_2.00;33.44793;2.3152711;0;0;M09545_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
25;M09090_2.00;33.432102;2.5280793;0;0;M09090_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
26;M07960_2.00;33.349434;2.538319;0;0;M07960_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
27;M09096_2.00;33.30048;2.4719248;0;0;M09096_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1', 'Foxs1']
28;M09106_2.00;33.30048;2.4719248;0;0;M09106_2.00;Foxa3;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1', 'Foxs1']
29;M09542_2.00;33.110573;2.5037377;0;0;M09542_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
30;M08199_2.00;33.035263;2.562363;0;0;M08199_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
31;M09104_2.00;32.724007;2.3754506;0;0;M09104_2.00;Foxa2;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
32;M02689_2.00;32.718517;2.36567;0;0;M02689_2.00;;['Pax2', 'Pax6']
33;M05446_2.00;32.0063;2.229679;0;0;M05446_2.00;;['Pou2f2']
34;M04817_2.00;31.365181;2.2927864;0;0;M04817_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
35;M09099_2.00;31.311594;2.1118138;0;0;M09099_2.00;Foxm1;['Foxm1']
36;M09085_2.00;31.311594;2.1118138;0;0;M09085_2.00;;['Foxm1']
37;M03045_2.00;31.005877;2.1936939;0;0;M03045_2.00;;['Foxg1', 'Foxj3', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
38;M03034_2.00;31.005877;2.1936939;0;0;M03034_2.00;;['Foxg1', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
39;M03062_2.00;31.005877;2.1936939;0;0;M03062_2.00;Foxk1;['Foxj3', 'Foxk2', 'Foxi1', 'Foxk1']
40;M03043_2.00;31.005877;2.1936939;0;0;M03043_2.00;;['Foxg1', 'Foxj3', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
41;M03040_2.00;31.005877;2.1936939;0;0;M03040_2.00;;['Foxo4']
42;M03026_2.00;31.005877;2.1936939;0;0;M03026_2.00;;['Foxj2', 'Foxg1', 'Foxj3', 'Foxk2', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxk1', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
43;M03054_2.00;31.005877;2.1936939;0;0;M03054_2.00;Foxg1;['Foxg1', 'Foxj3', 'Foxk2', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
44;M03050_2.00;31.005877;2.1936939;0;0;M03050_2.00;;['Foxp4', 'Foxo4', 'Foxo1', 'Foxo3', 'Foxo6']
45;M04818_2.00;30.987022;2.258338;0;0;M04818_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
46;M05429_2.00;30.911596;1.9760387;0;0;M05429_2.00;;['Pax2']
47;M05449_2.00;30.707813;2.014055;0;0;M05449_2.00;;['Pou2f2']
48;M08115_2.00;30.695179;2.1322644;0;0;M08115_2.00;;['Foxp4', 'Foxp2', 'Foxp1', 'Foxj3', 'Foxk2', 'Foxp3', 'Foxc2']
49;M05686_2.00;30.678934;1.9744782;0;0;M05686_2.00;;['Pax6', 'Pax9', 'Pax5', 'Pax8', 'Pax1']
50;M05476_2.00;30.477835;2.1175654;0;0;M05476_2.00;;['Pou3f2']
