Differential motif activity beta cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
0;M08835_2.00;44.736942;5.2192674;0;0;M08835_2.00;Mafg;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
1;M08809_2.00;44.736942;5.2192674;0;0;M08809_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
2;M08834_2.00;44.41785;5.101277;0;0;M08834_2.00;Maff;['Maff']
3;M08839_2.00;44.235657;5.0195646;0;0;M08839_2.00;Maf;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
4;M08817_2.00;44.006714;4.805994;0;0;M08817_2.00;Mafk;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
5;M08807_2.00;43.88215;5.070042;0;0;M08807_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
6;M07841_2.00;43.857246;4.741556;0;0;M07841_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
7;M08810_2.00;43.764027;4.962303;0;0;M08810_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
8;M06500_2.00;43.355476;5.5917816;0;0;M06500_2.00;;['Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
9;M07840_2.00;43.26837;4.462584;0;0;M07840_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
