Supplementary Table 5: Curated cell type transitions (spatio-temporal analysis);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
;;;;;;
Cell_type;Known_progenitors;Known_descendants;;Citations;Additional information;
Ectoderm;/;Brain, Spinal cord, Neural crest, Branchial arch, Surface ectoderm;;-> Brain: PMID: PMC2888941, -> Spinal cord: PMID: 29109536, -> Neural crest: Neural crest: PMID: 22820859, PMID: 18523435, -> Branchial arch: PMID: 15110048, -> Surface ectoderm: PMID: 2627894;/;
Mesoderm;/;Branchial arch, Heart, Sclerotome, Dermomyotome, Notochord, AGM, Mesenchyme, Head mesenchyme;;-> Branchial arch: PMID: 15110048, Heart: PMID: 31476530, PMID: 24086063, → AGM: PMID: 18204427, all other transitions: PMID: 31476530;/;
Endoderm;/;Liver, Primitive gut tube;;-> Liver: PMID: 16123587, Primitive gut tube: PMID: 26134088;/;
Brain;Ectoderm;Eye;;-> Eye: PMID: 20959163;/;
Spinal cord;Ectoderm;/;;/;/;
Neural crest;Ectoderm;Branchial arch, Smooth muscle, Submandibular gland, Eye, Meninges, Head mesenchyme, Olfactory epithelium, Dorsal root ganglion, Facial nerve, Sympathetic nerve, Adrenal gland, Jaw and tooth;;-> Branchial arch: PMID: 15110048, Facial nerve: PMID: 32850790, -> Dorsal root ganglion: PMID: 15590743, -> Sympathic nerve: PMID: 15590743, PMID: 24770894, -> Smooth muscle: PMID: 16436625, → Head mesenchyme: PMID: 27493992, → Submandibular gland: PMID: 30740679, → Meninges: PMID: 30801905, → Adrenal gland: PMID: 26038200, Jaw and tooth: PMID: 11523812;Neural crest also becomes smooth muscle cells, but only those of the head;
Branchial arch;Mesoderm, Ectoderm, Neural crest, Mesenchyme;Jaw and tooth, Thymus;;-> Jaw and tooth: PMID: 15110048, Thymus: PMID: 31402457;Usually called “Pharyngeal arch” in mammals. The endodermal component of the arches forms the thymus;
Dermomyotome;Mesoderm;Adipose tissue, Smooth muscle, Meninges, Muscle, Connective tissue, Head mesenchyme;;-> Adipose tissue: PMID: 30948523, -> Smooth muscle: PMID: 16436625, -> Meninges: PMID: 30801905, → Muscle: PMID: 10631173, → Connective tissue: PMID: 15338303, Head mesenchyme: PMID: 27493992;/;
