gene_name;gene_set;Neuron_pval;Neuron_corr;highly_variable;highly_variable_rank;references;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
Tcf7l2;TF;0;0.144555225;WAHR;9.5;https://neuraldevelopment.biomedcentral.com/articles/10.1186/s13064-018-0107-8;;;;
Sox11;TF;0;0.136795595;WAHR;573;https://anatomypubs.onlinelibrary.wiley.com/doi/10.1002/dvdy.23962;;;;
Myt1l;TF;0;0.126745811;WAHR;598.5;https://www.pnas.org/doi/10.1073/pnas.2008013117;;;;
Csrnp3;TF;0;0.106000182;FALSCH;1855.5;https://pubmed.ncbi.nlm.nih.gov/24523945/;;;;
Sox5;TF;0;0.104497653;WAHR;272.5;https://www.pnas.org/doi/10.1073/pnas.2008013117;;;;
Ybx1;TF;0;0.097176581;FALSCH;;https://www.nature.com/articles/s41467-020-17878-y;;;;
Zfhx3;TF;0;0.091391571;WAHR;235;https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001450;;;;
Id4;TF;0;0.0857408;WAHR;380;https://pubmed.ncbi.nlm.nih.gov/15882580/;;;;
Prox1;TF;0;0.083069095;FALSCH;1793;https://www.sciencedirect.com/science/article/pii/S0092867421005018;;;;
Camta1;TF;0;0.078329954;FALSCH;;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4880143/;;;;
Nr2f1;TF;0;0.075017069;WAHR;176.5;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7327499/;;;;
Thra;TF;0;0.073415067;FALSCH;;https://www.sciencedirect.com/science/article/abs/pii/S0166432816312967;;;;
Pou2f2;TF;0;0.069616186;WAHR;863.5;https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001450;;;;
Tub;TF;0;0.068782689;FALSCH;;https://doi.org/10.1242/jcs.115.1.9;;;;
Klf7;TF;0;0.066526642;FALSCH;1430.5;https://doi.org/10.1016/B978-0-12-801732-6.00012-4;;;;
Tbr1;TF;0;0.065824145;WAHR;52;https://link.springer.com/article/10.1007/s12035-022-02936-x;;;;
Bcl11a;TF;0;0.063932688;WAHR;828;https://www.sciencedirect.com/science/article/pii/S221112472101144X;;;;
Neurod2;TF;0;0.06355993;WAHR;144;https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001450;;;;
Sox4;TF;0;0.063298818;FALSCH;;https://www.frontiersin.org/articles/10.3389/fnmol.2021.654031/full;;;;
Lhx9;TF;0;0.061220704;WAHR;357.5;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3236734/;;;;
Tuba1a;all genes;0;0.318738596;FALSCH;;https://www.frontiersin.org/articles/10.3389/fcell.2021.789438/full;;;;
Tenm2;all genes;0;0.260853809;WAHR;30;https://onlinelibrary.wiley.com/doi/full/10.1111/gbb.12259;;;;
Lrba;all genes;0;0.237364956;FALSCH;;https://www.nature.com/articles/s41598-017-08543-4;;;;
Stmn2;all genes;0;0.231500731;WAHR;514;https://www.mdpi.com/2227-9059/10/3/711;;;;
Stmn1;all genes;0;0.230035211;FALSCH;;https://www.mdpi.com/2227-9059/10/3/711;;;;
Tmsb10;all genes;0;0.222536879;FALSCH;1271.5;https://doi.org/10.1016/j.celrep.2017.11.050;;;;
Map1b;all genes;0;0.216014276;WAHR;404;https://www.nature.com/articles/srep30069;;;;
Nrg3;all genes;0;0.215841595;WAHR;51.5;https://www.embopress.org/doi/full/10.15252/embj.201798858;;;;
Gap43;all genes;0;0.198768859;WAHR;106;https://doi.org/10.1016/S0166-2236(96)10072-2;;;;
Malat1;all genes;0;0.195207128;WAHR;180.5;https://www.embopress.org/doi/full/10.15252/emmm.201505725;;;;
Nrxn1;all genes;0;0.192207034;WAHR;100;https://www.nature.com/articles/s41398-020-00926-y;;;;
Rbfox1;all genes;0;0.191790249;WAHR;33.5;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5890944/;;;;
Tubb3;all genes;0;0.191527865;FALSCH;1626.5;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6155462/;;;;
Dpysl3;all genes;0;0.187198521;FALSCH;1395;https://europepmc.org/article/med/17845802;;;;
Pcdh9;all genes;0;0.185202702;WAHR;19;https://www.frontiersin.org/articles/10.3389/fnmol.2020.00117/full;;;;
Nnat;all genes;0;0.183495952;WAHR;240;https://onlinelibrary.wiley.com/doi/epdf/10.1002/jcp.25498;;;;
Tubb2b;all genes;0;0.17913265;FALSCH;;https://onlinelibrary.wiley.com/doi/10.1002/cne.23836;;;;
Rtn1;all genes;0;0.17827995;FALSCH;1046;https://www.nature.com/articles/s41598-017-05504-9;;;;
Mapt;all genes;0;0.178254138;WAHR;337;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2806682/;;;;
Tubb2a;all genes;0;0.176505386;FALSCH;1370;https://doi.org/10.3389/fcell.2021.765992;;;;
