Thomas_ID;Progressive_ID;N Pole;N Hemi;S Hemi;S Pole;Plains;Crater;C_Floor;C_Peak;C_Ejecta;LRM_blue;LRM_Klima;Pits;Tectonics;C_Walls;HP 180;HP 0;Infill;Putative;_EL_mean;_EL_median;_EL_min;_EL_max;X;Y
1001;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;-1641.79685560612;-1646.5;-1846.5;-1318.5;-55.184;37.389
1000;2;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;-89.728021978022;-12.75;-769.5;330;-54.916;45.358
1009;3;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;-581.742706766917;-606;-939.5;-33;-54.531;40.422
1010;4;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;-722.830396475771;-741.25;-906.5;-565.5;-53.861;30.104
1008;5;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;92.3950177935943;119;-109;195.5;-55.055;45.976
1013;6;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;-979.97467948718;-1036.5;-1717.5;1105.5;-59.96;27.356
1014;7;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;-1087.76376068376;-1293;-1526;964.5;-54.002;22.074
1015;8;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;-1267.03776276276;-1283;-1626.5;-889.5;-56.597;12.603
1016;9;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;-1204.00822561692;-1187.5;-1500.5;-927;-55.88;5.313
1017;10;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;-1501.44545849631;-1520.5;-1857;-506;-54.397;4.298
1019;11;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;-970.861445783133;-977;-1000.5;-908.5;-50.126;11.559
1020;12;0;1;0;0;0;1;1;1;0;0;0;1;0;1;0;1;1;0;-2550.50145810382;-2756;-3122;383;-48.685;15.565
1024;13;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;-1120.64367816092;-1368.5;-1502;364.5;-56.288;3.724
1025;14;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;;1;214.975357710652;231.5;-318.5;578.5;-51.948;-27.271
1026;15;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;1;-2323.96214511041;-2333;-2504;-2133;-56.087;-3.878
1027;16;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;-1981.69122023809;-1999.5;-2090.5;-1596.5;-55.993;-12.49
1029;17;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;-2895.0285986654;-2954.5;-3236.5;-2137.5;-56.312;-37.946
1030;18;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;-2820.7818911686;-2877;-3045.5;-2014;-49.872;-40.315
1031;19;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;0;-1528.70605759682;-1693.5;-2123.5;-488.5;-48.838;-54.323
1038;20;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;-1324.20710059172;-1307;-1685;-870.5;-50.775;-22.248
1039;21;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;-886.148115220484;-880.5;-1296;735;-63.009;-46.376
1040;22;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;236.599264705882;228;163.5;351.5;-54.005;-53.806
1044;23;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;-2101.1487314401;-2111;-2447;-1841;-53.298;18.881
1048;24;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;-995.819401215355;-991.5;-1732;514.5;-62.869;14.07
1053;25;0;0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;-1525.37851019805;-1579;-2588.5;176.5;-61.324;-36.141
