id;X;Y;Diameter;Delta elev;_min;_max;Degrad_class;1;2;3;4;5;Crater Unit;c1;c2;c3;Contact Unit;c1.1;c2.1;c3.1;icp;imp;sp;cfh (c1);cfh (c2);cfh (c3);cfs (c1);cfs (c2);cfs (c3);cre;bip;NF;OF;CMF
1000;-55.433;37.61;13;444.5;-54.5;390;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
1001;-55.339;45.351;136;3019;-1981.5;1037.5;4;;;;1;;c3;;;1;icp, imp;;;;;1;;;;;;;;;;;;
1002;-55.195;45.91;2;90.5;-1436.5;-1346;;;;;;;;;;;imp;;;;;1;;;;;;;;;;;;
1003;-55.004;46.005;50;1715.5;-1288;427.5;3;;;1;;;c2;;1;;c1, icp;1;;;1;;;;;;;;;;;;;
1007;-54.899;46.118;14;210;-1034;-824;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
1008;-54.677;40.426;9;109;86.5;195.5;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
1008;-53.88;30.11;7;192;-52;140;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
1008;-60.281;27.135;4;75;-130;-55;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
1009;-53.938;22.083;113;2191;-939.5;1251.5;2;;1;;;;c2;;1;;icp;;;;;;;;;;;;;;;;;
1010;-56.548;12.483;16;345;-838;-493;;;;;;;;;;;c1;1;;;;;;;;;;;;;;;;
1010;-56.02;5.319;14;254.5;-827;-572.5;;;;;;;;;;;c1;1;;;;;;;;;;;;;;;;
1011;-54.663;4.717;24;1949;-162;1787;;;;;;;;;;;c2;;1;;;;;;;;;;;;;;;
1012;-50.111;11.573;11;733.5;83;816.5;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
1012;-48.9;15.32;10;551;512;1063;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
1013;-56.212;3.762;198;3194.5;-1717.5;1477;3;;;1;;;c2;;1;;icp;;;;;;;;;;;;;;;;;
1014;-56.056;-3.98;47;2490.5;-1526;964.5;3;;;1;;;c2;;1;;icp;;;;;;;;;;;;;;;;;
1015;-55.957;-12.442;136;3145;-1626.5;1518.5;3;;;1;;;c2;;1;;icp;;;;;;;;;;;;;;;;;
1016;-56.348;-37.931;43;2657.5;-1500.5;1157;3;;;1;;;c3;;;1;c2 (icp);;1;;1;;;;;;;;;;;;;
1017;-49.955;-40.32;98;3174.5;-1857;1317.5;2;;1;;;;c2;;1;;icp;;;;;;;;;;;;;;;;;
1018;-49.09;-54.313;13;139;-1176;-1037;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
1018;-50.783;-22.123;5;8.5;-1296.5;-1288;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
1019;-61.542;-47.191;22;1430.5;-1007.5;423;;;;;;;c3;;;1;c2 (icp);;1;;1;;;;;;;;;;;;;
1020;-54.688;-54.61;162;4862.5;-3122;1740.5;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
1024;-53.227;18.742;36;2226.5;-1502;724.5;;;;;;;c3;;;1;c2, icp;;1;;1;;;;;;;;;;;;;
1026;-63.193;13.525;65;2819;-2566.5;252.5;4;;;;1;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
