Unnamed: 0;DC1;DC2;DC3;DC4;DC5;CrU c1;CrU c2;CrU c3;CoU c1;CoU c2;CoU c3;icp;imp;sp;cfh (c1);cfh (c2);cfh (c3);cfs (c1);cfs (c2);cfs (c3);cre;bip;N Pole;N Hemi;S Hemi;S Pole;Plains;Crater;C_Floor;C_Peak;C_Ejecta;LRM_blue;LRM_Klima;Pits;Tectonics;C_Walls;HP 180;HP 0
DC1;;0.00;0.00;0.00;0.00;2.92;2.16;0.71;1.70;0.49;0.00;0.92;2.83;0.71;1.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.92;1.38;;;;0.91;0.76;0.21;1.01;1.16;1.12;1.19;0.79;0.54;1.35
DC2;0.73;;0.00;0.00;0.00;5.32;2.95;0.22;0.59;0.51;0.00;0.48;1.18;0.37;0.31;0.00;0.00;0.00;0.00;0.00;1.30;4.56;0.83;0.85;1.44;;;;1.06;0.57;0.78;0.94;0.99;1.75;2.38;0.72;0.75;0.87
DC3;0.78;0.00;;0.00;0.00;0.54;2.31;1.38;1.05;0.73;0.00;1.26;1.05;1.15;0.00;0.00;0.00;0.00;0.00;2.18;1.87;3.27;1.19;1.10;0.82;;;;1.16;1.42;1.04;0.94;0.75;1.67;1.56;0.79;1.15;0.92
DC4;1.17;0.00;0.00;;0.00;0.00;0.11;2.37;0.94;0.61;0.61;1.02;0.47;1.28;0.00;0.00;0.00;0.00;0.00;0.00;1.04;0.00;1.99;0.93;1.09;;;;1.35;1.90;0.80;0.87;0.79;1.24;0.66;0.55;1.13;0.66
DC5;6.74;0.00;0.00;0.00;;0.00;0.00;1.10;0.00;0.94;0.00;0.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.38;1.33;;;;0.87;1.46;0.82;0.86;0.20;0.72;0.00;0.38;1.39;0.46
CrU c1;2.92;5.32;0.54;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;7.06;0.00;1.26;0.00;0.00;0.00;0.00;0.00;5.21;0.00;0.00;1.50;0.29;;;;0.63;0.00;0.45;0.94;0.66;0.00;2.49;1.10;0.75;1.16
CrU c2;2.16;2.95;2.31;0.11;0.00;0.00;;0.00;2.61;0.56;0.00;1.89;1.74;0.91;0.93;0.00;0.00;0.00;0.00;0.00;0.96;3.37;0.61;1.41;0.37;;;;1.10;1.09;0.74;0.76;0.61;1.29;1.91;0.84;0.49;1.16
CrU c3;0.71;0.22;1.38;2.37;1.10;0.00;0.00;;1.38;2.47;0.59;1.81;0.92;1.97;0.12;0.00;0.00;0.00;0.00;0.00;1.53;1.78;1.62;1.12;0.90;;;;1.49;1.79;1.09;0.98;0.79;1.21;0.69;0.83;1.28;0.95
CoU c1;1.70;0.59;1.05;0.94;0.00;0.00;2.61;1.38;;1.57;1.18;3.72;0.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.28;1.16;0.89;;;;1.16;1.23;1.72;1.13;1.19;0.90;1.61;1.23;0.00;1.41
CoU c2;0.49;0.51;0.73;0.61;0.94;0.00;0.56;2.47;1.57;;0.00;5.34;0.39;0.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.27;0.77;;;;1.31;1.13;1.93;1.09;0.66;1.29;0.69;1.10;0.00;1.65
CoU c3;0.00;0.00;0.00;0.61;0.00;0.00;0.00;0.59;1.18;0.00;;3.20;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.32;0.95;0.29;;;;0.31;0.23;0.89;0.82;0.88;0.00;0.00;0.96;0.75;0.83
icp;0.92;0.48;1.26;1.02;0.59;0.00;1.89;1.81;3.72;5.34;3.20;;0.99;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.40;1.29;0.48;;;;1.19;1.38;1.12;1.03;0.97;0.65;1.14;0.93;0.24;1.39
imp;2.83;1.18;1.05;0.47;0.00;7.06;1.74;0.92;0.91;0.39;0.00;0.99;;0.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.42;0.00;;;;0.55;0.79;0.34;0.68;0.60;0.90;1.45;1.07;0.29;1.41
sp;0.71;0.37;1.15;1.28;0.00;0.00;0.91;1.97;0.00;0.49;0.99;1.04;0.95;;0.00;0.00;0.00;0.00;0.00;0.00;0.85;0.00;2.69;1.24;0.47;;;;1.15;1.40;1.08;0.91;1.18;0.50;0.67;1.16;2.44;0.32
cfh (c1);1.21;0.31;0.00;0.00;0.00;1.26;0.93;0.12;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.96;0.95;;;;0.59;0.66;0.92;1.06;1.18;0.64;0.69;1.31;0.47;1.16
cfh (c2);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.98;0.00;;;;0.38;0.00;0.00;0.84;1.06;0.00;0.00;0.66;0.90;0.79
cfh (c3);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.82;1.72;;;;0.94;0.00;0.00;1.40;1.32;0.00;0.00;0.83;0.00;1.98
cfs (c1);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;3.45;;;;1.89;0.00;0.00;1.40;2.64;0.00;0.00;1.65;0.00;1.98
cfs (c2);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;1.63;0.00;;;;0.00;1.36;1.34;0.35;0.00;0.00;2.49;1.65;0.00;1.49
cfs (c3);0.00;0.00;2.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.54;2.30;;;;0.63;0.91;0.00;1.40;1.76;0.00;0.00;0.55;0.00;1.32
cre;0.00;1.30;1.87;1.04;0.00;5.21;0.96;1.53;0.00;0.00;0.00;0.00;0.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;1.63;0.00;;;;0.81;1.55;2.29;0.60;1.51;0.00;2.84;1.18;3.87;0.28
bip;0.00;4.56;3.27;0.00;0.00;0.00;3.37;1.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;1.63;0.00;;;;1.89;1.36;2.67;0.00;0.00;0.00;2.49;0.00;0.00;0.00
