Pool;N Pole;N Hemi;S Hemi;S Pole;Plains;Crater;C_Floor;C_Peak;C_Ejecta;LRM_blue;LRM_Klima;Pits;Tectonics;C_Walls;HP 180;HP 0;Infill;Putative;Tot Pool
TOT;0.03;0.68;0.30;0.00;0.11;0.89;0.51;0.34;0.18;0.75;0.40;0.12;0.26;0.57;0.29;0.48;0.19;0.58;477
N Pole;1.00;0.00;0.00;0.00;0.15;0.85;0.38;0.38;0.31;0.62;0.23;0.00;0.15;0.54;0.62;0.15;0.15;0.69;13
N Hemi;0.00;1.00;0.00;0.00;0.14;0.86;0.49;0.33;0.15;0.69;0.34;0.09;0.26;0.57;0.31;0.46;0.15;0.58;322
S Hemi;0.00;0.00;1.00;0.00;0.04;0.96;0.57;0.35;0.26;0.92;0.55;0.19;0.27;0.60;0.21;0.57;0.28;0.57;141
Plains;0.04;0.85;0.11;0.00;1.00;0.00;0.00;0.00;0.00;0.64;0.36;0.11;0.45;0.00;0.66;0.15;0.00;0.81;53
Crater;0.03;0.65;0.32;0.00;0.00;1.00;0.57;0.38;0.21;0.77;0.41;0.12;0.23;0.65;0.25;0.53;0.21;0.55;423
C_Floor;0.02;0.65;0.33;0.00;0.00;1.00;1.00;0.46;0.19;0.77;0.37;0.16;0.21;0.54;0.24;0.52;0.25;0.39;243
C_Peak;0.03;0.66;0.31;0.00;0.00;1.00;0.69;1.00;0.19;0.72;0.36;0.07;0.12;0.52;0.25;0.47;0.23;0.40;162
C_Ejecta;0.05;0.55;0.41;0.00;0.01;0.99;0.52;0.34;1.00;0.78;0.49;0.11;0.25;0.91;0.27;0.49;0.14;0.52;88
LRM_blue;0.02;0.62;0.36;0.00;0.09;0.91;0.52;0.33;0.19;1.00;0.51;0.10;0.25;0.60;0.27;0.52;0.17;0.57;360
LRM_Klima;0.02;0.58;0.41;0.00;0.10;0.90;0.47;0.31;0.23;0.96;1.00;0.09;0.27;0.68;0.32;0.50;0.16;0.61;191
Facula;0.00;0.51;0.49;0.00;0.11;0.89;0.71;0.22;0.18;0.64;0.31;1.00;0.35;0.55;0.24;0.51;0.35;0.40;55
Tectonics;0.02;0.67;0.31;0.00;0.20;0.80;0.41;0.16;0.18;0.74;0.42;0.15;1.00;0.47;0.25;0.51;0.28;0.65;123
C_Walls;0.03;0.67;0.31;0.00;0.00;1.00;0.48;0.31;0.29;0.79;0.47;0.11;0.21;1.00;0.26;0.53;0.15;0.58;274
HP 180;0.06;0.73;0.22;0.00;0.25;0.75;0.42;0.29;0.17;0.70;0.45;0.09;0.22;0.52;1.00;0.00;0.18;0.58;139
HP 0;0.01;0.64;0.35;0.00;0.03;0.97;0.55;0.33;0.19;0.81;0.41;0.12;0.27;0.63;0.00;1.00;0.15;0.58;231
Infill;0.02;0.54;0.44;0.00;0.00;1.00;0.67;0.42;0.13;0.70;0.35;0.21;0.39;0.45;0.28;0.38;1.00;0.38;89
Putative;0.03;0.68;0.29;0.00;0.16;0.84;0.34;0.23;0.17;0.74;0.42;0.08;0.29;0.58;0.29;0.49;0.12;1.00;276
