Unnamed: 0;DC1;DC2;DC3;DC4;DC5;CrU c1;CrU c2;CrU c3;CoU c1;CoU c2;CoU c3;icp;imp;sp;cfh (c1);cfh (c2);cfh (c3);cfs (c1);cfs (c2);cfs (c3);cre;bip;N Pole;N Hemi;S Hemi;S Pole;Plains;Crater;C_Floor;C_Peak;C_Ejecta;LRM_blue;LRM_Klima;Pits;Tectonics;C_Walls;HP 180;HP 0
TOT;0.06;0.11;0.15;0.14;0.03;0.03;0.15;0.28;0.07;0.08;0.03;0.13;0.07;0.17;0.07;0.01;0.00;0.00;0.01;0.01;0.02;0.00;0.03;0.61;0.29;0.00;0.00;0.92;0.53;0.37;0.19;0.71;0.38;0.11;0.20;0.61;0.22;0.50
DC1;1.00;0.00;0.00;0.00;0.00;0.08;0.32;0.20;0.12;0.04;0.00;0.12;0.20;0.12;0.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.56;0.40;0.00;0.00;0.96;0.48;0.28;0.04;0.72;0.44;0.12;0.24;0.48;0.12;0.68
DC2;0.04;0.96;0.00;0.00;0.00;0.15;0.44;0.06;0.04;0.04;0.00;0.06;0.08;0.06;0.02;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.02;0.52;0.42;0.00;0.00;0.96;0.56;0.21;0.15;0.67;0.38;0.19;0.48;0.44;0.17;0.44
DC3;0.04;0.00;0.96;0.00;0.00;0.01;0.34;0.39;0.07;0.06;0.00;0.16;0.07;0.19;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.01;0.03;0.67;0.24;0.00;0.00;0.94;0.61;0.52;0.19;0.67;0.28;0.18;0.31;0.48;0.25;0.46
DC4;0.07;0.00;0.00;0.93;0.00;0.00;0.02;0.67;0.07;0.05;0.02;0.13;0.03;0.22;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.05;0.57;0.32;0.00;0.00;0.93;0.72;0.70;0.15;0.62;0.30;0.13;0.13;0.33;0.25;0.33
DC5;0.38;0.00;0.00;0.00;0.62;0.00;0.00;0.31;0.00;0.08;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.23;0.38;0.00;0.00;0.62;0.46;0.54;0.15;0.62;0.08;0.08;0.00;0.23;0.31;0.23
CrU c1;0.17;0.58;0.08;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.00;0.92;0.08;0.00;0.00;1.00;0.33;0.00;0.08;0.67;0.25;0.00;0.50;0.67;0.17;0.58
CrU c2;0.12;0.32;0.35;0.02;0.00;0.00;1.00;0.00;0.18;0.05;0.00;0.25;0.12;0.15;0.06;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.02;0.86;0.11;0.00;0.00;0.98;0.58;0.40;0.14;0.54;0.23;0.14;0.38;0.51;0.11;0.58
CrU c3;0.04;0.02;0.21;0.33;0.03;0.00;0.00;1.00;0.10;0.20;0.02;0.24;0.07;0.33;0.01;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.04;0.68;0.26;0.00;0.00;0.98;0.79;0.66;0.20;0.70;0.30;0.13;0.14;0.50;0.28;0.48
CoU c1;0.10;0.06;0.16;0.13;0.00;0.00;0.39;0.39;1.00;0.13;0.03;0.48;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.71;0.26;0.00;0.00;1.00;0.61;0.45;0.32;0.81;0.45;0.10;0.32;0.74;0.00;0.71
CoU c2;0.03;0.06;0.11;0.08;0.03;0.00;0.08;0.69;0.11;1.00;0.00;0.69;0.03;0.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.78;0.22;0.00;0.00;1.00;0.69;0.42;0.36;0.78;0.25;0.14;0.14;0.67;0.00;0.83
CoU c3;0.00;0.00;0.00;0.08;0.00;0.00;0.00;0.17;0.08;0.00;1.00;0.42;0.00;0.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.58;0.08;0.00;0.00;0.75;0.17;0.08;0.17;0.58;0.33;0.00;0.00;0.58;0.17;0.42
icp;0.05;0.05;0.19;0.14;0.02;0.00;0.28;0.51;0.26;0.44;0.09;1.00;0.07;0.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.79;0.14;0.00;0.00;0.96;0.63;0.51;0.21;0.74;0.37;0.07;0.23;0.56;0.05;0.70
imp;0.16;0.13;0.16;0.06;0.00;0.19;0.26;0.26;0.06;0.03;0.00;0.13;1.00;0.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.87;0.00;0.00;0.00;0.87;0.29;0.29;0.06;0.48;0.23;0.10;0.29;0.65;0.06;0.71
sp;0.04;0.04;0.18;0.18;0.00;0.00;0.14;0.55;0.00;0.04;0.03;0.14;0.07;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.07;0.76;0.14;0.00;0.01;0.95;0.61;0.51;0.20;0.65;0.45;0.05;0.14;0.70;0.54;0.16
cfh (c1);0.07;0.03;0.00;0.00;0.00;0.03;0.14;0.03;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.59;0.28;0.00;0.00;0.86;0.31;0.24;0.17;0.76;0.45;0.07;0.14;0.79;0.10;0.59
cfh (c2);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.60;0.00;0.00;0.00;0.60;0.20;0.00;0.00;0.60;0.40;0.00;0.00;0.40;0.20;0.40
cfh (c3);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.00;0.00;1.00;0.50;0.00;0.00;1.00;0.50;0.00;0.00;0.50;0.00;1.00
cfs (c1);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;1.00
cfs (c2);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.50;0.25;0.25;0.00;0.00;0.50;1.00;0.00;0.75
cfs (c3);0.00;0.00;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.33;0.67;0.00;0.00;1.00;0.33;0.33;0.00;1.00;0.67;0.00;0.00;0.33;0.00;0.67
cre;0.00;0.14;0.29;0.14;0.00;0.14;0.14;0.43;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.43;0.57;0.43;0.43;0.57;0.00;0.57;0.71;0.86;0.14
bip;0.00;0.50;0.50;0.00;0.00;0.00;0.50;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.50;0.50;0.00;0.00;0.00;0.50;0.00;0.00;0.00
