Choice situation;Attribute;Alt A;Alt B;Status quo;Block
1;Number of jaguars;0;5;5;B4
2;Number of jaguars;0;5;5;B2
3;Number of jaguars;5;2;5;B4
4;Number of jaguars;9;0;5;B3
5;Number of jaguars;2;9;5;B1
6;Number of jaguars;9;0;5;B3
7;Number of jaguars;2;9;5;B4
8;Number of jaguars;9;3;5;B1
9;Number of jaguars;0;2;5;B2
10;Number of jaguars;9;9;5;B1
11;Number of jaguars;0;0;5;B3
12;Number of jaguars;0;9;5;B3
13;Number of jaguars;5;9;5;B2
14;Number of jaguars;9;2;5;B3
15;Number of jaguars;9;9;5;B1
16;Number of jaguars;9;2;5;B3
17;Number of jaguars;5;0;5;B1
18;Number of jaguars;5;9;5;B4
19;Number of jaguars;0;0;5;B2
20;Number of jaguars;2;0;5;B1
21;Number of jaguars;2;5;5;B4
22;Number of jaguars;2;5;5;B2
23;Number of jaguars;9;0;5;B4
24;Number of jaguars;0;2;5;B2
