Node_type;Gene;GEX_celltype_Log2FC_Delta;GEX_celltype_Log2FC_Epsprogenitors;GEX_celltype_Log2FC_Epsilon;GEX_celltype_Log2FC_Fev+Delta;Region;Gene_signature_name
Gene;Ngfr;0.45979983;0.9908357;-1.230088;1.9976287;chr11:95565044-95566013;Neurod2_+_(303g)
Gene;Ngfr;0.45979983;0.9908357;-1.230088;1.9976287;chr11:95677748-95678621;Neurod2_+_(303g)
Gene;Ngfr;0.45979983;0.9908357;-1.230088;1.9976287;chr11:95526978-95527814;Neurod2_+_(303g)
Gene;Ngfr;0.45979983;0.9908357;-1.230088;1.9976287;chr11:95500675-95501498;Neurod2_+_(303g)
Gene;Ngfr;0.45979983;0.9908357;-1.230088;1.9976287;chr11:95527882-95528563;Neurod2_+_(303g)
Gene;Ngfr;0.45979983;0.9908357;-1.230088;1.9976287;chr11:95560470-95561370;Neurod2_+_(303g)
Gene;Fam107b;0.6507943;2.0710354;1.4389343;1.5537859;chr2:3602414-3603282;Neurod2_+_(303g)
Gene;Fam107b;0.6507943;2.0710354;1.4389343;1.5537859;chr2:3726368-3727883;Neurod2_+_(303g)
Gene;Fam107b;0.6507943;2.0710354;1.4389343;1.5537859;chr2:3734625-3735474;Neurod2_+_(303g)
Gene;Hpca;-1.885213;1.9621587;-0.04127128;1.470014;chr4:129183935-129184875;Neurod2_+_(303g)
Gene;Hpca;-1.885213;1.9621587;-0.04127128;1.470014;chr4:129241596-129242527;Neurod2_+_(303g)
Gene;Hpca;-1.885213;1.9621587;-0.04127128;1.470014;chr4:129144428-129145271;Neurod2_+_(303g)
Gene;Dusp8;0.6475585;1.020507;0.3564741;1.35079;chr7:142020600-142021462;Neurod2_+_(303g)
Gene;Dusp8;0.6475585;1.020507;0.3564741;1.35079;chr7:141961238-141962128;Neurod2_+_(303g)
Gene;Dusp8;0.6475585;1.020507;0.3564741;1.35079;chr7:141953531-141954308;Neurod2_+_(303g)
Gene;Dusp8;0.6475585;1.020507;0.3564741;1.35079;chr7:141990392-141991239;Neurod2_+_(303g)
Gene;1520401A03Rik;-25.048838;1.0444373;-2.937756;1.2589554;chr17:23708807-23709658;Neurod2_+_(303g)
Gene;1520401A03Rik;-25.048838;1.0444373;-2.937756;1.2589554;chr17:23571065-23571922;Neurod2_+_(303g)
Gene;1520401A03Rik;-25.048838;1.0444373;-2.937756;1.2589554;chr17:23665766-23666382;Neurod2_+_(303g)
Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;chr14:31168111-31169086;Neurod2_+_(303g)
Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;chr14:31294371-31295318;Neurod2_+_(303g)
Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;chr14:31193496-31194381;Neurod2_+_(303g)
Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;chr14:31316167-31317175;Neurod2_+_(303g)
Gene;Scin;-2.3047583;1.098614;0.7901625;1.1412385;chr12:40117651-40118247;Neurod2_+_(303g)
Gene;Scin;-2.3047583;1.098614;0.7901625;1.1412385;chr12:40124406-40125377;Neurod2_+_(303g)
Gene;Scin;-2.3047583;1.098614;0.7901625;1.1412385;chr12:39992652-39993513;Neurod2_+_(303g)
Gene;Fam210b;-1.4355314;0.7996426;-0.8180886;0.99985963;chr2:172484758-172485661;Neurod2_+_(303g)
Gene;Fam210b;-1.4355314;0.7996426;-0.8180886;0.99985963;chr2:172376739-172377560;Neurod2_+_(303g)
Gene;Fam210b;-1.4355314;0.7996426;-0.8180886;0.99985963;chr2:172483703-172484322;Neurod2_+_(303g)
Gene;Fam210b;-1.4355314;0.7996426;-0.8180886;0.99985963;chr2:172348258-172349210;Neurod2_+_(303g)
Gene;Serping1;-0.48053145;0.48345408;0.404404;0.9831731;chr2:84836757-84837680;Neurod2_+_(303g)
Gene;Serping1;-0.48053145;0.48345408;0.404404;0.9831731;chr2:84640759-84641627;Neurod2_+_(303g)
Gene;1110012L19Rik;-0.72014457;0.31902128;0.023620635;0.9644449;chrX:70336294-70337035;Neurod2_+_(303g)
Gene;1110012L19Rik;-0.72014457;0.31902128;0.023620635;0.9644449;chrX:70345902-70346817;Neurod2_+_(303g)
Gene;Tmem185a;-1.5289916;0.61834544;0.34809068;0.9490828;chrX:70572332-70573241;Neurod2_+_(303g)
Gene;Tmem185a;-1.5289916;0.61834544;0.34809068;0.9490828;chrX:70345902-70346817;Neurod2_+_(303g)
Gene;Tmem185a;-1.5289916;0.61834544;0.34809068;0.9490828;chrX:70336294-70337035;Neurod2_+_(303g)
Gene;Mmel1;-2.1977675;0.40366238;-0.34667993;0.9418022;chr4:154886720-154887683;Neurod2_+_(303g)
Gene;Mmel1;-2.1977675;0.40366238;-0.34667993;0.9418022;chr4:155006132-155007055;Neurod2_+_(303g)
Gene;Mmel1;-2.1977675;0.40366238;-0.34667993;0.9418022;chr4:154953515-154954285;Neurod2_+_(303g)
Gene;Mmel1;-2.1977675;0.40366238;-0.34667993;0.9418022;chr4:155007519-155008172;Neurod2_+_(303g)
Gene;Mmel1;-2.1977675;0.40366238;-0.34667993;0.9418022;chr4:154879137-154879794;Neurod2_+_(303g)
Gene;Kcnh8;0.5498076;0.7692534;0.6071172;0.92610294;chr17:52664604-52665495;Neurod2_+_(303g)
Gene;Kcnh8;0.5498076;0.7692534;0.6071172;0.92610294;chr17:52650931-52651862;Neurod2_+_(303g)
Gene;Kcnh8;0.5498076;0.7692534;0.6071172;0.92610294;chr17:52998746-52999309;Neurod2_+_(303g)
Gene;Igsf8;-0.3898647;0.58985907;0.41895223;0.89879596;chr1:172363277-172363966;Neurod2_+_(303g)
Gene;Igsf8;-0.3898647;0.58985907;0.41895223;0.89879596;chr1:172299915-172300840;Neurod2_+_(303g)
Gene;Igsf8;-0.3898647;0.58985907;0.41895223;0.89879596;chr1:172131991-172132906;Neurod2_+_(303g)
Gene;Igsf8;-0.3898647;0.58985907;0.41895223;0.89879596;chr1:172430474-172431383;Neurod2_+_(303g)
Gene;Igsf8;-0.3898647;0.58985907;0.41895223;0.89879596;chr1:172297554-172298466;Neurod2_+_(303g)
Gene;Igsf8;-0.3898647;0.58985907;0.41895223;0.89879596;chr1:172319541-172320388;Neurod2_+_(303g)
Gene;Lhfpl2;-1.1364731;-0.31458566;-0.7159823;0.8007511;chr13:94128080-94128971;Neurod2_+_(303g)
Gene;Lhfpl2;-1.1364731;-0.31458566;-0.7159823;0.8007511;chr13:94181880-94182768;Neurod2_+_(303g)
Gene;Lhfpl2;-1.1364731;-0.31458566;-0.7159823;0.8007511;chr13:94144426-94145339;Neurod2_+_(303g)
Gene;Lhfpl2;-1.1364731;-0.31458566;-0.7159823;0.8007511;chr13:94226705-94227606;Neurod2_+_(303g)
Gene;Mex3b;-2.4392197;-0.440457;-1.2957385;0.79870194;chr7:82751936-82752832;Neurod2_+_(303g)
Gene;Mex3b;-2.4392197;-0.440457;-1.2957385;0.79870194;chr7:82838715-82839629;Neurod2_+_(303g)
Gene;Mex3b;-2.4392197;-0.440457;-1.2957385;0.79870194;chr7:82905267-82906176;Neurod2_+_(303g)
Gene;Slc49a4;-0.45254543;0.6713542;-0.057223853;0.7971109;chr16:35728918-35729888;Neurod2_+_(303g)
Gene;Slc49a4;-0.45254543;0.6713542;-0.057223853;0.7971109;chr16:35598244-35599111;Neurod2_+_(303g)
Gene;Slc49a4;-0.45254543;0.6713542;-0.057223853;0.7971109;chr16:35625244-35626241;Neurod2_+_(303g)
Gene;Asxl3;-1.1290853;0.33258927;-0.635203;0.77141297;chr18:22488771-22489676;Neurod2_+_(303g)
Gene;Asxl3;-1.1290853;0.33258927;-0.635203;0.77141297;chr18:22452620-22453546;Neurod2_+_(303g)
Gene;Asxl3;-1.1290853;0.33258927;-0.635203;0.77141297;chr18:22513107-22514000;Neurod2_+_(303g)
Gene;Asxl3;-1.1290853;0.33258927;-0.635203;0.77141297;chr18:22624371-22625324;Neurod2_+_(303g)
Gene;Cited1;-0.66667557;0.7479163;0.54384553;0.75222814;chrX:102371203-102372063;Neurod2_+_(303g)
Gene;Pcbp4;-0.06673435;0.61330223;-0.08794021;0.75214803;chr9:106512808-106513767;Neurod2_+_(303g)
Gene;Pcbp4;-0.06673435;0.61330223;-0.08794021;0.75214803;chr9:106410776-106411388;Neurod2_+_(303g)
Gene;Pcbp4;-0.06673435;0.61330223;-0.08794021;0.75214803;chr9:106400643-106401565;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75812993-75813764;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75702929-75703878;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75869651-75870571;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75659223-75660151;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75876154-75877098;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75903257-75903990;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75939795-75940703;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75909524-75910367;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75866689-75867557;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;chr11:75807308-75808239;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;chr7:19402235-19402908;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;chr7:19515748-19516641;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;chr7:19498837-19499669;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;chr7:19375429-19376362;Neurod2_+_(303g)
