Unnamed: 0;Unnamed: 0.1;Node_type;Gene;GEX_celltype_Log2FC_Delta;GEX_celltype_Log2FC_Epsprogenitors;GEX_celltype_Log2FC_Epsilon;GEX_celltype_Log2FC_Fev+Delta;Region;Gene_signature_name
1149;Fam107b;Gene;Fam107b;0.6507943;2.0710354;1.4389343;1.5537859;chr2:3602414-3603282;Neurod2_+_(303g)
1150;Fam107b;Gene;Fam107b;0.6507943;2.0710354;1.4389343;1.5537859;chr2:3726368-3727883;Neurod2_+_(303g)
1151;Fam107b;Gene;Fam107b;0.6507943;2.0710354;1.4389343;1.5537859;chr2:3734625-3735474;Neurod2_+_(303g)
111;Hpca;Gene;Hpca;-1.885213;1.9621587;-0.04127128;1.470014;chr4:129183935-129184875;Neurod2_+_(303g)
112;Hpca;Gene;Hpca;-1.885213;1.9621587;-0.04127128;1.470014;chr4:129241596-129242527;Neurod2_+_(303g)
113;Hpca;Gene;Hpca;-1.885213;1.9621587;-0.04127128;1.470014;chr4:129144428-129145271;Neurod2_+_(303g)
144;Tnnc1;Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;chr14:31168111-31169086;Neurod2_+_(303g)
145;Tnnc1;Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;chr14:31294371-31295318;Neurod2_+_(303g)
146;Tnnc1;Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;chr14:31193496-31194381;Neurod2_+_(303g)
147;Tnnc1;Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;chr14:31316167-31317175;Neurod2_+_(303g)
1031;Cer1;Gene;Cer1;-0.28471908;1.9497662;0.38560328;1.1954409;chr4:82758830-82759590;Neurod2_+_(303g)
1032;Cer1;Gene;Cer1;-0.28471908;1.9497662;0.38560328;1.1954409;chr4:82931384-82932267;Neurod2_+_(303g)
1033;Cer1;Gene;Cer1;-0.28471908;1.9497662;0.38560328;1.1954409;chr4:82765422-82766323;Neurod2_+_(303g)
363;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47348887-47349648;Neurod2_+_(303g)
364;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47145890-47146728;Neurod2_+_(303g)
365;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47162983-47163905;Neurod2_+_(303g)
366;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47322976-47323984;Neurod2_+_(303g)
367;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47311093-47311889;Neurod2_+_(303g)
368;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47188234-47189203;Neurod2_+_(303g)
369;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47327605-47328491;Neurod2_+_(303g)
370;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47211523-47212459;Neurod2_+_(303g)
371;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47222314-47223251;Neurod2_+_(303g)
372;Neurl1a;Gene;Neurl1a;1.65366;2.1775026;1.5354286;1.189002;chr19:47221428-47222271;Neurod2_+_(303g)
1497;Dll3;Gene;Dll3;-2.1446106;1.3185714;0.96117276;1.1766237;chr7:28288522-28289431;Neurod2_+_(303g)
1498;Dll3;Gene;Dll3;-2.1446106;1.3185714;0.96117276;1.1766237;chr7:28309459-28310359;Neurod2_+_(303g)
809;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118907322-118908083;Neurod2_+_(303g)
810;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118883468-118884387;Neurod2_+_(303g)
811;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118825958-118826979;Neurod2_+_(303g)
812;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118929568-118930512;Neurod2_+_(303g)
813;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118973404-118974341;Neurod2_+_(303g)
814;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118837870-118838680;Neurod2_+_(303g)
815;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118879301-118880231;Neurod2_+_(303g)
816;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118888978-118889926;Neurod2_+_(303g)
817;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118848573-118849472;Neurod2_+_(303g)
818;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:119047043-119047866;Neurod2_+_(303g)
819;Gprc5b;Gene;Gprc5b;-0.27090827;1.6138216;1.0444858;1.1702976;chr7:118972059-118972872;Neurod2_+_(303g)
471;Upk3bl;Gene;Upk3bl;-2.019858;2.0259373;0.280601;1.1095461;chr5:135920083-135921017;Neurod2_+_(303g)
472;Upk3bl;Gene;Upk3bl;-2.019858;2.0259373;0.280601;1.1095461;chr5:136148730-136149646;Neurod2_+_(303g)
473;Upk3bl;Gene;Upk3bl;-2.019858;2.0259373;0.280601;1.1095461;chr5:136163776-136164659;Neurod2_+_(303g)
474;Upk3bl;Gene;Upk3bl;-2.019858;2.0259373;0.280601;1.1095461;chr5:136123331-136124207;Neurod2_+_(303g)
475;Upk3bl;Gene;Upk3bl;-2.019858;2.0259373;0.280601;1.1095461;chr5:136002178-136003083;Neurod2_+_(303g)
476;Upk3bl;Gene;Upk3bl;-2.019858;2.0259373;0.280601;1.1095461;chr5:136056835-136057759;Neurod2_+_(303g)
477;Upk3bl;Gene;Upk3bl;-2.019858;2.0259373;0.280601;1.1095461;chr5:136191691-136192603;Neurod2_+_(303g)
478;Upk3bl;Gene;Upk3bl;-2.019858;2.0259373;0.280601;1.1095461;chr5:136066220-136067200;Neurod2_+_(303g)
743;Ankrd2;Gene;Ankrd2;-1.8142494;1.6168799;-0.17444655;1.0740093;chr19:42000279-42001054;Neurod2_+_(303g)
138;Prom2;Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;chr2:127516819-127517651;Neurod2_+_(303g)
139;Prom2;Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;chr2:127689457-127690308;Neurod2_+_(303g)
140;Prom2;Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;chr2:127518091-127518968;Neurod2_+_(303g)
141;Prom2;Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;chr2:127511192-127512031;Neurod2_+_(303g)
142;Prom2;Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;chr2:127502288-127503123;Neurod2_+_(303g)
143;Prom2;Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;chr2:127521827-127522567;Neurod2_+_(303g)
1024;Insrr;Gene;Insrr;-0.7751618;1.5466079;-0.9776884;1.0035527;chr3:87854787-87855660;Neurod2_+_(303g)
1025;Insrr;Gene;Insrr;-0.7751618;1.5466079;-0.9776884;1.0035527;chr3:87798279-87799211;Neurod2_+_(303g)
1026;Insrr;Gene;Insrr;-0.7751618;1.5466079;-0.9776884;1.0035527;chr3:87659766-87660719;Neurod2_+_(303g)
1027;Insrr;Gene;Insrr;-0.7751618;1.5466079;-0.9776884;1.0035527;chr3:87789828-87790707;Neurod2_+_(303g)
1028;Insrr;Gene;Insrr;-0.7751618;1.5466079;-0.9776884;1.0035527;chr3:87819136-87820054;Neurod2_+_(303g)
1052;Dner;Gene;Dner;-1.570908;1.7420617;0.15430444;0.98858076;chr1:84518139-84519011;Neurod2_+_(303g)
1053;Dner;Gene;Dner;-1.570908;1.7420617;0.15430444;0.98858076;chr1:84668203-84669152;Neurod2_+_(303g)
1054;Dner;Gene;Dner;-1.570908;1.7420617;0.15430444;0.98858076;chr1:84817058-84817884;Neurod2_+_(303g)
1055;Dner;Gene;Dner;-1.570908;1.7420617;0.15430444;0.98858076;chr1:84683667-84684754;Neurod2_+_(303g)
1056;Dner;Gene;Dner;-1.570908;1.7420617;0.15430444;0.98858076;chr1:84682351-84683246;Neurod2_+_(303g)
600;Grik2;Gene;Grik2;-1.7257733;1.4636036;-0.4553424;0.9764903;chr10:49368257-49369143;Neurod2_+_(303g)
601;Grik2;Gene;Grik2;-1.7257733;1.4636036;-0.4553424;0.9764903;chr10:49780146-49781050;Neurod2_+_(303g)
602;Grik2;Gene;Grik2;-1.7257733;1.4636036;-0.4553424;0.9764903;chr10:49559750-49560635;Neurod2_+_(303g)
603;Grik2;Gene;Grik2;-1.7257733;1.4636036;-0.4553424;0.9764903;chr10:48972624-48973527;Neurod2_+_(303g)
604;Grik2;Gene;Grik2;-1.7257733;1.4636036;-0.4553424;0.9764903;chr10:49149390-49150376;Neurod2_+_(303g)
605;Grik2;Gene;Grik2;-1.7257733;1.4636036;-0.4553424;0.9764903;chr10:49381566-49382465;Neurod2_+_(303g)
738;Gpr153;Gene;Gpr153;-0.34886903;2.3149948;0.12627806;0.9655402;chr4:152205458-152206715;Neurod2_+_(303g)
739;Gpr153;Gene;Gpr153;-0.34886903;2.3149948;0.12627806;0.9655402;chr4:152253000-152253982;Neurod2_+_(303g)
740;Gpr153;Gene;Gpr153;-0.34886903;2.3149948;0.12627806;0.9655402;chr4:152273667-152274585;Neurod2_+_(303g)
741;Gpr153;Gene;Gpr153;-0.34886903;2.3149948;0.12627806;0.9655402;chr4:152256825-152257755;Neurod2_+_(303g)
742;Gpr153;Gene;Gpr153;-0.34886903;2.3149948;0.12627806;0.9655402;chr4:152344383-152345034;Neurod2_+_(303g)
1168;Lurap1l;Gene;Lurap1l;-1.2056195;1.260363;0.25343114;0.9488167;chr4:80938584-80939454;Neurod2_+_(303g)
1169;Lurap1l;Gene;Lurap1l;-1.2056195;1.260363;0.25343114;0.9488167;chr4:80925631-80926557;Neurod2_+_(303g)
1170;Lurap1l;Gene;Lurap1l;-1.2056195;1.260363;0.25343114;0.9488167;chr4:80916564-80917474;Neurod2_+_(303g)
749;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118856451-118857346;Neurod2_+_(303g)
750;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118968341-118969194;Neurod2_+_(303g)
751;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118364952-118365839;Neurod2_+_(303g)
752;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118375892-118376927;Neurod2_+_(303g)
753;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118963613-118964532;Neurod2_+_(303g)
754;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118516622-118517460;Neurod2_+_(303g)
755;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118995157-118996123;Neurod2_+_(303g)
756;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118972656-118973616;Neurod2_+_(303g)
757;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118485288-118486196;Neurod2_+_(303g)
758;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118750632-118751518;Neurod2_+_(303g)
759;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118520951-118521827;Neurod2_+_(303g)
760;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118861023-118861925;Neurod2_+_(303g)
761;Rbfox3;Gene;Rbfox3;-0.48330814;1.3680257;-0.41827908;0.94242316;chr11:118964911-118965843;Neurod2_+_(303g)
209;Pla2g2f;Gene;Pla2g2f;0.20266934;1.3694146;0.8532276;0.93873453;chr4:138729018-138730019;Neurod2_+_(303g)
210;Pla2g2f;Gene;Pla2g2f;0.20266934;1.3694146;0.8532276;0.93873453;chr4:138635422-138636363;Neurod2_+_(303g)
211;Pla2g2f;Gene;Pla2g2f;0.20266934;1.3694146;0.8532276;0.93873453;chr4:138781756-138782688;Neurod2_+_(303g)
212;Pla2g2f;Gene;Pla2g2f;0.20266934;1.3694146;0.8532276;0.93873453;chr4:138625960-138626885;Neurod2_+_(303g)
213;Pla2g2f;Gene;Pla2g2f;0.20266934;1.3694146;0.8532276;0.93873453;chr4:138641995-138642926;Neurod2_+_(303g)
214;Pla2g2f;Gene;Pla2g2f;0.20266934;1.3694146;0.8532276;0.93873453;chr4:138610405-138611317;Neurod2_+_(303g)
215;Pla2g2f;Gene;Pla2g2f;0.20266934;1.3694146;0.8532276;0.93873453;chr4:138897979-138898930;Neurod2_+_(303g)
216;Pla2g2f;Gene;Pla2g2f;0.20266934;1.3694146;0.8532276;0.93873453;chr4:138795479-138796202;Neurod2_+_(303g)
217;Pla2g2f;Gene;Pla2g2f;0.20266934;1.3694146;0.8532276;0.93873453;chr4:138883696-138883977;Neurod2_+_(303g)
1016;Dmpk;Gene;Dmpk;-1.8656073;1.1200471;-0.73516876;0.9357181;chr7:18942108-18943018;Neurod2_+_(303g)
1017;Dmpk;Gene;Dmpk;-1.8656073;1.1200471;-0.73516876;0.9357181;chr7:19240808-19241709;Neurod2_+_(303g)
1018;Dmpk;Gene;Dmpk;-1.8656073;1.1200471;-0.73516876;0.9357181;chr7:18949516-18950406;Neurod2_+_(303g)
1019;Dmpk;Gene;Dmpk;-1.8656073;1.1200471;-0.73516876;0.9357181;chr7:19060995-19061848;Neurod2_+_(303g)
1020;Dmpk;Gene;Dmpk;-1.8656073;1.1200471;-0.73516876;0.9357181;chr7:19015686-19016523;Neurod2_+_(303g)
1021;Dmpk;Gene;Dmpk;-1.8656073;1.1200471;-0.73516876;0.9357181;chr7:19007328-19008112;Neurod2_+_(303g)
1022;Dmpk;Gene;Dmpk;-1.8656073;1.1200471;-0.73516876;0.9357181;chr7:19095569-19096403;Neurod2_+_(303g)
1023;Dmpk;Gene;Dmpk;-1.8656073;1.1200471;-0.73516876;0.9357181;chr7:19127420-19128298;Neurod2_+_(303g)
1102;Tmem200a;Gene;Tmem200a;-0.7810449;1.4994178;0.4183412;0.9334384;chr10:26017278-26017887;Neurod2_+_(303g)
1103;Tmem200a;Gene;Tmem200a;-0.7810449;1.4994178;0.4183412;0.9334384;chr10:26072182-26073058;Neurod2_+_(303g)
1104;Tmem200a;Gene;Tmem200a;-0.7810449;1.4994178;0.4183412;0.9334384;chr10:25990244-25991172;Neurod2_+_(303g)
