Marker peaks Fev+ Delta;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
2-135719090-135720017;0.0000000000000000000139;278418441627687;115;17;0.0000000000000349
9-11562788-11563740;0.0000000000000002;220419931490472;179;41;0.0000000000504
13-34956729-34957647;0.000000000000274;216473582539188;159;36;0.0000000689
10-64082075-64082998;0.00000000000000289;215319847629638;166;39;0.00000000727
3-109737746-109738667;0.000000000000292;218997724771535;159;36;0.0000000735
2-116685405-116686332;0.000000000493;194114650358091;179;48;0.000124
1-21690595-21691665;0.00000000317;227530951924195;125;27;0.000798
12-38134331-38135248;0.00000000991;200360029851585;159;41;0.00249
19-40766903-40767844;0.0000000541;232923337505233;111;23;0.0136
2-72083537-72084534;0.000000224;226556769648622;111;23;0.0563
13-94084071-94084986;0.000000469;119085529090911;382;175;0.118
16-45537751-45538740;0.000000732;201059163597596;142;36;0.184
3-137328972-137329834;0.00000189;192611401351035;149;39;0.0477
9-35473969-35474926;0.00000328;175854203625257;182;56;0.0825
4-39330810-39331729;0.0000101;148144353384325;243;89;2.54
11-83597993-83598927;0.000015;148744768417097;247;92;3.77
4-80894989-80895916;0.0000165;13358855615976;294;0.12;4.16
10-69640250-69641202;0.0000747;175213729199581;179;57;18.8
17-12988833-12989705;0.000417;191686142576663;132;35;105
12-38232442-38233371;0.000659;161933982244182;186;62;166
2-74243488-74244555;0.00173;170663311403169;166;52;436
13-63992524-63993371;0.00201;19790406568112;125;33;506
9-76913035-76913940;0.00753;148512086378998;203;73;1900
3-79085887-79086814;0.00806;186418006673805;139;0.04;2030
9-111514463-111515369;0.0104;160360495151029;182;63;2610
9-56851577-56852499;0.0316;134058093065538;243;98;7950
1-15453812-15454756;0.0571;136300149192752;226;89;14400
13-25178663-25179556;0.0113;192944046117933;118;32;28400
11-103007761-103008924;0.166;145268488408109;209;81;41900
6-37723074-37723999;0.233;137673737313906;223;0.09;58500
18-54444111-54445051;0.0331;145046989886394;203;78;83300
3-35224973-35225916;0.356;146426595593141;199;77;89600
4-72373442-72374390;0.593;137192977647583;206;0.08;14900
14-62325796-62326713;1.54;143704301644312;182;67;38700
10-91731797-91732713;2.32;119055043335239;247;105;584000
10-28271867-28272745;3.45;137184909589374;216;0.09;868000
4-35394405-35395346;6.93;130473080198376;213;87;1740000
6-94232132-94232988;9.63;150731027431978;176;67;2420000
18-65252913-65253841;21.1;135156661429426;189;74;5310000
9-57287018-57287921;28.1;111695494878411;277;131;7070000
10-9270972-9271820;31.3;174792718858157;118;36;7890000
8-61797271-61798196;3.76;173633010567515;118;36;9460000
14-27371461-27372357;64.4;136663282147292;186;75;1620000
9-57267874-57268801;7.34;14996723432932;155;57;1850000
6-86229884-86230759;9.64;129502998239011;203;85;24300000
19-53257918-53258841;122;131616451172205;199;84;30800000
6-98869505-98870422;148;129416769387878;196;0.08;37200000
3-89872189-89873150;151;179136389461108;105;31;38000000
12-34406033-34406994;195;112795258235349;257;124;49000000
1-66636001-66637002;206;122067437205076;216;94;51700000
3-116199840-116200770;246;849823478550553;392;227;61800000
10-75548204-75549111;280;110884598039694;264;128;70500000
2-18592796-18593714;299;977936261621079;311;158;75400000
6-31056983-31057896;304;106037632241267;277;135;76500000
11-95130349-95131225;357;145436753341816;166;65;89900000
18-55639967-55640891;369;149979164554491;139;48;92800000
7-139870743-139871692;503;168213637412313;115;37;127000000
8-34224962-34225853;659;176235536432233;105;32;166000000
16-85231624-85232568;69;107955451605633;243;112;174000000
8-35615969-35616896;1000;107522946742749;267;134;252000000
17-29080694-29081615;1020;815153858443607;402;231;25700000
12-12353887-12354828;1130;16862127349524;108;34;284000000
1-119386192-119387140;1410;148444831164658;142;52;356000000
14-79596344-79597272;163;15074930571547;125;42;410000000
8-119712484-119713414;1700;16803383589109;105;33;428000000
4-53066690-53067639;1910;154127360481353;132;47;482000000
7-18949516-18950406;2130;108707784112758;253;124;536000000
6-104600722-104601637;2160;149106367048016;132;47;543000000
7-142905318-142906229;2270;105281841340972;264;131;571000000
19-16230348-16231320;2390;159146909362922;115;38;60000000
2-163185456-163186481;2570;12868900456676;186;0.08;648000000
2-25363193-25364106;2640;105469101341805;247;118;663000000
11-35839910-35840879;3340;166401465620758;108;35;841000000
18-50058329-50059254;3350;115745295850219;0.22;102;842000000
11-77624798-77625566;3390;962655246220877;291;0.15;853000000
8-26529541-26530449;4370;135666291515089;162;66;1100000000
5-73215906-73216877;4530;142743728716567;139;51;1140000000
10-66928112-66929095;5210;807165293859177;385;229;1310000000
17-25180002-25180934;6190;944556677232164;297;161;1560000000
9-43466678-43467553;6560;889902224294046;334;188;1650000000
17-50525696-50526603;6900;150235957787705;128;47;1740000000
6-65057738-65058645;7610;159934379526971;111;37;1910000000
11-81522595-81523484;7700;166390495217202;101;32;1940000000
7-89298006-89298926;8290;12490525994124;186;82;2090000000
8-124774128-124774761;9490;162648600764544;105;34;2390000000
2-33797939-33798880;10200;150207108809453;132;49;2560000000
11-29638063-29639253;13800;154481015629113;115;0.04;3470000000
5-146260706-146261622;15800;-503727652761276;716;0.81;399000000
11-87007092-87008011;195;124259230862582;206;97;4900000000
8-80813827-80814664;19500;123973911488821;169;71;4910000000
19-15056178-15057094;19900;134669026483303;166;0.07;5010000000
8-93569333-93570267;20000;860514688299778;324;0.18;5040000000
5-34606950-34607865;2240;110959577837919;203;92;5630000000
18-45003768-45004678;29900;136605331201733;145;58;7530000000
5-31967645-31968612;32000;105787320827515;243;123;8060000000
14-99487885-99488806;3220;123704874125849;176;77;8110000000
4-97714295-97715190;34100;136214288157331;149;0.06;8580000000
12-112263969-112264925;34900;10209847454176;233;114;8790000000
5-151295977-151296903;37500;96981263216046;257;131;944000000
5-53707320-53708244;40500;921276525336506;301;166;101998755338368
11-8833899-8834811;44600;124620409225825;169;73;112184833875879
5-17497340-17498271;46300;105927416876854;0.23;113;116477432517384
9-79004320-79005223;46500;105863804324485;223;109;117048248995386
13-62957249-62958193;49500;111051166030387;203;95;124504978868479
18-38641359-38642280;52900;113208495075936;199;93;133126999365912
10-116578977-116579841;60000;128395508510712;142;55;15105555011721
7-118973404-118974341;64000;984979390467682;0.26;137;161185772939577
16-86309524-86310421;65700;116129110489939;189;86;165253647363413
4-151569354-151570231;69200;134547329107644;145;59;174275906800458
14-30828906-30829838;73400;141324232828628;132;51;184679980835522
12-91421128-91422059;8000;146332555087789;125;48;201421516969449
4-142467389-142468318;86400;138450242252834;132;51;217393608238654
10-76261222-76262091;87200;123097931056326;169;74;219425673944842
7-97770486-97771412;95200;150871276621262;108;38;239558622893219
10-88717173-88718107;97200;750840120568958;395;0.25;244733032630586
13-44877453-44878378;107000;116250318309532;182;82;268805562605809
9-60364097-60365001;109000;878983864459573;304;172;27375034452887
15-88666620-88667512;119000;107321073331774;206;98;29935904607591
4-74114482-74115456;124000;159559319277692;101;35;313129516395919
13-51664517-51665489;140000;134031282569475;139;56;352120162719875
4-130883897-130884847;144000;789163577158891;348;204;36259919205727
13-7691090-7692065;145000;115604929249327;186;86;363702513687258
17-16437359-16438283;153000;136132763323227;132;52;38524497865714
3-84034092-84034996;170000;10515742279772;226;116;427701398686025
17-39847796-39848855;177000;-352801639556465;956;978;446182359841354
14-74831020-74831949;182000;115607167067934;186;87;458934929444905
2-116126807-116127705;187000;931837960642541;257;135;471570331678582
3-103683147-103684125;191000;146326539316897;111;0.04;481392088723447
13-13775856-13776776;203000;113804434145934;186;86;509727520420696
X-144892631-144893569;206000;145921251582192;111;0.04;518696942773401
5-24124350-24125271;253000;131478421648743;145;61;635746285552265
17-85857754-85858669;287000;805950486744471;338;0.2;72173794828871
5-150823073-150823970;318000;141355994777776;118;45;800511826109457
5-123850853-123851860;321000;976555426940829;0.25;135;808851191858655
10-122515520-122516465;322000;139925521271165;132;53;811459503008974
16-74611821-74612724;370000;139035685028157;118;45;929952699715371
2-6707776-6708700;374000;929855511527886;264;144;940700948555142
7-98912695-98913530;405000;116768655208665;162;71;101827964805341
3-41429914-41430837;444000;1487383199273;111;42;111675978365377
14-72869008-72869946;458000;668742927746993;405;248;115294249551109
16-50800404-50801230;477000;155536161780705;105;38;120071310311134
13-72400383-72401322;489000;142324264501419;111;41;123013712698571
2-59303440-59304364;496000;102706448036032;213;107;124776534529187
3-66746363-66747330;49600;-24998639158497;0.03;152;124886710492319
14-54453393-54454375;562000;136367430111317;122;47;141397288031501
3-110582619-110583580;570000;147795613085443;105;38;143398155657557
9-111534720-111535399;579000;138049882544492;128;52;145764862855115
12-38125232-38126137;598000;948428002208821;0.25;135;150526290527624
6-134403430-134404287;630000;904038024272305;0.26;142;158438238699706
9-98279919-98280848;713000;812706500677936;311;184;179410992675536
12-41416846-41417746;714000;721179454103993;385;0.24;179798212920638
11-17500957-17501873;759000;146126091480569;111;42;191049088624146
9-99460893-99461811;767000;988249849597534;233;122;192909829012621
2-3739414-3740320;812000;762366754812367;348;211;204350404433243
15-87033233-87034163;818000;11755262267192;155;68;205751922398957
10-41154238-41155169;83600;74536398510976;338;199;210463890023322
12-30216671-30217602;860000;924382027965804;257;141;216536615871657
5-112020621-112021542;919000;836995723063094;294;168;23136066960942
1-42741452-42742377;92600;799820508832846;331;202;232976467994618
10-96286362-96287312;1100000;129890164779369;135;57;276333930178737
14-40225093-40225996;1120000;11320038442478;169;78;281742813744618
1-91882828-91883730;1140000;124537157186543;152;68;287167474977187
17-5622852-5623639;131000;732271255820127;351;215;330449347382965
6-86599815-86600668;1370000;963966840631897;236;128;34450869266325
5-29620327-29621235;1410000;-53842514581476;3;104;353759209452396
18-55203230-55204142;1430000;114781419828276;176;85;359542280583712
1-128826328-128827260;1480000;109287352266997;179;85;372885844946345
11-57676349-57677215;1600000;143694982116256;111;43;403694132905517
5-101496951-101497897;1650000;868978074187671;274;156;414874516476642
11-54122327-54123283;1760000;109488139890209;179;86;442402378168762
4-96718842-96719769;1830000;128889429433221;128;53;461052087443232
17-65961362-65962319;2030000;103527577623492;203;103;510205192572325
7-40213979-40214855;2080000;111633715966318;152;66;524222923011214
13-37680629-37681524;2240000;727864487016141;351;216;563197159632033
1-180347538-180348490;2240000;832634222226468;274;153;564021357761307
17-93406654-93407573;2240000;133610294218363;115;45;564033781559551
14-12583151-12584074;228000;-163312147455577;57;186;573258600545226
9-29967742-29968701;2280000;126016421712929;132;56;57432361260163
3-88227734-88228677;2280000;897902572125939;243;133;574574561107451
9-22717930-22718827;2320000;117503373905203;159;73;584549230215474
11-98329434-98330248;2340000;759104560515084;318;186;58787568611397
3-54228779-54229716;2340000;143217562849994;108;42;588553915636161
14-107586448-107587364;2360000;125165974888645;132;55;59325089683454
2-160810614-160811528;2440000;144020988567961;101;38;613814216692031
3-134112241-134113170;2550000;115304684533746;152;68;641647873985994
3-126869273-126870194;2600000;775591588039433;294;167;653917936076671
11-31574672-31575595;2750000;105669485549133;186;91;692472320083272
16-44282680-44283595;2760000;11519269202821;162;76;694830970137306
2-10757630-10758563;3000000;144474024969886;101;38;754892479212192
7-78542202-78543136;3090000;879476214459851;267;155;778445591361804
14-31697132-31698052;3160000;125829615633749;132;56;795027912188346
4-154709594-154710542;3190000;106876394017939;189;95;8035569267817
13-98578344-98579284;3230000;690477352856611;382;253;812614218914775
